,who,destroyed,the,most,valuable,relics,in,the,mausoleum,during,the,cultural,revolution,?
in,0.2792111933231354,0.3248254656791687,0.6662389636039734,0.41416558623313904,0.2207430899143219,0.2117205113172531,1.0,0.6662389636039734,0.18680685758590698,0.4627237319946289,0.6662389636039734,0.2409708946943283,0.23010264337062836,0.20430970191955566
1968,-0.017259184271097183,0.004396306816488504,0.07431387901306152,0.03432286158204079,-0.051348838955163956,-0.0035133103374391794,0.08920387923717499,0.07431387901306152,0.013407875783741474,-0.008298451080918312,0.07431387901306152,-0.016158288344740868,0.010574563406407833,-0.08543776720762253
during,0.30551859736442566,0.38297897577285767,0.4838213622570038,0.3715948462486267,0.21124395728111267,0.20592552423477173,0.4627237319946289,0.4838213622570038,0.13214686512947083,1.0,0.4838213622570038,0.2228727638721466,0.32303014397621155,0.1325719803571701
the,0.3733934462070465,0.3403017520904541,1.0,0.47635307908058167,0.2574840486049652,0.2916494905948639,0.6662389636039734,1.0,0.21872887015342712,0.4838213622570038,1.0,0.23337452113628387,0.276140034198761,0.22068053483963013
cultural,0.14877724647521973,0.17710435390472412,0.23337452113628387,0.17335648834705353,0.21514755487442017,0.27160483598709106,0.2409708946943283,0.23337452113628387,0.23729628324508667,0.2228727638721466,0.23337452113628387,0.9999999403953552,0.2664099335670471,0.09798457473516464
revolution,0.2163151353597641,0.20953485369682312,0.276140034198761,0.16928163170814514,0.12586709856987,0.1486729085445404,0.23010264337062836,0.276140034198761,0.1716165393590927,0.32303014397621155,0.276140034198761,0.2664099335670471,0.9999999403953552,0.1727980077266693
",",0.3365725874900818,0.26472628116607666,0.4933079481124878,0.3636029064655304,0.2679881155490875,0.199574276804924,0.5201468467712402,0.4933079481124878,0.2180003970861435,0.3225448727607727,0.4933079481124878,0.24125681817531586,0.26235419511795044,0.31091248989105225
red,0.157459557056427,0.12628430128097534,0.2817947566509247,0.162200465798378,0.18065759539604187,0.17898331582546234,0.18753071129322052,0.2817947566509247,0.09777248650789261,0.12582901120185852,0.2817947566509247,0.12772400677204132,0.13155977427959442,0.1495664119720459
guards,0.31915661692619324,0.2097269743680954,0.3029059171676636,0.17937614023685455,0.12325352430343628,0.21188125014305115,0.19461821019649506,0.3029059171676636,0.28013893961906433,0.2603137195110321,0.3029059171676636,0.1260552853345871,0.20362943410873413,0.14423947036266327
destroyed,0.198551207780838,1.0,0.3403017520904541,0.18873485922813416,0.2876368761062622,0.2794044017791748,0.3248254656791687,0.3403017520904541,0.24120503664016724,0.38297897577285767,0.3403017520904541,0.17710435390472412,0.20953485369682312,0.10318030416965485
almost,0.27838051319122314,0.3413877785205841,0.3341992199420929,0.43784451484680176,0.21192613244056702,0.10675009340047836,0.3422279357910156,0.3341992199420929,0.10550849884748459,0.27011558413505554,0.3341992199420929,0.11126501113176346,0.17730914056301117,0.1372147500514984
everything,0.37988054752349854,0.2690414786338806,0.33579888939857483,0.3225362300872803,0.25323745608329773,0.1692144125699997,0.19690652191638947,0.33579888939857483,0.18996436893939972,0.14248597621917725,0.33579888939857483,0.12763819098472595,0.17183180153369904,0.37031570076942444
of,0.2827862501144409,0.27498680353164673,0.733189046382904,0.4178851246833801,0.2589573264122009,0.31463736295700073,0.5696388483047485,0.733189046382904,0.2191164493560791,0.3869180977344513,0.733189046382904,0.29898300766944885,0.27144062519073486,0.1826142966747284
value,0.12160210311412811,0.1370985060930252,0.16908381879329681,0.13810738921165466,0.31574565172195435,0.16034619510173798,0.12795600295066833,0.16908381879329681,0.14324375987052917,0.09029457718133926,0.16908381879329681,0.27247142791748047,0.08316807448863983,0.23920650780200958
.,0.3541337847709656,0.278834730386734,0.5934505462646484,0.35404038429260254,0.2818049490451813,0.18473990261554718,0.5591574311256409,0.5934505462646484,0.18851764500141144,0.3485563397407532,0.5934505462646484,0.18655544519424438,0.2770307958126068,0.4130953550338745
