,when,was,the,8-4-4,system,launched,?
the,0.5091903209686279,0.48711544275283813,1.0,0.11329861730337143,0.3233085572719574,0.2547066807746887,0.22068053483963013
current,0.23252347111701965,0.20140352845191956,0.3314409554004669,0.09370575845241547,0.17151163518428802,0.08741135150194168,0.12074550241231918
8–4–4,0.03931249678134918,-0.06717252731323242,-0.07812517881393433,-0.13935475051403046,-0.1596514880657196,-0.07482432574033737,0.03036368452012539
system,0.27706024050712585,0.2147521674633026,0.3233085572719574,0.09987593442201614,1.0000001192092896,0.196207657456398,0.15556083619594574
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.12782754004001617,0.2147521674633026,0.28489428758621216,0.18412111699581146
launched,0.20492124557495117,0.28489428758621216,0.2547066807746887,0.005856579635292292,0.196207657456398,1.0,0.1803835779428482
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.18222667276859283,0.21978288888931274,0.18876992166042328,0.20430970191955566
january,0.23963238298892975,0.3933098316192627,0.2467057853937149,0.1291842758655548,0.100371815264225,0.20683793723583221,0.28608936071395874
1985,-0.00747395446524024,0.010012023150920868,0.02310241386294365,-0.005378548055887222,-0.030647099018096924,0.04470466449856758,-0.03005216084420681
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.15256518125534058,0.2277725487947464,0.21241185069084167,0.4130953550338745
