,where,are,a,bulk,of,factories,concentrated,along,the,rhine,?
although,0.2586391270160675,0.30740880966186523,0.29747897386550903,0.21192236244678497,0.3024747669696808,0.21820247173309326,0.280920147895813,0.176274374127388,0.3265823423862457,0.14405955374240875,0.15541206300258636
many,0.4338301420211792,0.5655534863471985,0.2872205972671509,0.2589607536792755,0.37253960967063904,0.4079415798187256,0.3271962106227875,0.280875027179718,0.4335206151008606,0.11647748202085495,0.2124512493610382
plants,0.24032823741436005,0.35990846157073975,0.21329157054424286,0.24170053005218506,0.29386165738105774,0.326488733291626,0.2315809726715088,0.17416952550411224,0.29499560594558716,0.11852127313613892,0.1473488062620163
and,0.43859338760375977,0.48576638102531433,0.3739250600337982,0.3193436563014984,0.5116966962814331,0.33217841386795044,0.337016761302948,0.4213258922100067,0.5171257257461548,0.22029656171798706,0.20544172823429108
factories,0.32296788692474365,0.3018348813056946,0.2496824860572815,0.29315951466560364,0.28616368770599365,1.0,0.36284416913986206,0.21030418574810028,0.2603243589401245,0.2563677430152893,0.13455291092395782
can,0.3773181736469269,0.5408529043197632,0.3915780484676361,0.24801000952720642,0.2603091299533844,0.24614955484867096,0.20857568085193634,0.17559465765953064,0.312528520822525,0.09961956739425659,0.3226337134838104
be,0.3651217818260193,0.5556803941726685,0.39883795380592346,0.2794235944747925,0.33904364705085754,0.22719009220600128,0.24574512243270874,0.21169698238372803,0.4248143136501312,0.18054811656475067,0.3324260413646698
found,0.2867223024368286,0.2740558087825775,0.2869448959827423,0.20500512421131134,0.2982911467552185,0.2022012174129486,0.23812438547611237,0.19864152371883392,0.3452354073524475,0.1264849454164505,0.16790300607681274
along,0.3530636131763458,0.28655800223350525,0.24426962435245514,0.2093208134174347,0.34889817237854004,0.21030418574810028,0.2098672240972519,1.0,0.39495137333869934,0.24867600202560425,0.17134909331798553
the,0.5003893971443176,0.40399202704429626,0.5829201340675354,0.2220524251461029,0.733189046382904,0.2603243589401245,0.2688957750797272,0.39495137333869934,1.0,0.30735138058662415,0.22068053483963013
rhine,0.2007746696472168,0.13834848999977112,0.1823403388261795,0.1682240515947342,0.2548927664756775,0.2563677430152893,0.1625138521194458,0.24867600202560425,0.30735138058662415,1.0,0.13754533231258392
up,0.341964989900589,0.32151925563812256,0.32523053884506226,0.21785691380500793,0.32945773005485535,0.2784477174282074,0.1893349438905716,0.3000185787677765,0.38423117995262146,0.1867746114730835,0.1819818764925003
into,0.335035502910614,0.2930682599544525,0.3461161255836487,0.20062533020973206,0.32255905866622925,0.22855396568775177,0.23333536088466644,0.3192354142665863,0.39493247866630554,0.1991104632616043,0.15662476420402527
switzerland,0.2608305513858795,0.14910723268985748,0.21310605108737946,0.11073243618011475,0.22564564645290375,0.25219598412513733,0.17125768959522247,0.10230370610952377,0.25689372420310974,0.32351648807525635,0.13347817957401276
",",0.3149496018886566,0.4062570035457611,0.427140474319458,0.2566060423851013,0.4946078956127167,0.25142666697502136,0.3048234283924103,0.29824912548065186,0.4933079481124878,0.167837992310524,0.31091248989105225
it,0.36972272396087646,0.3617996573448181,0.5452592968940735,0.21421219408512115,0.38761502504348755,0.3077548146247864,0.2955149710178375,0.23895776271820068,0.6251175999641418,0.17693428695201874,0.25732165575027466
is,0.3586711287498474,0.5330929756164551,0.658733606338501,0.23638124763965607,0.4854315221309662,0.20332540571689606,0.25344735383987427,0.23571021854877472,0.5823672413825989,0.15617261826992035,0.22961433231830597
along,0.3530636131763458,0.28655800223350525,0.24426962435245514,0.2093208134174347,0.34889817237854004,0.21030418574810028,0.2098672240972519,1.0,0.39495137333869934,0.24867600202560425,0.17134909331798553
the,0.5003893971443176,0.40399202704429626,0.5829201340675354,0.2220524251461029,0.733189046382904,0.2603243589401245,0.2688957750797272,0.39495137333869934,1.0,0.30735138058662415,0.22068053483963013
