,what,encouraged,cultural,exchange,under,the,yuan,?
the,0.42745697498321533,0.21390338242053986,0.23337452113628387,0.2543705105781555,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
political,0.21846716105937958,0.2668021023273468,0.4041728079319,0.20115965604782104,0.13468164205551147,0.20477235317230225,0.16968153417110443,0.17130474746227264
unity,0.24233078956604004,0.19971010088920593,0.3261920213699341,0.10636182129383087,0.14995254576206207,0.2460627406835556,0.11167441308498383,0.16156218945980072
of,0.33290785551071167,0.23735111951828003,0.29898300766944885,0.23548997938632965,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
china,0.13832437992095947,0.17443063855171204,0.23488543927669525,0.1282225102186203,0.17205338180065155,0.3110525608062744,0.5794417262077332,0.18007943034172058
and,0.31309178471565247,0.35324954986572266,0.28489047288894653,0.23130671679973602,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
much,0.45316147804260254,0.24035559594631195,0.1460951566696167,0.17910951375961304,0.1765177845954895,0.35023224353790283,0.19367708265781403,0.23442231118679047
of,0.33290785551071167,0.23735111951828003,0.29898300766944885,0.23548997938632965,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
central,0.17723965644836426,0.055321287363767624,0.22473067045211792,0.14818553626537323,0.12046600133180618,0.3417201042175293,0.16617019474506378,0.14787602424621582
asia,0.14832128584384918,0.1453450471162796,0.20525476336479187,0.15195852518081665,0.18838578462600708,0.2838890850543976,0.2809104323387146,0.1340748518705368
promoted,0.18223430216312408,0.24849148094654083,0.24604134261608124,0.12417149543762207,0.17802180349826813,0.2648380994796753,0.05438560992479324,0.2079106867313385
trade,0.1555381417274475,0.14678049087524414,0.28533148765563965,0.40323135256767273,0.1741834580898285,0.2681608200073242,0.18455998599529266,0.09336511790752411
between,0.2462156116962433,0.18425771594047546,0.20539900660514832,0.23108834028244019,0.21604885160923004,0.39067012071609497,0.11118383705615997,0.12887074053287506
east,0.19840149581432343,0.16395023465156555,0.1923367977142334,0.17331284284591675,0.17525160312652588,0.3383176326751709,0.14658229053020477,0.10070597380399704
and,0.31309178471565247,0.35324954986572266,0.28489047288894653,0.23130671679973602,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
west,0.1946573108434677,0.1669982224702835,0.1453482210636139,0.1375466287136078,0.1504925787448883,0.32918402552604675,0.11195746064186096,0.12088293582201004
.,0.3567904531955719,0.2156796157360077,0.18655544519424438,0.14290252327919006,0.2901604175567627,0.5934505462646484,0.17233723402023315,0.4130953550338745
