,what,was,the,topic,of,the,error,?
martin,0.14814218878746033,0.2089129239320755,0.22029393911361694,0.1483822613954544,0.13722093403339386,0.22029393911361694,0.12246226519346237,0.060103293508291245
parry,0.23197250068187714,0.25043830275535583,0.2622797191143036,0.11879659444093704,0.20617924630641937,0.2622797191143036,0.2194633185863495,0.17210984230041504
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21878677606582642,0.4946078956127167,0.4933079481124878,0.2065339833498001,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.32918810844421387,0.5052502155303955,0.5829201340675354,0.29154232144355774,0.23916715383529663
climate,0.2854173183441162,0.14714933931827545,0.2693597674369812,0.2562185525894165,0.25840428471565247,0.2693597674369812,0.17198805510997772,0.19998492300510406
expert,0.3606319725513458,0.24025483429431915,0.18672597408294678,0.31955426931381226,0.1692837029695511,0.18672597408294678,0.2820857763290405,0.1580924242734909
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.24181857705116272,0.2827862501144409,0.3733934462070465,0.11088067293167114,0.26220351457595825
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.1734333485364914,0.37755560874938965,0.3875846862792969,0.09069160372018814,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.2681730389595032,0.31685134768486023,0.3563927710056305,0.13939431309700012,0.24354910850524902
co-chair,0.13390766084194183,0.2904858887195587,0.22999590635299683,0.20071235299110413,0.2163582593202591,0.22999590635299683,0.15205809473991394,0.13944998383522034
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.17743106186389923,1.0,0.733189046382904,0.15479235351085663,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.20863579213619232,0.733189046382904,1.0,0.1961134821176529,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.24925659596920013,0.3214462399482727,0.20174051821231842,0.24925659596920013,0.1888248175382614,0.22295254468917847
working,0.2846863269805908,0.25099408626556396,0.25857484340667725,0.2083834409713745,0.19986772537231445,0.25857484340667725,0.14918243885040283,0.17154020071029663
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.19455350935459137,0.25542253255844116,0.30795547366142273,0.0979132205247879,0.13827809691429138
ii,0.13866674900054932,0.25630512833595276,0.2631464898586273,0.08797647058963776,0.2844806909561157,0.2631464898586273,0.13108620047569275,0.11928234249353409
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21878677606582642,0.4946078956127167,0.4933079481124878,0.2065339833498001,0.31091248989105225
said,0.3951668441295624,0.43711766600608826,0.3024602234363556,0.2564840614795685,0.29014745354652405,0.3024602234363556,0.1974727064371109,0.28991883993148804
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.37645623087882996,0.41498205065727234,0.5473989248275757,0.3174022138118744,0.32716336846351624
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.11578613519668579,0.06780257821083069,0.029072100296616554,0.14330992102622986,0.0685480609536171
what,0.9999998807907104,0.22111038863658905,0.42745697498321533,0.391994446516037,0.33290785551071167,0.42745697498321533,0.30197378993034363,0.5051238536834717
began,0.1665823757648468,0.4683617055416107,0.3059147596359253,0.12899434566497803,0.2330763041973114,0.3059147596359253,0.07268259674310684,0.1370266228914261
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2424938678741455,0.41827285289764404,0.4223487675189972,0.14004217088222504,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.32918810844421387,0.5052502155303955,0.5829201340675354,0.29154232144355774,0.23916715383529663
single,0.24458327889442444,0.22785933315753937,0.29338565468788147,0.24857299029827118,0.22455744445323944,0.29338565468788147,0.16670294106006622,0.2151121199131012
unfortunate,0.4014178514480591,0.20968644320964813,0.26357176899909973,0.3789054751396179,0.2881084978580475,0.26357176899909973,0.28381118178367615,0.2397013157606125
error,0.30197378993034363,0.15878652036190033,0.1961134821176529,0.23848676681518555,0.15479235351085663,0.1961134821176529,0.9999999403953552,0.2543688118457794
over,0.28007611632347107,0.24486446380615234,0.39856547117233276,0.22457735240459442,0.36136594414711,0.39856547117233276,0.18274609744548798,0.25742942094802856
himalayan,0.16039705276489258,0.11047704517841339,0.26702675223350525,0.19057200849056244,0.21806706488132477,0.26702675223350525,0.14190679788589478,0.11688655614852905
glaciers,0.17894403636455536,0.08418398350477219,0.25829634070396423,0.21670764684677124,0.20751790702342987,0.25829634070396423,0.19365227222442627,0.10289843380451202
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.2112366408109665,0.3909035325050354,0.4177538752555847,0.12164574861526489,0.15994466841220856
become,0.27134042978286743,0.3147440552711487,0.31731709837913513,0.18693526089191437,0.31678006052970886,0.31731709837913513,0.025268539786338806,0.19511328637599945
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.32918810844421387,0.5052502155303955,0.5829201340675354,0.29154232144355774,0.23916715383529663
clamour,0.23362943530082703,0.25250276923179626,0.2941785156726837,0.2089984118938446,0.22951535880565643,0.2941785156726837,0.05480534955859184,0.2279367297887802
without,0.3181614279747009,0.18635936081409454,0.3270869255065918,0.18018127977848053,0.3081340193748474,0.3270869255065918,0.3213275074958801,0.2928665280342102
substance,0.2803279459476471,0.20017051696777344,0.27041906118392944,0.27925553917884827,0.23127788305282593,0.27041906118392944,0.18920771777629852,0.2033585160970688
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.07250123471021652,0.13035868108272552,0.041273195296525955,0.05795511230826378,0.018684765323996544
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1843968778848648,0.5116966962814331,0.5171257257461548,0.19511732459068298,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.20863579213619232,0.733189046382904,1.0,0.1961134821176529,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.24925659596920013,0.3214462399482727,0.20174051821231842,0.24925659596920013,0.1888248175382614,0.22295254468917847
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.1734333485364914,0.37755560874938965,0.3875846862792969,0.09069160372018814,0.20728366076946259
investigated,0.20849284529685974,0.25214648246765137,0.258423388004303,0.17204007506370544,0.21427537500858307,0.258423388004303,0.17505715787410736,0.12763407826423645
the,0.42745697498321533,0.48711544275283813,1.0,0.20863579213619232,0.733189046382904,1.0,0.1961134821176529,0.22068053483963013
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.29029834270477295,0.38583824038505554,0.44152235984802246,0.19229327142238617,0.24682199954986572
alleged,0.19019317626953125,0.2909727990627289,0.2058245837688446,0.1735222041606903,0.24758745729923248,0.2058245837688446,0.1505124866962433,0.12596184015274048
mistakes,0.3901787996292114,0.18380305171012878,0.2581973075866699,0.31783172488212585,0.20413003861904144,0.2581973075866699,0.4639805555343628,0.3399010896682739
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21878677606582642,0.4946078956127167,0.4933079481124878,0.2065339833498001,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.29322779178619385,0.5011631846427917,0.6521818041801453,0.29870957136154175,0.25814583897590637
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.12092853337526321,0.34038281440734863,0.3906462490558624,0.10735782980918884,0.17890112102031708
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.11578613519668579,0.06780257821083069,0.029072100296616554,0.14330992102622986,0.0685480609536171
generally,0.40614598989486694,0.25163960456848145,0.41466525197029114,0.2798386216163635,0.3127037584781647,0.41466525197029114,0.20078855752944946,0.23411904275417328
unfounded,0.3953234851360321,0.29414957761764526,0.31921252608299255,0.3674246668815613,0.2917079031467438,0.31921252608299255,0.23881462216377258,0.27144309878349304
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1843968778848648,0.5116966962814331,0.5171257257461548,0.19511732459068298,0.20544172823429108
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.20676562190055847,0.4924938678741455,0.6021018624305725,0.20625652372837067,0.21848613023757935
marginal,0.2536638677120209,0.1402420848608017,0.30781733989715576,0.17365503311157227,0.2691383361816406,0.30781733989715576,0.22751180827617645,0.18376903235912323
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.33097100257873535,0.41548454761505127,0.535392165184021,0.23290769755840302,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.20863579213619232,0.733189046382904,1.0,0.1961134821176529,0.22068053483963013
assessment,0.3237532377243042,0.1369474083185196,0.28427207469940186,0.2931552827358246,0.284860223531723,0.28427207469940186,0.17676304280757904,0.22666098177433014
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.07250123471021652,0.13035868108272552,0.041273195296525955,0.05795511230826378,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24883075058460236,0.5352458953857422,0.5934505462646484,0.23275774717330933,0.4130953550338745
