,what,was,apple,talk
appletalk,0.32407820224761963,0.20822075009346008,0.6662253737449646,0.5419471859931946
was,0.22111038863658905,1.0000001192092896,0.19429610669612885,0.1966634839773178
a,0.3320399522781372,0.4508470594882965,0.22888967394828796,0.23299653828144073
proprietary,0.23492130637168884,0.2386305183172226,0.35696107149124146,0.25162655115127563
suite,0.13092082738876343,0.14112304151058197,0.2325599640607834,0.17152856290340424
of,0.33290785551071167,0.4069072902202606,0.1750539094209671,0.15524029731750488
networking,0.2650068402290344,0.17378748953342438,0.28575435280799866,0.33178964257240295
protocols,0.1937398612499237,0.12824657559394836,0.2579623758792877,0.3092987537384033
developed,0.15555569529533386,0.3253139555454254,0.09494061022996902,0.08012469112873077
by,0.2455483376979828,0.4752357602119446,0.15861016511917114,0.1804291307926178
apple,0.23393958806991577,0.19429610669612885,0.9999999403953552,0.19424083828926086
inc.,0.2657894194126129,0.2586285173892975,0.26274922490119934,0.3371618688106537
in,0.30808621644973755,0.45514053106307983,0.15604665875434875,0.18162277340888977
1985,0.07759413868188858,0.010012023150920868,0.07813358306884766,0.03023277036845684
for,0.3017193675041199,0.3863949179649353,0.1404508501291275,0.29410800337791443
apple,0.23393958806991577,0.19429610669612885,0.9999999403953552,0.19424083828926086
macintosh,0.18790286779403687,0.21541060507297516,0.47541630268096924,0.24111680686473846
computers,0.3057560622692108,0.18774448335170746,0.43416011333465576,0.2967565357685089
.,0.3567904531955719,0.40146201848983765,0.2622234523296356,0.2742018699645996
