,what,substance,is,used,to,make,high,quality,liquid,o2,?
high-purity,0.3209998309612274,0.4308640658855438,0.3399922251701355,0.30629590153694153,0.33207592368125916,0.30848565697669983,0.4624672830104828,0.4987143576145172,0.3767035901546478,-0.09430785477161407,0.2376292496919632
liquid,0.24017377197742462,0.582061767578125,0.2801579535007477,0.33176282048225403,0.24009785056114197,0.32115817070007324,0.21356754004955292,0.30798593163490295,1.0,-0.07930931448936462,0.18412289023399353
o,0.1489914506673813,0.15220628678798676,0.18684464693069458,0.11275003105401993,0.1644444614648819,0.13258835673332214,0.13029484450817108,0.048690371215343475,0.11546910554170609,0.17756037414073944,0.23868927359580994
2,-0.049862053245306015,0.0744451954960823,-0.07940074801445007,0.04418706148862839,-0.0836251974105835,-0.03357158973813057,-0.13535785675048828,-0.12492169439792633,0.11703944951295853,0.026242131367325783,0.001977203879505396
is,0.28837618231773376,0.307191401720047,1.0,0.3288823366165161,0.42745086550712585,0.3331545889377594,0.2383800595998764,0.24161657691001892,0.2801579535007477,-0.0536184124648571,0.22961433231830597
usually,0.32521089911460876,0.3039270341396332,0.4230746626853943,0.4620378017425537,0.3824864327907562,0.4043290615081787,0.24012598395347595,0.266230046749115,0.3311900496482849,-0.008733869530260563,0.19435347616672516
obtained,0.15716862678527832,0.30539917945861816,0.22839020192623138,0.29457202553749084,0.2367737591266632,0.1971207857131958,0.15563611686229706,0.2124020904302597,0.21930669248104095,0.06847987323999405,0.10347618907690048
by,0.2455483376979828,0.20192691683769226,0.3899846076965332,0.27705541253089905,0.33534231781959534,0.2695997655391693,0.2159195840358734,0.18296083807945251,0.1749679148197174,0.04905276000499725,0.17966607213020325
the,0.42745697498321533,0.27041906118392944,0.5823672413825989,0.3718377649784088,0.535392165184021,0.3146495521068573,0.28034812211990356,0.21949779987335205,0.25047987699508667,-0.11169687658548355,0.22068053483963013
fractional,0.2263963520526886,0.40088626742362976,0.2462017834186554,0.3231721520423889,0.25614839792251587,0.24530431628227234,0.21189235150814056,0.25140464305877686,0.3501385748386383,0.14978937804698944,0.14821138978004456
distillation,0.2189600020647049,0.5102951526641846,0.316500723361969,0.38700607419013977,0.2368154674768448,0.24381983280181885,0.16694819927215576,0.3432300090789795,0.5461412072181702,0.044062934815883636,0.16778196394443512
of,0.33290785551071167,0.23127788305282593,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.2912110388278961,0.2803038954734802,0.24742498993873596,0.2296105921268463,-0.11047574132680893,0.1826142966747284
liquefied,0.21726368367671967,0.5222346186637878,0.22803297638893127,0.4048653841018677,0.2734927833080292,0.3167378604412079,0.24999064207077026,0.3124738037586212,0.673147976398468,-0.13101638853549957,0.21783524751663208
air,0.10361403971910477,0.2339344471693039,0.2280944287776947,0.22700221836566925,0.24103909730911255,0.19375136494636536,0.22234110534191132,0.17028725147247314,0.33134424686431885,-0.09888937324285507,0.1491677612066269
.,0.3567904531955719,0.26752230525016785,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.3547073304653168,0.24301011860370636,0.19519193470478058,0.2470431923866272,0.09499986469745636,0.4130953550338745
