,what,organization,is,the,ipcc,a,part,of,?
the,0.42745697498321533,0.311172217130661,0.5823672413825989,1.0,0.24925659596920013,0.5829201340675354,0.527681291103363,0.733189046382904,0.22068053483963013
intergovernmental,0.2509416937828064,0.5141740441322327,0.2623293697834015,0.3584725558757782,0.5452430248260498,0.29885196685791016,0.24640421569347382,0.38707613945007324,0.217753067612648
panel,0.20197252929210663,0.1918821930885315,0.18071286380290985,0.20552968978881836,0.393046110868454,0.18560358881950378,0.15824130177497864,0.16366299986839294,0.1475982517004013
on,0.34226128458976746,0.19383496046066284,0.3635730445384979,0.5107308030128479,0.24879392981529236,0.3848365545272827,0.3598494827747345,0.3966929316520691,0.2714994251728058
climate,0.2854173183441162,0.2044844776391983,0.26601269841194153,0.2693597674369812,0.5031722187995911,0.1805623322725296,0.23026028275489807,0.25840428471565247,0.19998492300510406
change,0.3690716028213501,0.1862344890832901,0.33028605580329895,0.3641999065876007,0.34827950596809387,0.3047741651535034,0.24961528182029724,0.2569013833999634,0.24115969240665436
(,0.2411840260028839,0.1716907024383545,0.35393038392066956,0.33289089798927307,0.13946431875228882,0.3206180930137634,0.2208257019519806,0.35032153129577637,0.40561532974243164
ipcc,0.33176189661026,0.3586319088935852,0.15563958883285522,0.24925659596920013,1.0000001192092896,0.12244262546300888,0.14031915366649628,0.20174051821231842,0.22295254468917847
),0.26259949803352356,0.19336465001106262,0.37732169032096863,0.3456730246543884,0.12562119960784912,0.3640355169773102,0.24734117090702057,0.3680361211299896,0.42300865054130554
is,0.28837618231773376,0.20597060024738312,1.0,0.5823672413825989,0.15563958883285522,0.658733606338501,0.4582172930240631,0.4854315221309662,0.22961433231830597
a,0.3320399522781372,0.2565373480319977,0.658733606338501,0.5829201340675354,0.12244262546300888,1.0,0.3994528353214264,0.5052502155303955,0.23916715383529663
scientific,0.18922170996665955,0.30641496181488037,0.24722182750701904,0.24748262763023376,0.4206697344779968,0.20989106595516205,0.2281898409128189,0.2751598358154297,0.16215236485004425
intergovernmental,0.2509416937828064,0.5141740441322327,0.2623293697834015,0.3584725558757782,0.5452430248260498,0.29885196685791016,0.24640421569347382,0.38707613945007324,0.217753067612648
body,0.2143840193748474,0.2725541889667511,0.2790417969226837,0.31682634353637695,0.18800775706768036,0.26263290643692017,0.19935311377048492,0.25063133239746094,0.20136451721191406
under,0.20154598355293274,0.1314825564622879,0.21294879913330078,0.3348022699356079,0.13639108836650848,0.18317826092243195,0.21344450116157532,0.32766106724739075,0.18233340978622437
the,0.42745697498321533,0.311172217130661,0.5823672413825989,1.0,0.24925659596920013,0.5829201340675354,0.527681291103363,0.733189046382904,0.22068053483963013
auspices,0.17501124739646912,0.25535836815834045,0.1372976452112198,0.23015670478343964,0.24624358117580414,0.1301678717136383,0.19936394691467285,0.2343333512544632,0.12953341007232666
of,0.33290785551071167,0.25438958406448364,0.4854315221309662,0.733189046382904,0.20174051821231842,0.5052502155303955,0.452393114566803,1.0,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.5823672413825989,1.0,0.24925659596920013,0.5829201340675354,0.527681291103363,0.733189046382904,0.22068053483963013
united,0.20036718249320984,0.3195030987262726,0.22408509254455566,0.34367692470550537,0.18249520659446716,0.2732578217983246,0.221727192401886,0.3187655806541443,0.17266890406608582
nations,0.19211222231388092,0.4629878103733063,0.19151805341243744,0.3506215214729309,0.3838126063346863,0.1973731815814972,0.24731561541557312,0.27521562576293945,0.20999202132225037
",",0.3087472915649414,0.1819751113653183,0.4691906273365021,0.4933079481124878,0.15590040385723114,0.427140474319458,0.3376222252845764,0.4946078956127167,0.31091248989105225
set,0.28954121470451355,0.16431672871112823,0.21148966252803802,0.2927955985069275,0.14431925117969513,0.2540091574192047,0.22173701226711273,0.20671486854553223,0.1698019951581955
up,0.28591108322143555,0.10248596221208572,0.2853454053401947,0.38423117995262146,0.1705584079027176,0.32523053884506226,0.27890995144844055,0.32945773005485535,0.1819818764925003
at,0.2838611304759979,0.11811204999685287,0.25906258821487427,0.457212895154953,0.21482627093791962,0.3095070421695709,0.27486899495124817,0.42558613419532776,0.21978627145290375
the,0.42745697498321533,0.311172217130661,0.5823672413825989,1.0,0.24925659596920013,0.5829201340675354,0.527681291103363,0.733189046382904,0.22068053483963013
request,0.32393980026245117,0.1757657676935196,0.21177111566066742,0.18777982890605927,0.22778359055519104,0.2487754076719284,0.11624638736248016,0.17325465381145477,0.3439766466617584
of,0.33290785551071167,0.25438958406448364,0.4854315221309662,0.733189046382904,0.20174051821231842,0.5052502155303955,0.452393114566803,1.0,0.1826142966747284
member,0.09932345896959305,0.30626919865608215,0.2522773742675781,0.2806392312049866,0.2302650660276413,0.24081070721149445,0.30689847469329834,0.2701796889305115,0.06826172769069672
governments,0.2814749777317047,0.3962046205997467,0.203748419880867,0.2835306227207184,0.37634360790252686,0.22102735936641693,0.19693760573863983,0.30223309993743896,0.18805137276649475
.,0.3567904531955719,0.20656518638134003,0.4569662809371948,0.5934505462646484,0.20098818838596344,0.50484299659729,0.32817673683166504,0.5352458953857422,0.4130953550338745
