,when,did,honda,",",toyota,and,nissan,open,us,assembly,plants,?
some,0.386913925409317,0.42553430795669556,0.11205946654081345,0.42400437593460083,0.12611602246761322,0.5337774157524109,0.10435894876718521,0.20894673466682434,0.2204330712556839,0.17716774344444275,0.3633081018924713,0.2562315762042999
buyers,0.23864704370498657,0.259145051240921,0.2819415330886841,0.18525828421115875,0.3807936906814575,0.21388040482997894,0.24757781624794006,0.19565758109092712,0.26676130294799805,0.1043173149228096,0.2361152172088623,0.16299520432949066
lamented,0.1490422785282135,0.2447201907634735,0.05698342248797417,0.2864566445350647,0.02933802269399166,0.25663521885871887,0.09057658910751343,0.1643417924642563,0.07675112038850784,0.08971086889505386,0.25937387347221375,0.13069462776184082
the,0.5091903209686279,0.34736719727516174,0.11746818572282791,0.4933079481124878,0.175506591796875,0.5171257257461548,0.24678362905979156,0.2764171361923218,0.25727739930152893,0.2524827718734741,0.29499560594558716,0.22068053483963013
small,0.3321642279624939,0.20443524420261383,0.19146355986595154,0.3083299398422241,0.1932985484600067,0.35207539796829224,0.16984987258911133,0.2539432644844055,0.16534051299095154,0.19170036911964417,0.2972499132156372,0.13914890587329865
size,0.22355671226978302,0.17631091177463531,0.21739482879638672,0.2156888097524643,0.27197664976119995,0.252314954996109,0.2622387707233429,0.19852197170257568,0.21536065638065338,0.22008651494979858,0.22124603390693665,0.13693112134933472
of,0.3757161796092987,0.2513895630836487,0.134624183177948,0.4946078956127167,0.1666925847530365,0.5116966962814331,0.17497491836547852,0.17970167100429535,0.23568789660930634,0.2946469783782959,0.29386165738105774,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.11746818572282791,0.4933079481124878,0.175506591796875,0.5171257257461548,0.24678362905979156,0.2764171361923218,0.25727739930152893,0.2524827718734741,0.29499560594558716,0.22068053483963013
first,0.4282494783401489,0.33691170811653137,0.18814842402935028,0.34503069519996643,0.196528822183609,0.3167642652988434,0.2859395742416382,0.1314479559659958,0.18757691979408264,0.2630605101585388,0.1885938048362732,0.18701928853988647
japanese,0.1494722217321396,0.14879822731018066,0.4336981773376465,0.18483802676200867,0.3477569818496704,0.2319587618112564,0.3214758634567261,0.08518523722887039,0.24573126435279846,0.11078118532896042,0.14948195219039917,0.12021756172180176
compacts,0.25423675775527954,0.1855430006980896,0.31973472237586975,0.18933165073394775,0.3288259208202362,0.24837042391300201,0.3003177046775818,0.1616894006729126,0.23354469239711761,0.2633446455001831,0.3007620871067047,0.1550748199224472
",",0.36674630641937256,0.3015086054801941,0.17387734353542328,1.0000001192092896,0.21259759366512299,0.6633074283599854,0.1441117376089096,0.28863707184791565,0.3120202422142029,0.21222424507141113,0.2555769681930542,0.31091248989105225
