,when,was,the,article,published,?
tesla,0.1504557579755783,0.16455206274986267,0.1324402391910553,0.14590303599834442,0.16719935834407806,0.10250775516033173
made,0.2936893105506897,0.3433256447315216,0.3885267674922943,0.180598646402359,0.3044113218784332,0.17218779027462006
predictions,0.2723851203918457,0.16036637127399445,0.20457418262958527,0.25807663798332214,0.29192593693733215,0.2019030749797821
about,0.3835894465446472,0.2577359974384308,0.37995871901512146,0.34003353118896484,0.2554853856563568,0.302409827709198
the,0.5091903209686279,0.48711544275283813,1.0,0.3329811692237854,0.22017472982406616,0.22068053483963013
relevant,0.2259076088666916,0.1266806274652481,0.3216378390789032,0.5769712328910828,0.21192924678325653,0.37889617681503296
issues,0.26781919598579407,0.2080516368150711,0.2638932764530182,0.43865376710891724,0.21948876976966858,0.320565789937973
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.25720444321632385,0.23023100197315216,0.1826142966747284
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.30913418531417847,0.1993555724620819,0.23916715383529663
post-world,0.27289336919784546,0.32489222288131714,0.3463971018791199,0.2777712643146515,0.34152787923812866,0.26380255818367004
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.1842338740825653,0.19933663308620453,0.15510529279708862
i,0.33498305082321167,0.23566235601902008,0.26687872409820557,0.4937412440776825,0.14279502630233765,0.4695145785808563
environment,0.2315404862165451,0.14714735746383667,0.25819888710975647,0.17377544939517975,0.12236758321523666,0.19478057324886322
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.26153311133384705,0.26697060465812683,0.20430970191955566
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.30913418531417847,0.1993555724620819,0.23916715383529663
printed,0.22858504951000214,0.218587726354599,0.25742077827453613,0.22684140503406525,0.554714024066925,0.1726173758506775
article,0.2636274993419647,0.26395970582962036,0.3329811692237854,0.9999999403953552,0.2783300280570984,0.4948462247848511
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.28605279326438904,0.2937801778316498,0.31091248989105225
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.025853512808680534,-0.08193813264369965,0.0685480609536171
science,0.16938894987106323,0.22005605697631836,0.24037593603134155,0.22676078975200653,0.27250435948371887,0.17974960803985596
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.23647621273994446,0.22629010677337646,0.20544172823429108
discovery,0.19931064546108246,0.2267063707113266,0.29877567291259766,0.178068608045578,0.2299889177083969,0.11594310402870178
are,0.29873907566070557,0.3076191842556,0.40399202704429626,0.23467081785202026,0.15000919997692108,0.24591213464736938
the,0.5091903209686279,0.48711544275283813,1.0,0.3329811692237854,0.22017472982406616,0.22068053483963013
great,0.2342798113822937,0.19652196764945984,0.2822027802467346,0.19244353473186493,0.1336493194103241,0.13135133683681488
forces,0.2460811883211136,0.22620010375976562,0.3134811818599701,0.15233801305294037,0.16171586513519287,0.16984491050243378
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.3171063959598541,0.19621475040912628,0.25814583897590637
will,0.42625120282173157,0.22588570415973663,0.3635469079017639,0.37351781129837036,0.14283141493797302,0.35046905279159546
lead,0.2627306580543518,0.1970783770084381,0.21995973587036133,0.25445443391799927,0.04276521876454353,0.14552436769008636
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.361922025680542,0.12403073906898499,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,1.0,0.3329811692237854,0.22017472982406616,0.22068053483963013
consummation,0.29855093359947205,0.20917902886867523,0.2827487289905548,0.2929267883300781,0.22158250212669373,0.2843547463417053
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.25720444321632385,0.23023100197315216,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.3329811692237854,0.22017472982406616,0.22068053483963013
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.1842338740825653,0.19933663308620453,0.15510529279708862
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.08483149111270905,0.013779557310044765,0.018684765323996544
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.25957366824150085,0.18344631791114807,0.40561532974243164
20,-0.07240847498178482,-0.09198236465454102,-0.06418957561254501,0.034039631485939026,0.021773705258965492,0.11360422521829605
december,0.28435230255126953,0.41127854585647583,0.23266014456748962,0.2589621841907501,0.20156948268413544,0.2480352818965912
1914,0.08534853160381317,-0.00012045619951095432,0.04474614933133125,0.14696446061134338,-0.028632860630750656,0.14893388748168945
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.26026514172554016,0.17891167104244232,0.42300865054130554
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.30669885873794556,0.23857341706752777,0.4130953550338745
