,when,was,the,jacksonville,town,charter,approved,?
led,0.2072276622056961,0.34443995356559753,0.3267505168914795,0.12468202412128448,0.16399908065795898,0.13170495629310608,0.2218615561723709,0.09273858368396759
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.15927588939666748,0.15964296460151672,0.1632666289806366,0.297686904668808,0.17966607213020325
isaiah,0.15045621991157532,0.22456033527851105,0.20477035641670227,0.16719919443130493,0.10553023964166641,0.10391170531511307,0.12431644648313522,0.20082400739192963
d.,0.03472891449928284,0.0687001422047615,0.03410084545612335,-0.06451006978750229,0.013180420733988285,0.011097860522568226,-0.027831479907035828,-0.049560099840164185
hart,0.21310333907604218,0.26193729043006897,0.22534161806106567,0.26048824191093445,0.11490712314844131,0.23764531314373016,0.17982035875320435,0.17765164375305176
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2837527096271515,0.27598801255226135,0.25566044449806213,0.28550124168395996,0.31091248989105225
residents,0.1641647219657898,0.1920553296804428,0.28274044394493103,0.2859777510166168,0.3924339711666107,0.2545121908187866,0.20271791517734528,0.09602975845336914
wrote,0.18808679282665253,0.40092042088508606,0.2426944375038147,0.18041417002677917,0.1585220843553543,0.10700135678052902,0.17472676932811737,0.19322504103183746
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.28008249402046204,0.2832636833190918,0.20456433296203613,0.272470086812973,0.23916715383529663
charter,0.23500612378120422,0.23359626531600952,0.26436546444892883,0.2530274987220764,0.30909574031829834,1.0000001192092896,0.3402279317378998,0.14220231771469116
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.28549739718437195,0.13830983638763428,0.2007191777229309,0.2888582944869995,0.264628142118454
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.28008249402046204,0.2832636833190918,0.20456433296203613,0.272470086812973,0.23916715383529663
town,0.21859249472618103,0.26823142170906067,0.2974243760108948,0.20888616144657135,1.0,0.30909574031829834,0.13273166120052338,0.09902279824018478
government,0.23078718781471252,0.2995857298374176,0.31798112392425537,0.1274321973323822,0.27499595284461975,0.3245880901813507,0.3050898611545563,0.18851417303085327
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2837527096271515,0.27598801255226135,0.25566044449806213,0.28550124168395996,0.31091248989105225
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.18266190588474274,0.20332901179790497,0.22885680198669434,0.2623177170753479,0.25814583897590637
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2742757201194763,0.26823142170906067,0.23359626531600952,0.27298814058303833,0.18412111699581146
approved,0.23851343989372253,0.27298814058303833,0.30207422375679016,0.13521422445774078,0.13273166120052338,0.3402279317378998,1.0,0.25914356112480164
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.15927588939666748,0.15964296460151672,0.1632666289806366,0.297686904668808,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.2176690250635147,0.2974243760108948,0.26436546444892883,0.30207422375679016,0.22068053483963013
florida,0.18923655152320862,0.23693005740642548,0.24091358482837677,0.568950355052948,0.16073645651340485,0.2039002776145935,0.153273805975914,0.13469882309436798
legislative,0.1830703467130661,0.20243224501609802,0.27501925826072693,0.1509174257516861,0.2269328385591507,0.35893771052360535,0.3907003700733185,0.1654243916273117
council,0.1893327534198761,0.23921515047550201,0.2829204201698303,0.19561152160167694,0.2643948495388031,0.33312904834747314,0.3116105794906616,0.1160062924027443
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.23172973096370697,0.18149195611476898,0.22432076930999756,0.276600182056427,0.2714994251728058
february,0.2621206045150757,0.446986585855484,0.26483774185180664,0.2440309375524521,0.20103123784065247,0.17668244242668152,0.24397015571594238,0.29594847559928894
9,-0.062115494161844254,0.07464917749166489,0.023652536794543266,-0.041471485048532486,0.010201756842434406,0.056308768689632416,0.04428476467728615,-0.026682810857892036
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2837527096271515,0.27598801255226135,0.25566044449806213,0.28550124168395996,0.31091248989105225
1832,-0.03316543996334076,0.12558484077453613,0.10883110761642456,0.12562783062458038,0.06910465657711029,0.1474945992231369,0.16311846673488617,0.07706888020038605
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2843366861343384,0.28254011273384094,0.17250345647335052,0.29869166016578674,0.4130953550338745
