,for,which,show,did,billie,piper,tape,an,introduction,?
for,0.9999999403953552,0.44095608592033386,0.3141973614692688,0.318512886762619,0.18735529482364655,0.13559119403362274,0.19025389850139618,0.3236706852912903,0.2745710015296936,0.264628142118454
the,0.4739971458911896,0.6521818041801453,0.319829523563385,0.34736719727516174,0.21176521480083466,0.2175988256931305,0.14324384927749634,0.4207492768764496,0.2808631956577301,0.22068053483963013
canadian,0.1746595799922943,0.16088077425956726,0.14572159945964813,0.15543626248836517,0.2699070870876312,0.1786535531282425,0.06570832431316376,0.19095201790332794,0.07337124645709991,0.10011322796344757
broadcast,0.2546502649784088,0.26385819911956787,0.43468156456947327,0.17054221034049988,0.2016594111919403,0.22828780114650726,0.27479538321495056,0.19117678701877594,0.17675583064556122,0.15760008990764618
",",0.4464869201183319,0.3658004403114319,0.31928569078445435,0.3015086054801941,0.2851881980895996,0.23468056321144104,0.1637849658727646,0.3581022024154663,0.27215272188186646,0.31091248989105225
christopher,0.14023226499557495,0.11785814166069031,0.15936672687530518,0.12944325804710388,0.25194722414016724,0.1730077713727951,0.03746213763952255,0.16384345293045044,0.1758871078491211,0.09195942431688309
eccleston,0.23066531121730804,0.24227948486804962,0.18746599555015564,0.238835409283638,0.23256325721740723,0.3099178075790405,0.1808696985244751,0.2565363645553589,0.24075210094451904,0.18846043944358826
recorded,0.19644500315189362,0.22201813757419586,0.1879468560218811,0.26971957087516785,0.2766377329826355,0.1316857486963272,0.39672529697418213,0.1934453696012497,0.17455431818962097,0.19213420152664185
special,0.311454176902771,0.3709421753883362,0.2602277398109436,0.20785176753997803,0.21966901421546936,0.22221526503562927,0.21814119815826416,0.19840748608112335,0.11363294720649719,0.29623302817344666
video,0.24499081075191498,0.22561120986938477,0.2439161241054535,0.16985929012298584,0.2472275197505951,0.21806427836418152,0.36483365297317505,0.16529147326946259,0.2062046080827713,0.22771678864955902
introductions,0.31018322706222534,0.3285931348800659,0.2761234939098358,0.230263814330101,0.18048642575740814,0.15759925544261932,0.261249303817749,0.15968672931194305,0.937839925289154,0.2720862627029419
for,0.9999999403953552,0.44095608592033386,0.3141973614692688,0.318512886762619,0.18735529482364655,0.13559119403362274,0.19025389850139618,0.3236706852912903,0.2745710015296936,0.264628142118454
each,0.3044290542602539,0.5572347640991211,0.25390446186065674,0.20516681671142578,0.13549387454986572,0.14827363193035126,0.208243265748024,0.20307137072086334,0.1399272233247757,0.21173812448978424
episode,0.17981192469596863,0.23802484571933746,0.49653249979019165,0.14017418026924133,0.2491769790649414,0.2587805688381195,0.21079538762569427,0.14956113696098328,0.20976555347442627,0.23978739976882935
(,0.3357032239437103,0.2589828372001648,0.21963447332382202,0.18979617953300476,0.2299448847770691,0.13083761930465698,0.11175743490457535,0.286407470703125,0.20010896027088165,0.40561532974243164
including,0.42507120966911316,0.41826364398002625,0.23667822778224945,0.26678287982940674,0.16840748488903046,0.12546877562999725,0.14528068900108337,0.13861823081970215,0.2934739887714386,0.1633303165435791
