,what,type,of,lord,is,doctor,who,?
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.18802540004253387,0.43216490745544434,0.17422905564308167,0.3923053741455078,0.27043893933296204
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.13542361557483673,0.658733606338501,0.22883038222789764,0.36608949303627014,0.23916715383529663
time,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.23587727546691895,0.25187405943870544,0.22827142477035522,0.36634087562561035,0.27391523122787476
lord,0.15077504515647888,-0.011143039911985397,0.20127125084400177,1.0000001192092896,0.14423592388629913,0.18648956716060638,0.25294241309165955,0.09544310718774796
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23110952973365784,0.4691906273365021,0.20407600700855255,0.3365725874900818,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2489406019449234,0.5823672413825989,0.2820442318916321,0.3733934462070465,0.22068053483963013
doctor,0.20870667695999146,0.08423732966184616,0.16895952820777893,0.18648956716060638,0.19875872135162354,0.9999999403953552,0.3504868149757385,0.1462511420249939
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.12162984907627106,0.5668748617172241,0.1778179407119751,0.2558172643184662,0.15994466841220856
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2489406019449234,0.5823672413825989,0.2820442318916321,0.3733934462070465,0.22068053483963013
ability,0.26366251707077026,0.1878262609243393,0.21105368435382843,0.19712252914905548,0.18390236794948578,0.08869708329439163,0.26363757252693176,0.1955445408821106
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23884858191013336,0.42745086550712585,0.22950075566768646,0.42656609416007996,0.29463258385658264
regenerate,0.23099561035633087,0.29979103803634644,0.29200416803359985,0.21067918837070465,0.22515206038951874,0.32403048872947693,0.16389873623847961,0.17953330278396606
when,0.4700249433517456,0.17292563617229462,0.3757161796092987,0.13919566571712494,0.3471449911594391,0.16867952048778534,0.48282691836357117,0.22841128706932068
his,0.26976513862609863,0.0908033698797226,0.38364991545677185,0.250871479511261,0.24372583627700806,0.2365143597126007,0.44966956973075867,0.18075084686279297
body,0.2143840193748474,0.2224954217672348,0.25063133239746094,0.16878332197666168,0.2790417969226837,0.23570314049720764,0.2087378203868866,0.20136451721191406
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.14423592388629913,1.0,0.19875872135162354,0.24293622374534607,0.22961433231830597
mortally,0.17187219858169556,0.10570215433835983,0.2148345708847046,0.2777725160121918,0.1965322643518448,0.21450786292552948,0.3925177752971649,0.14380745589733124
damaged,0.2276492565870285,0.15382085740566254,0.25165170431137085,0.10160031914710999,0.1712125837802887,0.15516352653503418,0.15397630631923676,0.15946903824806213
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23110952973365784,0.4691906273365021,0.20407600700855255,0.3365725874900818,0.31091248989105225
taking,0.24635453522205353,0.14883960783481598,0.29240402579307556,0.19977791607379913,0.2171461582183838,0.1974715143442154,0.2872755825519562,0.19960761070251465
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.1183229386806488,0.3635730445384979,0.1636410653591156,0.2340552806854248,0.2714994251728058
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.13542361557483673,0.658733606338501,0.22883038222789764,0.36608949303627014,0.23916715383529663
new,0.2130378633737564,0.20896777510643005,0.343457967042923,0.13789735734462738,0.2208656519651413,0.12563565373420715,0.2378052920103073,0.14782847464084625
appearance,0.17546585202217102,0.13805514574050903,0.18182265758514404,0.12680275738239288,0.22147345542907715,0.2350926250219345,0.18138431012630463,0.17315366864204407
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.22902889549732208,0.3859752118587494,0.21673844754695892,0.41279885172843933,0.20544172823429108
personality,0.2489047348499298,0.16692057251930237,0.15618032217025757,0.158014178276062,0.20453467965126038,0.23017868399620056,0.30927449464797974,0.1765366792678833
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.14438843727111816,0.4569662809371948,0.22361043095588684,0.3541337847709656,0.4130953550338745
