,the,atomic,number,of,the,periodic,table,for,oxygen,?
oxygen,0.20428593456745148,0.3498596251010895,0.18965746462345123,0.16848602890968323,0.20428593456745148,0.38026314973831177,0.2195720374584198,0.22718772292137146,0.9999999403953552,0.16786395013332367
is,0.5823672413825989,0.1635025292634964,0.22390379011631012,0.4854315221309662,0.5823672413825989,0.1802668273448944,0.2049751877784729,0.43268078565597534,0.21825239062309265,0.22961433231830597
a,0.5829201340675354,0.2021433413028717,0.2992287278175354,0.5052502155303955,0.5829201340675354,0.25130996108055115,0.2432243973016739,0.44038116931915283,0.21662019193172455,0.23916715383529663
chemical,0.18641819059848785,0.46276310086250305,0.20794881880283356,0.22874756157398224,0.18641819059848785,0.4938552975654602,0.284327894449234,0.23266151547431946,0.46001601219177246,0.2040288895368576
element,0.2041647583246231,0.46926116943359375,0.2513018548488617,0.21102571487426758,0.2041647583246231,0.5583475828170776,0.4199136793613434,0.21290206909179688,0.35867807269096375,0.18393386900424957
with,0.4223487675189972,0.16652131080627441,0.2513769268989563,0.41827285289764404,0.4223487675189972,0.21958638727664948,0.24131441116333008,0.39140474796295166,0.200663760304451,0.2433311939239502
symbol,0.22023849189281464,0.31597644090652466,0.22396087646484375,0.25313764810562134,0.22023849189281464,0.3633327782154083,0.2282116711139679,0.2578233480453491,0.13148684799671173,0.1418723464012146
o,0.19071193039417267,0.14572952687740326,0.13651412725448608,0.16054381430149078,0.19071193039417267,0.2161821871995926,0.13407498598098755,0.140855610370636,0.2476140707731247,0.23868927359580994
and,0.5171257257461548,0.19259218871593475,0.28545793890953064,0.5116966962814331,0.5171257257461548,0.16507937014102936,0.20528675615787506,0.5064792633056641,0.22261030972003937,0.20544172823429108
atomic,0.20241498947143555,1.0000001192092896,0.29256096482276917,0.2374633401632309,0.20241498947143555,0.46055349707603455,0.28583696484565735,0.16998548805713654,0.3498596251010895,0.16654692590236664
number,0.35145696997642517,0.29256096482276917,1.0,0.2778518795967102,0.35145696997642517,0.3078572452068329,0.25996625423431396,0.2861633002758026,0.18965746462345123,0.19256845116615295
8,0.0063715726137161255,0.0024880440905690193,0.015012498944997787,0.03280399739742279,0.0063715726137161255,0.03755088895559311,0.021198587492108345,-0.08449628204107285,-0.03959163650870323,-0.04056251794099808
.,0.5934505462646484,0.2299385666847229,0.3256329298019409,0.5352458953857422,0.5934505462646484,0.21810539066791534,0.2248627245426178,0.4726039469242096,0.2554275095462799,0.4130953550338745
