,what,is,the,most,recent,example,of,financial,fault,lines,?
central,0.17723965644836426,0.273421049118042,0.3417201042175293,0.24005284905433655,0.09093041718006134,0.16211716830730438,0.3415789008140564,0.21329285204410553,0.1843661218881607,0.11713317036628723,0.14787602424621582
banking,0.17690955102443695,0.2317739725112915,0.303832471370697,0.23819206655025482,0.15122462809085846,0.22875666618347168,0.3159164786338806,0.6269558668136597,0.15118266642093658,0.15359018743038177,0.12845630943775177
economist,0.16227665543556213,0.17990195751190186,0.1439521312713623,0.1464434713125229,0.1712285578250885,0.16265784204006195,0.1498451977968216,0.3604995608329773,0.12613578140735626,0.07992129772901535,0.15311987698078156
raghuram,0.27225401997566223,0.33741694688796997,0.3500976860523224,0.25062471628189087,0.1798512190580368,0.20560292899608612,0.34366124868392944,0.2431439608335495,0.20362330973148346,0.1546429842710495,0.20225533843040466
rajan,0.20311595499515533,0.12573105096817017,0.1822163164615631,0.14880302548408508,0.1856839805841446,0.10073505342006683,0.19462206959724426,0.2551524043083191,0.07556694000959396,0.06371323764324188,0.18364664912223816
argues,0.3211183547973633,0.2095448076725006,0.22893615067005157,0.14377455413341522,0.1855453997850418,0.2550565302371979,0.24239063262939453,0.20215053856372833,0.12650355696678162,0.07993816584348679,0.20733967423439026
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.4497850239276886,0.3408474624156952,0.429897665977478,0.41498205065727234,0.2712239921092987,0.3191380500793457,0.2779782712459564,0.32716336846351624
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.08567854017019272,-0.05434009060263634,0.17130611836910248,0.06780257821083069,0.006819175090640783,-0.02623194269835949,0.07376645505428314,0.0685480609536171
systematic,0.2752337157726288,0.12260103970766068,0.2602854073047638,0.21340082585811615,0.2727321684360504,0.25481271743774414,0.2456565946340561,0.25954076647758484,0.15130692720413208,0.19109712541103363,0.14940129220485687
economic,0.18082544207572937,0.21102669835090637,0.282455176115036,0.2148471474647522,0.2846616208553314,0.2242841273546219,0.3030148148536682,0.5105793476104736,0.13255484402179718,0.13642823696136475,0.1206481084227562
inequalities,0.2880789637565613,0.18202315270900726,0.22218865156173706,0.20302006602287292,0.16871865093708038,0.3282553255558014,0.27897384762763977,0.246312215924263,0.1596536934375763,0.24919863045215607,0.19635117053985596
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.26883119344711304,0.3094974756240845,0.4946078956127167,0.25465908646583557,0.2584017217159271,0.23323656618595123,0.31091248989105225
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.2788230776786804,0.24173347651958466,0.2533930540084839,0.39594778418540955,0.20924530923366547,0.1477394700050354,0.2604023516178131,0.1870293766260147
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.31046223640441895,0.3755223751068115,0.733189046382904,0.29952070116996765,0.2534576952457428,0.28391990065574646,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.24793334305286407,0.17147107422351837,0.22059884667396545,0.3187655806541443,0.22034600377082825,0.06623487919569016,0.1691265106201172,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.286347895860672,0.1554632931947708,0.20861361920833588,0.30884552001953125,0.21085862815380096,0.0903305932879448,0.19138377904891968,0.16272737085819244
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.2640383541584015,0.35305824875831604,0.5116966962814331,0.26681631803512573,0.23141981661319733,0.30738139152526855,0.20544172823429108
around,0.27475327253341675,0.286477267742157,0.40085816383361816,0.36405929923057556,0.27151790261268616,0.23970310389995575,0.3296394646167755,0.2083854228258133,0.1756809949874878,0.22863219678401947,0.14729668200016022
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.31046223640441895,0.3755223751068115,0.733189046382904,0.29952070116996765,0.2534576952457428,0.28391990065574646,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.33157554268836975,0.18878906965255737,0.2155899703502655,0.2828933000564575,0.24051381647586823,0.09969328343868256,0.1460161656141281,0.17579582333564758
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.26883119344711304,0.3094974756240845,0.4946078956127167,0.25465908646583557,0.2584017217159271,0.23323656618595123,0.31091248989105225
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.44364631175994873,0.431756854057312,0.39606785774230957,0.3802283704280853,0.1648257076740265,0.1979800909757614,0.2242496907711029,0.32991164922714233
created,0.20714101195335388,0.28467464447021484,0.3539263904094696,0.2300800383090973,0.19133985042572021,0.26584646105766296,0.32043445110321045,0.17918699979782104,0.181466206908226,0.15959645807743073,0.21177415549755096
deep,0.2200533002614975,0.23750139772891998,0.26388582587242126,0.163630411028862,0.21341463923454285,0.13843116164207458,0.24191395938396454,0.0862562358379364,0.1843237429857254,0.23048135638237,0.1765073984861374
financial,0.1900392472743988,0.1937110424041748,0.29952070116996765,0.20496731996536255,0.20727969706058502,0.16202591359615326,0.30178552865982056,1.0,0.16748034954071045,0.1266685128211975,0.06444920599460602
'fault,0.3097907304763794,0.268522709608078,0.29454609751701355,0.14929766952991486,0.17465774714946747,0.24995169043540955,0.2157570719718933,0.1986624300479889,0.8466225862503052,0.2667964696884155,0.20352260768413544
lines,0.21269705891609192,0.1740446388721466,0.28391990065574646,0.19153180718421936,0.1477750539779663,0.2808900773525238,0.1948472559452057,0.1266685128211975,0.2630073130130768,1.0,0.18324026465415955
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.2361016869544983,0.24404677748680115,0.24123869836330414,0.39136970043182373,0.17539627850055695,0.2510235011577606,0.15840110182762146,0.330942302942276
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.4497850239276886,0.3408474624156952,0.429897665977478,0.41498205065727234,0.2712239921092987,0.3191380500793457,0.2779782712459564,0.32716336846351624
