,what,working,fluid,is,used,in,a,mercury,vapor,turbine,?
normally,0.30112072825431824,0.1718931943178177,0.34342581033706665,0.39886221289634705,0.4331343472003937,0.27602890133857727,0.37473243474960327,0.2607424855232239,0.2882455587387085,0.2071690857410431,0.20675471425056458
water,0.17456887662410736,0.17502498626708984,0.4363020062446594,0.2879090905189514,0.2721066176891327,0.23966141045093536,0.2979097068309784,0.2841009497642517,0.5515974164009094,0.431526243686676,0.14731885492801666
is,0.28837618231773376,0.20290212333202362,0.23022614419460297,1.0,0.3288823366165161,0.5394441485404968,0.658733606338501,0.2662414014339447,0.2488243281841278,0.20463748276233673,0.22961433231830597
the,0.42745697498321533,0.25857484340667725,0.23256433010101318,0.5823672413825989,0.3718377649784088,0.6662389636039734,0.5829201340675354,0.2059478461742401,0.20277047157287598,0.1799832284450531,0.22068053483963013
fluid,0.20682886242866516,0.1520453691482544,1.0,0.23022614419460297,0.24607479572296143,0.1272517591714859,0.22105562686920166,0.24309730529785156,0.43167248368263245,0.3672078549861908,0.18212400376796722
of,0.33290785551071167,0.19986772537231445,0.217294842004776,0.4854315221309662,0.3075267970561981,0.5696388483047485,0.5052502155303955,0.19711527228355408,0.17855684459209442,0.17630848288536072,0.1826142966747284
choice,0.29363784193992615,0.16934727132320404,0.1003325805068016,0.2168283462524414,0.1868494302034378,0.18258674442768097,0.2913992404937744,0.1848662942647934,0.1487056016921997,0.15994694828987122,0.28709158301353455
due,0.15204688906669617,0.10007821023464203,0.19151359796524048,0.24065633118152618,0.22744520008563995,0.2516716718673706,0.2190696746110916,0.1730870008468628,0.22050955891609192,0.18514616787433624,0.10954997688531876
to,0.455847829580307,0.28215980529785156,0.20024138689041138,0.42745086550712585,0.40058770775794983,0.45010748505592346,0.45503583550453186,0.282574325799942,0.23633262515068054,0.23140856623649597,0.29463258385658264
its,0.30393704771995544,0.18424473702907562,0.16100819408893585,0.4447362422943115,0.294392853975296,0.3793783485889435,0.4424409866333008,0.26810136437416077,0.21452194452285767,0.15757900476455688,0.15103481709957123
favourable,0.22386953234672546,0.188608318567276,0.18245616555213928,0.11983507126569748,0.21435371041297913,0.18897663056850433,0.18754032254219055,0.1593731790781021,0.26535576581954956,0.3205965459346771,0.18471771478652954
properties,0.23360128700733185,0.16231997311115265,0.28335219621658325,0.22585535049438477,0.29135963320732117,0.19315902888774872,0.21527832746505737,0.2654445171356201,0.2896783947944641,0.27217093110084534,0.12601029872894287
",",0.3087472915649414,0.29007792472839355,0.10517379641532898,0.4691906273365021,0.3120402991771698,0.5201468467712402,0.427140474319458,0.24557945132255554,0.2396736592054367,0.21183495223522186,0.31091248989105225
such,0.23989605903625488,0.2172299474477768,0.19646884500980377,0.23545363545417786,0.4262988865375519,0.2704046070575714,0.2706976532936096,0.18309642374515533,0.24759723246097565,0.17239749431610107,0.17851735651493073
as,0.31749409437179565,0.2861536145210266,0.15303975343704224,0.43216490745544434,0.35160550475120544,0.3887844979763031,0.39550232887268066,0.21450486779212952,0.18430878221988678,0.17994308471679688,0.27043893933296204
