,what,is,the,youngest,student,a,teacher,might,have,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2996733486652374,0.21259291470050812,0.5829201340675354,0.17760860919952393,0.32504433393478394,0.40389683842658997,0.22068053483963013
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.28878504037857056,0.5754092335700989,0.31202319264411926,0.9999998807907104,0.20155100524425507,0.1317407637834549,0.1797819435596466
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.21685323119163513,0.17901644110679626,0.29255667328834534,0.15417979657649994,0.5044193863868713,0.35194188356399536,0.2768254578113556
interact,0.33928218483924866,0.19587594270706177,0.25225138664245605,0.12712229788303375,0.1940443515777588,0.2641366422176361,0.13467012345790863,0.28445836901664734,0.38522809743881226,0.24087883532047272
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18703526258468628,0.1580762416124344,0.3783375024795532,0.13737362623214722,0.28227806091308594,0.48046383261680603,0.2433311939239502
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.2125958800315857,0.7746244072914124,0.2676560878753662,0.5254908204078674,0.22484560310840607,0.2558421790599823,0.18017297983169556
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31283414363861084,0.20310284197330475,0.5052502155303955,0.19968076050281525,0.2900311052799225,0.3802283704280853,0.1826142966747284
different,0.39262300729751587,0.24624870717525482,0.36412742733955383,0.08636708557605743,0.12107820063829422,0.29175353050231934,0.1333521157503128,0.4031476080417633,0.5267002582550049,0.24476227164268494
ages,0.2546566128730774,0.18691010773181915,0.28271523118019104,0.15216107666492462,0.14150622487068176,0.18719108402729034,0.18023614585399628,0.18850794434547424,0.23925703763961792,0.16701677441596985
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2467436045408249,0.2261858433485031,0.427140474319458,0.2884024977684021,0.2533247768878937,0.3541618287563324,0.31091248989105225
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.18142791092395782,0.14416815340518951,0.322764128446579,0.17958809435367584,0.23411066830158234,0.30702701210975647,0.19969791173934937
infants,0.20155192911624908,0.1768018901348114,0.18907147645950317,0.2337057739496231,0.14009584486484528,0.17365014553070068,0.16878266632556915,0.2760039269924164,0.3227895498275757,0.17682571709156036
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.25075048208236694,0.21220189332962036,0.45503583550453186,0.1991342306137085,0.5153919458389282,0.4544740617275238,0.29463258385658264
adults,0.2567427158355713,0.20578882098197937,0.24781310558319092,0.23761068284511566,0.213739812374115,0.19667603075504303,0.14734414219856262,0.2746388018131256,0.3424038589000702,0.22581297159194946
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2467436045408249,0.2261858433485031,0.427140474319458,0.2884024977684021,0.2533247768878937,0.3541618287563324,0.31091248989105225
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.2125958800315857,0.7746244072914124,0.2676560878753662,0.5254908204078674,0.22484560310840607,0.2558421790599823,0.18017297983169556
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18703526258468628,0.1580762416124344,0.3783375024795532,0.13737362623214722,0.28227806091308594,0.48046383261680603,0.2433311939239502
different,0.39262300729751587,0.24624870717525482,0.36412742733955383,0.08636708557605743,0.12107820063829422,0.29175353050231934,0.1333521157503128,0.4031476080417633,0.5267002582550049,0.24476227164268494
abilities,0.24971850216388702,0.10943332314491272,0.19409967958927155,0.14356490969657898,0.17220287024974823,0.21074023842811584,0.24953101575374603,0.30041056871414185,0.34065738320350647,0.1976996213197708
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21498309075832367,0.2391568422317505,0.3739250600337982,0.27571162581443787,0.31685465574264526,0.4711785912513733,0.20544172823429108
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.2125958800315857,0.7746244072914124,0.2676560878753662,0.5254908204078674,0.22484560310840607,0.2558421790599823,0.18017297983169556
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18703526258468628,0.1580762416124344,0.3783375024795532,0.13737362623214722,0.28227806091308594,0.48046383261680603,0.2433311939239502
learning,0.29806870222091675,0.19600103795528412,0.2504628002643585,0.20563703775405884,0.3833320438861847,0.23662391304969788,0.4099653959274292,0.3036825954914093,0.23821121454238892,0.25810256600379944
disabilities,0.29166853427886963,0.11469120532274246,0.15858615934848785,0.1783774346113205,0.25906017422676086,0.21534979343414307,0.2827930152416229,0.22464647889137268,0.29402515292167664,0.22903060913085938
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23262834548950195,0.20994822680950165,0.50484299659729,0.225234717130661,0.27493223547935486,0.41614407300949097,0.4130953550338745
