,over,how,many,studies,have,shown,that,violence,is,more,common,in,societies,with,income,differences,?
there,0.33811676502227783,0.3328511416912079,0.4993700683116913,0.24194782972335815,0.5194604992866516,0.3070218861103058,0.6006520986557007,0.1743168830871582,0.3904260993003845,0.4164280891418457,0.3011511266231537,0.5361666083335876,0.1874968707561493,0.37390366196632385,0.2881235182285309,0.3593539893627167,0.29405656456947327
have,0.41283175349235535,0.4370637536048889,0.5841760635375977,0.29284238815307617,0.9999999403953552,0.28475403785705566,0.6182622313499451,0.20082411170005798,0.3613572418689728,0.49033403396606445,0.3370055556297302,0.36843645572662354,0.32294073700904846,0.48046383261680603,0.21030287444591522,0.4158147871494293,0.32991164922714233
been,0.36951375007629395,0.26456597447395325,0.4963826537132263,0.2073357105255127,0.6493861675262451,0.2853824198246002,0.4152003228664398,0.15912000834941864,0.39566612243652344,0.34097588062286377,0.20298439264297485,0.3515113592147827,0.24874664843082428,0.2804456949234009,0.14217017590999603,0.26970773935317993,0.24354910850524902
over,1.0,0.31446483731269836,0.47131630778312683,0.17646020650863647,0.41283175349235535,0.19669148325920105,0.3882925808429718,0.21350529789924622,0.2159561663866043,0.452426552772522,0.20692884922027588,0.3605569899082184,0.1979539841413498,0.34885337948799133,0.186325803399086,0.2325114756822586,0.25742942094802856
fifty,0.32424312829971313,0.21776624023914337,0.29823967814445496,0.15328247845172882,0.2642515301704407,0.1553841233253479,0.22035087645053864,0.18917886912822723,0.1313113570213318,0.2630322277545929,0.11715518683195114,0.2593686282634735,0.18296511471271515,0.2031296342611313,0.14272882044315338,0.15621648728847504,0.14250896871089935
studies,0.17646020650863647,0.20649661123752594,0.27777576446533203,0.9999998807907104,0.29284238815307617,0.22717350721359253,0.26255905628204346,0.24593323469161987,0.2583865225315094,0.20077383518218994,0.20486901700496674,0.30442532896995544,0.37552493810653687,0.17316602170467377,0.19452963769435883,0.3821110427379608,0.1388726830482483
showing,0.21620237827301025,0.31077638268470764,0.321738600730896,0.18700355291366577,0.31232354044914246,0.5659267902374268,0.3517906069755554,0.18097467720508575,0.26419657468795776,0.2665652334690094,0.17867358028888702,0.2822064757347107,0.1391783058643341,0.3176843225955963,0.22811424732208252,0.30857259035110474,0.23185425996780396
tendencies,0.1898796707391739,0.26453080773353577,0.3138667047023773,0.15123139321804047,0.2892877757549286,0.17637622356414795,0.23580725491046906,0.311488538980484,0.14388255774974823,0.3067760467529297,0.26192083954811096,0.1362723410129547,0.3884619176387787,0.18637007474899292,0.21701692044734955,0.3629518747329712,0.14156287908554077
for,0.3419422209262848,0.3308170735836029,0.40972793102264404,0.15209509432315826,0.41175219416618347,0.28684258460998535,0.4137635827064514,0.23735401034355164,0.43268078565597534,0.3891189992427826,0.25494384765625,0.4322226941585541,0.21123450994491577,0.39140474796295166,0.27512091398239136,0.2461000382900238,0.264628142118454
violence,0.21350529789924622,0.18521322309970856,0.2641744017601013,0.24593323469161987,0.20082411170005798,0.1930534392595291,0.2665633261203766,1.0000001192092896,0.17799268662929535,0.22072415053844452,0.20018139481544495,0.2653872072696686,0.2731581926345825,0.15887562930583954,0.20073139667510986,0.2555825114250183,0.20634515583515167
