,clergy,usually,serve,as,what,in,local,congregations,?
they,0.26570186018943787,0.45253482460975647,0.2692376971244812,0.3294360637664795,0.4431931674480438,0.4330179989337921,0.21770167350769043,0.3019939959049225,0.2753053903579712
generally,0.32371774315834045,0.6714328527450562,0.26238614320755005,0.3970455825328827,0.40614598989486694,0.28190043568611145,0.2316989004611969,0.27828899025917053,0.23411904275417328
serve,0.20548789203166962,0.28115153312683105,0.9999998807907104,0.3768509030342102,0.23061832785606384,0.20702329277992249,0.17824366688728333,0.30739250779151917,0.19925682246685028
as,0.2194538563489914,0.3335179388523102,0.3768509030342102,1.0,0.31749409437179565,0.3887844979763031,0.21087346971035004,0.24213267862796783,0.27043893933296204
pastors,0.3993052840232849,0.2343749850988388,0.2943059802055359,0.1924697905778885,0.2295304387807846,0.20203432440757751,0.1923130750656128,0.5300467014312744,0.17702129483222961
in,0.17874550819396973,0.28848564624786377,0.20702329277992249,0.3887844979763031,0.30808621644973755,1.0,0.2223825752735138,0.23420320451259613,0.20430970191955566
local,0.2165326178073883,0.19772928953170776,0.17824366688728333,0.21087346971035004,0.18981902301311493,0.2223825752735138,1.0,0.25785139203071594,0.15022775530815125
congregations,0.5337284803390503,0.25313064455986023,0.30739250779151917,0.24213267862796783,0.15251578390598297,0.23420320451259613,0.25785139203071594,1.0000001192092896,0.18817296624183655
.,0.17912207543849945,0.28580138087272644,0.26939791440963745,0.515582263469696,0.3567904531955719,0.5591574311256409,0.26217252016067505,0.2834881842136383,0.4130953550338745
,clergy,usually,serve,as,what,in,local,congregations,?
today,0.19866591691970825,0.3274528384208679,0.1342323124408722,0.33237552642822266,0.3814660608768463,0.3300545811653137,0.14190663397312164,0.22327031195163727,0.17338968813419342
",",0.17161379754543304,0.21946179866790771,0.2385157197713852,0.48816442489624023,0.3087472915649414,0.5201468467712402,0.20673875510692596,0.23915895819664001,0.31091248989105225
the,0.26154741644859314,0.36782920360565186,0.2749462425708771,0.48381632566452026,0.42745697498321533,0.6662389636039734,0.2130540907382965,0.28595808148384094,0.22068053483963013
clergy,0.9999999403953552,0.28081774711608887,0.20548789203166962,0.2194538563489914,0.21005667746067047,0.17874550819396973,0.2165326178073883,0.5337284803390503,0.14422976970672607
includes,0.07551897317171097,0.30510228872299194,0.1790236234664917,0.2478162944316864,0.17138352990150452,0.32460328936576843,0.1318291872739792,0.1733957827091217,0.14011523127555847
men,0.2773083448410034,0.25146928429603577,0.1832440197467804,0.1560731828212738,0.18620994687080383,0.27064284682273865,0.12496697157621384,0.2153000682592392,0.1408759206533432
and,0.221731036901474,0.3817319869995117,0.27672067284584045,0.49487000703811646,0.31309178471565247,0.4954058527946472,0.2468787580728531,0.294315367937088,0.20544172823429108
women,0.2701321840286255,0.18046967685222626,0.12592925131320953,0.1423753798007965,0.14828920364379883,0.3171939551830292,0.1405382752418518,0.2050102949142456,0.1616753786802292
who,0.2824920117855072,0.35319453477859497,0.2677389681339264,0.3923053741455078,0.40942975878715515,0.2792111933231354,0.20416545867919922,0.19230344891548157,0.26220351457595825
are,0.2619357407093048,0.5635237097740173,0.28864505887031555,0.3826591968536377,0.29724663496017456,0.3841303884983063,0.19665704667568207,0.27101007103919983,0.24591213464736938
ordained,0.49681946635246277,0.14846143126487732,0.2271145135164261,0.2578376233577728,0.17727525532245636,0.2727404534816742,0.187310591340065,0.4611992835998535,0.2412128895521164
by,0.1791175752878189,0.30666717886924744,0.1410149484872818,0.3815547823905945,0.2455483376979828,0.370934396982193,0.17162570357322693,0.15793432295322418,0.17966607213020325
bishops,0.5898459553718567,0.22718283534049988,0.1940416395664215,0.23156636953353882,0.18840548396110535,0.24887874722480774,0.21838286519050598,0.546890139579773,0.15664468705654144
as,0.2194538563489914,0.3335179388523102,0.3768509030342102,1.0,0.31749409437179565,0.3887844979763031,0.21087346971035004,0.24213267862796783,0.27043893933296204
elders,0.3518950343132019,0.24883407354354858,0.1888883262872696,0.14939628541469574,0.1815560907125473,0.1353733092546463,0.21094626188278198,0.3975907266139984,0.11241849511861801
and,0.221731036901474,0.3817319869995117,0.27672067284584045,0.49487000703811646,0.31309178471565247,0.4954058527946472,0.2468787580728531,0.294315367937088,0.20544172823429108
deacons,0.5059435963630676,0.2609158158302307,0.20758472383022308,0.2576013207435608,0.19948117434978485,0.19536463916301727,0.1740892231464386,0.5040903687477112,0.1353975385427475
and,0.221731036901474,0.3817319869995117,0.27672067284584045,0.49487000703811646,0.31309178471565247,0.4954058527946472,0.2468787580728531,0.294315367937088,0.20544172823429108
are,0.2619357407093048,0.5635237097740173,0.28864505887031555,0.3826591968536377,0.29724663496017456,0.3841303884983063,0.19665704667568207,0.27101007103919983,0.24591213464736938
appointed,0.32427072525024414,0.11947828531265259,0.3813607394695282,0.2932926416397095,0.1642993837594986,0.23088723421096802,0.195188507437706,0.31117483973503113,0.13895352184772491
to,0.19316771626472473,0.3824864327907562,0.3411368131637573,0.42092081904411316,0.455847829580307,0.45010748505592346,0.2207600325345993,0.22449913620948792,0.29463258385658264
various,0.19314591586589813,0.38892361521720886,0.18356387317180634,0.35201138257980347,0.26045072078704834,0.266343355178833,0.2585721015930176,0.2818056046962738,0.12823495268821716
ministries,0.3664807081222534,0.21220926940441132,0.2781562805175781,0.19022199511528015,0.20981119573116302,0.23264920711517334,0.2890554666519165,0.43042251467704773,0.15872813761234283
.,0.17912207543849945,0.28580138087272644,0.26939791440963745,0.515582263469696,0.3567904531955719,0.5591574311256409,0.26217252016067505,0.2834881842136383,0.4130953550338745
