,where,were,british,defeated,in,canada,?
though,0.34659990668296814,0.36266976594924927,0.1738196760416031,0.20954692363739014,0.3193182945251465,0.25633373856544495,0.3188856542110443
the,0.5003893971443176,0.3906462490558624,0.28973397612571716,0.2833898365497589,0.6662389636039734,0.2934837341308594,0.22068053483963013
british,0.1694505214691162,0.27742838859558105,1.0,0.21348682045936584,0.23084034025669098,0.3552570641040802,0.09711728990077972
were,0.2363632768392563,1.0000001192092896,0.27742838859558105,0.30903002619743347,0.3815755248069763,0.16434504091739655,0.17890112102031708
later,0.2942849397659302,0.46195727586746216,0.2575802206993103,0.3067042827606201,0.40857815742492676,0.20352010428905487,0.1417175978422165
defeated,0.19311988353729248,0.30903002619743347,0.21348682045936584,1.0,0.24813973903656006,0.1363544762134552,0.1413237303495407
at,0.4402937591075897,0.2947486639022827,0.21751968562602997,0.21071182191371918,0.4374977946281433,0.23651543259620667,0.21978627145290375
sainte,0.18160034716129303,0.1973583698272705,0.18669334053993225,0.13781695067882538,0.1986696720123291,0.23901522159576416,0.18508771061897278
foy,0.162800133228302,0.15670673549175262,0.27116885781288147,0.2368326485157013,0.2789326608181,0.2823007106781006,0.12766756117343903
in,0.5344807505607605,0.3815755248069763,0.23084034025669098,0.24813973903656006,1.0,0.3175714612007141,0.20430970191955566
quebec,0.17690818011760712,0.1282530128955841,0.3132122755050659,0.15188439190387726,0.19739758968353271,0.6058356761932373,0.11506577581167221
",",0.3149496018886566,0.36755475401878357,0.25734075903892517,0.2877303659915924,0.5201468467712402,0.2656905949115753,0.31091248989105225
the,0.5003893971443176,0.3906462490558624,0.28973397612571716,0.2833898365497589,0.6662389636039734,0.2934837341308594,0.22068053483963013
french,0.17587623000144958,0.22002479434013367,0.43574923276901245,0.1559123396873474,0.22093388438224792,0.2524310052394867,0.1386883556842804
ceded,0.1742064654827118,0.30573832988739014,0.2618270814418793,0.4554416835308075,0.2993238568305969,0.23524625599384308,0.13127154111862183
canada,0.2618888318538666,0.16434504091739655,0.3552570641040802,0.1363544762134552,0.3175714612007141,0.9999999403953552,0.15722735226154327
in,0.5344807505607605,0.3815755248069763,0.23084034025669098,0.24813973903656006,1.0,0.3175714612007141,0.20430970191955566
accordance,0.1683720052242279,0.17093095183372498,0.15084747970104218,0.15521657466888428,0.20693562924861908,0.17180748283863068,0.23867659270763397
with,0.4142743945121765,0.3179011940956116,0.1637800633907318,0.2316431999206543,0.4080928862094879,0.224907785654068,0.2433311939239502
the,0.5003893971443176,0.3906462490558624,0.28973397612571716,0.2833898365497589,0.6662389636039734,0.2934837341308594,0.22068053483963013
1763,0.0710480585694313,0.07448236644268036,0.005096754990518093,0.03972046822309494,0.11189299076795578,0.14497675001621246,0.1296161562204361
treaty,0.15556932985782623,0.17081822454929352,0.18525288999080658,0.24567349255084991,0.22333456575870514,0.15211835503578186,0.1174844279885292
.,0.41390106081962585,0.3378238379955292,0.23159366846084595,0.2081184983253479,0.5591574311256409,0.2708069980144501,0.4130953550338745
