,when,did,the,fourth,doctor,appear,on,cd,?
tom,0.1691720336675644,0.17506298422813416,0.2116302251815796,0.15108759701251984,0.21142522990703583,0.06237922981381416,0.1863250583410263,0.13226677477359772,0.15573404729366302
baker,0.21824580430984497,0.12646734714508057,0.23057734966278076,0.1455199122428894,0.24323499202728271,0.0949692577123642,0.1901104748249054,0.03928406536579132,0.1649734377861023
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,0.031030623242259026,0.031664930284023285,-0.031298309564590454,0.0026888418942689896,0.02449776604771614,-0.023395681753754616
fourth,0.21542590856552124,0.1447589099407196,0.40804702043533325,1.0,0.21519136428833008,0.165785014629364,0.2738758623600006,0.1737201064825058,0.13791213929653168
doctor,0.16867952048778534,0.18673314154148102,0.2820442318916321,0.21519136428833008,0.9999999403953552,0.21516269445419312,0.1636410653591156,0.15725518763065338,0.1462511420249939
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.18196545541286469,0.10028378665447235,0.21707399189472198,0.29460400342941284,0.07254616171121597,0.1370266228914261
appearing,0.29951179027557373,0.22759860754013062,0.31202155351638794,0.22255448997020721,0.24746188521385193,0.6496643424034119,0.3029078245162964,0.17182740569114685,0.1843143105506897
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.23288244009017944,0.1556548923254013,0.2555735111236572,0.36199691891670227,0.18205516040325165,0.264628142118454
big,0.2506830394268036,0.278171569108963,0.308749794960022,0.15140792727470398,0.1275855153799057,0.16665059328079224,0.2596937119960785,0.07246360182762146,0.20497842133045197
finish,0.25343891978263855,0.3295888602733612,0.23846492171287537,0.29576438665390015,0.20019887387752533,0.26129668951034546,0.1921798437833786,0.18130622804164886,0.11681990325450897
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.29149749875068665,0.25567495822906494,0.2517908811569214,0.46853652596473694,0.14562681317329407,0.20430970191955566
2012,0.30712300539016724,0.16113266348838806,0.46885523200035095,0.23721520602703094,0.12708549201488495,0.21737702190876007,0.24696305394172668,0.12498728930950165,0.18042556941509247
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.27895694971084595,0.22361043095588684,0.2815418541431427,0.49257001280784607,0.21611766517162323,0.4130953550338745
