,what,game,did,thomas,davis,say,he,would,play,in,",",despite,breaking,a,bone,earlier,on,?
despite,0.1825345903635025,0.16200055181980133,0.38115930557250977,0.05470055341720581,0.16236092150211334,0.28514349460601807,0.24421049654483795,0.3371184170246124,0.116002157330513,0.27473363280296326,0.2853280007839203,1.0,0.25856006145477295,0.28239360451698303,0.12504784762859344,0.2541191279888153,0.28795909881591797,0.14350546896457672
this,0.5489566326141357,0.22182756662368774,0.3609912693500519,0.19477146863937378,0.2103857398033142,0.4232628345489502,0.3176022469997406,0.47797831892967224,0.19101715087890625,0.45205554366111755,0.4316047728061676,0.2818315029144287,0.3081069886684418,0.5422310829162598,0.21733537316322327,0.31585693359375,0.4193967580795288,0.3155723512172699
",",0.3087472915649414,0.2653886377811432,0.3015086054801941,0.25079426169395447,0.31438660621643066,0.35129812359809875,0.40251094102859497,0.32586824893951416,0.2231253683567047,0.5201468467712402,1.0000001192092896,0.2853280007839203,0.2721969485282898,0.427140474319458,0.23886588215827942,0.26249322295188904,0.49057599902153015,0.31091248989105225
he,0.3114890456199646,0.2474532276391983,0.3292143940925598,0.2241380214691162,0.2684839367866516,0.2822306752204895,1.0000001192092896,0.27278512716293335,0.3066076636314392,0.41690486669540405,0.40251094102859497,0.24421049654483795,0.1531997174024582,0.4393508732318878,0.16198615729808807,0.19051598012447357,0.32403138279914856,0.2089974731206894
insisted,0.3362210988998413,0.17648126184940338,0.49533259868621826,0.21624530851840973,0.21361279487609863,0.3278830051422119,0.30900636315345764,0.46126577258110046,0.20490369200706482,0.21232828497886658,0.29045534133911133,0.40353623032569885,0.2500627040863037,0.20067435503005981,0.13147199153900146,0.2687091529369354,0.28023335337638855,0.20097918808460236
he,0.3114890456199646,0.2474532276391983,0.3292143940925598,0.2241380214691162,0.2684839367866516,0.2822306752204895,1.0000001192092896,0.27278512716293335,0.3066076636314392,0.41690486669540405,0.40251094102859497,0.24421049654483795,0.1531997174024582,0.4393508732318878,0.16198615729808807,0.19051598012447357,0.32403138279914856,0.2089974731206894
would,0.45766422152519226,0.20549730956554413,0.6268245577812195,0.13783250749111176,0.16986745595932007,0.46688976883888245,0.27278512716293335,1.0000001192092896,0.243376225233078,0.30461156368255615,0.32586824893951416,0.3371184170246124,0.268831342458725,0.398599237203598,0.2181454449892044,0.2978670597076416,0.35589995980262756,0.37178951501846313
still,0.4548931419849396,0.22100642323493958,0.38309040665626526,0.149343341588974,0.15951508283615112,0.40229353308677673,0.32316678762435913,0.3603723347187042,0.20465850830078125,0.3424699008464813,0.35217106342315674,0.3937636911869049,0.22003774344921112,0.3478926122188568,0.16173794865608215,0.30566295981407166,0.317820280790329,0.3039587736129761
find,0.3539876639842987,0.20603197813034058,0.2662524878978729,0.12283392995595932,0.21615010499954224,0.44764089584350586,0.19710396230220795,0.3610367774963379,0.2508636713027954,0.2040027230978012,0.27622509002685547,0.22628626227378845,0.15493066608905792,0.2540014088153839,0.17680883407592773,0.160524383187294,0.22746877372264862,0.30313602089881897
a,0.3320399522781372,0.23211604356765747,0.2552328109741211,0.19268037378787994,0.19002141058444977,0.3464781641960144,0.4393508732318878,0.398599237203598,0.21130098402500153,0.539380669593811,0.427140474319458,0.28239360451698303,0.22045902907848358,1.0,0.2422373741865158,0.19610044360160828,0.3848365545272827,0.23916715383529663
way,0.4835909903049469,0.27368757128715515,0.34534135460853577,0.16247564554214478,0.2027403712272644,0.43357494473457336,0.31626078486442566,0.4341159760951996,0.23044924437999725,0.30444321036338806,0.2861018478870392,0.2898513078689575,0.2968270480632782,0.3330821096897125,0.19481530785560608,0.18994934856891632,0.2997978627681732,0.31575819849967957
