,where,do,chloroplasts,make,amino,acids,?
chloroplasts,0.22257623076438904,0.2621478736400604,0.9999999403953552,0.24682173132896423,0.5950897336006165,0.6116670966148376,0.13049766421318054
alone,0.29665249586105347,0.2534829378128052,0.23414848744869232,0.26867660880088806,0.23548559844493866,0.21468809247016907,0.25589054822921753
make,0.2980242967605591,0.41790449619293213,0.24682173132896423,1.0000001192092896,0.29465457797050476,0.3423343896865845,0.28314751386642456
almost,0.2720276713371277,0.24908383190631866,0.2611798346042633,0.2896410822868347,0.1931535303592682,0.16112907230854034,0.1372147500514984
all,0.36365973949432373,0.38664430379867554,0.2712666690349579,0.37725141644477844,0.26858580112457275,0.23301301896572113,0.29575422406196594
of,0.38066378235816956,0.26150479912757874,0.23179760575294495,0.2912110388278961,0.1863875389099121,0.17266087234020233,0.1826142966747284
a,0.40997210144996643,0.26237669587135315,0.24622295796871185,0.34303420782089233,0.20209713280200958,0.21425046026706696,0.23916715383529663
plant,0.2056075781583786,0.19011136889457703,0.5019698739051819,0.2121713012456894,0.2797648012638092,0.30389922857284546,0.16613075137138367
cell,0.19755639135837555,0.19975709915161133,0.5408841967582703,0.2083631455898285,0.37111225724220276,0.3611319661140442,0.2058541625738144
's,0.0007701900321990252,-0.01994597539305687,-0.026035647839307785,0.09622383862733841,-0.0630011260509491,-0.03227602317929268,-0.023395681753754616
amino,0.17764614522457123,0.26150307059288025,0.5950897336006165,0.29465457797050476,1.0,0.7611264586448669,0.17202535271644592
acids,0.13376758992671967,0.2470664530992508,0.6116670966148376,0.3423343896865845,0.7611264586448669,1.0,0.179454505443573
in,0.5344807505607605,0.23402775824069977,0.21141497790813446,0.268858402967453,0.18299956619739532,0.19412952661514282,0.20430970191955566
their,0.3356108069419861,0.35424983501434326,0.2906811833381653,0.37166422605514526,0.20819464325904846,0.25251978635787964,0.1898253709077835
stroma,0.13679058849811554,0.13022096455097198,0.3287713825702667,0.11753065884113312,0.2551884353160858,0.24761629104614258,0.15478113293647766
except,0.3137538731098175,0.26585161685943604,0.1704496145248413,0.2812863886356354,0.14269697666168213,0.16492392122745514,0.16405975818634033
the,0.5003893971443176,0.30239659547805786,0.23062430322170258,0.3146495521068573,0.2069987654685974,0.16902804374694824,0.22068053483963013
sulfur-containing,0.22124989330768585,0.24691647291183472,0.5567262172698975,0.39823219180107117,0.49476268887519836,0.5903927683830261,0.2362881451845169
ones,0.26163700222969055,0.3241814076900482,0.22590558230876923,0.3476102352142334,0.2555816173553467,0.277119517326355,0.28155767917633057
like,0.3468869626522064,0.4615015685558319,0.21969065070152283,0.50801682472229,0.20739179849624634,0.24315866827964783,0.3268813192844391
cysteine,0.14979203045368195,0.224454864859581,0.4923248291015625,0.22860893607139587,0.587201714515686,0.5766885876655579,0.21581925451755524
and,0.43859338760375977,0.276123583316803,0.21511349081993103,0.4160483181476593,0.23222345113754272,0.25245988368988037,0.20544172823429108
methionine,0.19401077926158905,0.22637955844402313,0.5822928547859192,0.27775290608406067,0.5902098417282104,0.5864424705505371,0.2416493147611618
.,0.41390106081962585,0.3613996207714081,0.23868323862552643,0.3547073304653168,0.23619264364242554,0.2498570829629898,0.4130953550338745
