,who,was,the,first,person,to,play,the,master,?
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.33842000365257263,0.18760068714618683,0.42092081904411316,0.2074424922466278,0.48381632566452026,0.2009018212556839,0.27043893933296204
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.22800223529338837,0.4239959120750427,0.2415807843208313,0.4223487675189972,0.14622679352760315,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.3487054407596588,0.535392165184021,0.24793598055839539,1.0,0.19769129157066345,0.22068053483963013
doctor,0.3504868149757385,0.19672659039497375,0.2820442318916321,0.27244147658348083,0.35805413126945496,0.22950075566768646,0.1542135328054428,0.2820442318916321,0.2937511205673218,0.1462511420249939
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.44245919585227966,0.2231253683567047,0.4933079481124878,0.21451058983802795,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.3487054407596588,0.535392165184021,0.24793598055839539,1.0,0.19769129157066345,0.22068053483963013
role,0.2767873704433441,0.2561398148536682,0.26607486605644226,0.24300086498260498,0.20100714266300201,0.17841029167175293,0.2634873688220978,0.26607486605644226,0.17441819608211517,0.18676944077014923
has,0.2558172643184662,0.40313825011253357,0.4177538752555847,0.28288596868515015,0.27275896072387695,0.3619994819164276,0.17878887057304382,0.4177538752555847,0.1408517211675644,0.15994466841220856
been,0.3295723795890808,0.518218457698822,0.3563927710056305,0.32745984196662903,0.2243337780237198,0.34945759177207947,0.1727621853351593,0.3563927710056305,0.13982488214969635,0.24354910850524902
portrayed,0.34716251492500305,0.25768372416496277,0.2243347316980362,0.18398679792881012,0.14339782297611237,0.15473300218582153,0.2231355607509613,0.2243347316980362,0.23632903397083282,0.10189887881278992
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.3877052962779999,0.25616011023521423,0.33534231781959534,0.20151817798614502,0.4408751428127289,0.21067877113819122,0.17966607213020325
several,0.30628830194473267,0.25396689772605896,0.40559855103492737,0.2748492956161499,0.1789828985929489,0.36196985840797424,0.18914276361465454,0.40559855103492737,0.10907620191574097,0.15595775842666626
actors,0.2542370557785034,0.20793429017066956,0.27470633387565613,0.17391692101955414,0.16192308068275452,0.2278083860874176,0.21590109169483185,0.27470633387565613,0.15256361663341522,0.16258424520492554
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.44245919585227966,0.2231253683567047,0.4933079481124878,0.21451058983802795,0.31091248989105225
since,0.27765995264053345,0.4384658932685852,0.4054957628250122,0.42581459879875183,0.2078118622303009,0.3733763098716736,0.15195776522159576,0.4054957628250122,0.10814322531223297,0.2876587212085724
