,what,kind,of,affect,did,luther,often,use,in,his,discourses,?
edwards,0.15566903352737427,0.12339765578508377,0.18850749731063843,0.1401926428079605,0.14471180737018585,0.20500709116458893,0.23383568227291107,0.15091943740844727,0.22228585183620453,0.24741820991039276,0.1503981351852417,0.16941575706005096
also,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.3009939193725586,0.39334940910339355,0.22154976427555084,0.5936985611915588,0.3900981843471527,0.5073733329772949,0.38173818588256836,0.21987958252429962,0.21848613023757935
comments,0.34725841879844666,0.2313370704650879,0.1341107338666916,0.23421749472618103,0.29261142015457153,0.1768287569284439,0.20603850483894348,0.24260076880455017,0.17926956713199615,0.2170773148536682,0.3064042925834656,0.3595547676086426
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3903253972530365,0.47518548369407654,0.21746599674224854,0.43873903155326843,0.3939064145088196,0.435920387506485,0.3173833191394806,0.2597195506095886,0.32716336846351624
luther,0.2134782373905182,0.0905032530426979,0.1719115972518921,0.04397793486714363,0.23667675256729126,1.0,0.13597606122493744,0.10849796235561371,0.20523880422115326,0.27093374729156494,0.14777924120426178,0.1732746809720993
often,0.3849453330039978,0.43886423110961914,0.3351972997188568,0.3164271116256714,0.26973026990890503,0.13597606122493744,1.0000001192092896,0.41728803515434265,0.3380797803401947,0.30419299006462097,0.2610175907611847,0.23748154938220978
deliberately,0.36235350370407104,0.22131431102752686,0.17888382077217102,0.26348644495010376,0.30394574999809265,0.1552811563014984,0.4153762459754944,0.32783031463623047,0.25579413771629333,0.3384827971458435,0.18594132363796234,0.20593561232089996
used,0.27546408772468567,0.3973764181137085,0.3075267970561981,0.2686881422996521,0.30443844199180603,0.08111961930990219,0.521835446357727,0.7127541303634644,0.3090210556983948,0.20492680370807648,0.19398367404937744,0.22430120408535004
``,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.059504300355911255,-0.029888948425650597,-0.013964727520942688,0.06302177906036377,0.098173126578331,0.04765888676047325,0.008275155909359455,0.07216890901327133,0.0685480609536171
vulgarity,0.2192072719335556,0.2961060106754303,0.1756555587053299,0.2146492451429367,0.13046519458293915,0.12511837482452393,0.34831833839416504,0.2780352532863617,0.15448954701423645,0.1680438071489334,0.24576637148857117,0.23448482155799866
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.3258028030395508,0.34479495882987976,0.20796556770801544,0.42465832829475403,0.34145063161849976,0.4954058527946472,0.4234102666378021,0.2525341808795929,0.20544172823429108
violence,0.24788525700569153,0.1457228660583496,0.21331627666950226,0.25733518600463867,0.22152221202850342,0.21486099064350128,0.26677781343460083,0.2308146208524704,0.2653872072696686,0.257795512676239,0.3033212721347809,0.20634515583515167
'',0.08143015950918198,0.01890246570110321,0.13035868108272552,-0.010751497931778431,0.01978493109345436,-0.04572787508368492,0.03212470933794975,0.09741680324077606,0.07432962208986282,0.016508836299180984,0.04869799315929413,0.018684765323996544
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.311452180147171,0.318512886762619,0.12958186864852905,0.37495917081832886,0.47655582427978516,0.4322226941585541,0.39312878251075745,0.19653509557247162,0.264628142118454
effect,0.2546532452106476,0.2990611791610718,0.24129827320575714,0.5565176606178284,0.19503958523273468,0.11613074690103531,0.24913690984249115,0.3472614288330078,0.25150683522224426,0.20815016329288483,0.24307118356227875,0.1783771812915802
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24902932345867157,0.3015086054801941,0.23255878686904907,0.24139221012592316,0.3276674151420593,0.5201468467712402,0.3378419280052185,0.2363365739583969,0.31091248989105225
both,0.3361809551715851,0.21418920159339905,0.3565710783004761,0.32000190019607544,0.34255191683769226,0.19470135867595673,0.44473007321357727,0.352070152759552,0.3960166871547699,0.3092226982116699,0.17193703353405,0.19455738365650177
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.31448644399642944,0.2593238651752472,0.20523880422115326,0.3380797803401947,0.2715643048286438,1.0,0.3598145842552185,0.1541818380355835,0.20430970191955566
his,0.26976513862609863,0.18263587355613708,0.38364991545677185,0.18232840299606323,0.3546801507472992,0.27093374729156494,0.30419299006462097,0.19605936110019684,0.3598145842552185,0.9999998807907104,0.21464486420154572,0.18075084686279297
writings,0.31019967794418335,0.14604215323925018,0.24593348801136017,0.10324422270059586,0.262403666973114,0.32714858651161194,0.2550879716873169,0.18873345851898193,0.2301568239927292,0.3246472179889679,0.44032028317451477,0.1770159751176834
condemning,0.3369600474834442,0.24094361066818237,0.2885548770427704,0.27604940533638,0.3430631160736084,0.23023608326911926,0.30248475074768066,0.25604668259620667,0.23544931411743164,0.3117595613002777,0.26405248045921326,0.26393499970436096
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.314972460269928,0.34736719727516174,0.1759674996137619,0.38004449009895325,0.34342584013938904,0.6662389636039734,0.4394008219242096,0.16409103572368622,0.22068053483963013
jews,0.22131574153900146,0.12382140010595322,0.2207300066947937,0.1374109387397766,0.23080717027187347,0.24326977133750916,0.2044912725687027,0.18295027315616608,0.2334136962890625,0.19577133655548096,0.18946322798728943,0.16730794310569763
