,what,did,davies,want,to,build
he,0.3114890456199646,0.3292143940925598,0.32812073826789856,0.2257036566734314,0.385390967130661,0.16498902440071106
called,0.3235960602760315,0.277748167514801,0.16979800164699554,0.28009337186813354,0.2987143397331238,0.2700592577457428
it,0.45803478360176086,0.2993364930152893,0.17556782066822052,0.30313390493392944,0.513711154460907,0.2748400866985321
packet,0.2392171323299408,0.12016243487596512,0.13900773227214813,0.23216763138771057,0.271213173866272,0.16279007494449615
switching,0.24737738072872162,0.17849217355251312,0.17643891274929047,0.2244463860988617,0.2643260657787323,0.24268528819084167
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.30747702717781067,0.44245919585227966,0.22204548120498657
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2898913025856018,0.45503583550453186,0.26229962706565857
more,0.3484537899494171,0.2803135812282562,0.2044863998889923,0.3528229892253876,0.47084665298461914,0.29524558782577515
accessible,0.23191256821155548,0.10482631623744965,0.09776312112808228,0.27676036953926086,0.3116091787815094,0.23299068212509155
name,0.18623162806034088,0.17557460069656372,0.09154926240444183,0.16137389838695526,0.27806994318962097,0.16162869334220886
than,0.29388150572776794,0.24820660054683685,0.20645159482955933,0.29250627756118774,0.3192550539970398,0.28329917788505554
baran,0.11883194744586945,0.048253823071718216,0.20312805473804474,0.08253107964992523,0.19148242473602295,0.11243666708469391
's,0.02692362666130066,0.05069678649306297,0.025226842612028122,0.009669095277786255,0.03782717138528824,0.08569536358118057
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.30747702717781067,0.44245919585227966,0.22204548120498657
and,0.31309178471565247,0.34479495882987976,0.29916054010391235,0.34348347783088684,0.48971283435821533,0.27539998292922974
proposed,0.22754324972629547,0.30101871490478516,0.11247947067022324,0.26473405957221985,0.28162798285484314,0.2591562569141388
to,0.455847829580307,0.4452643394470215,0.18868300318717957,0.4966742694377899,1.0,0.38783395290374756
build,0.27055490016937256,0.23755796253681183,0.19109632074832916,0.28681695461273193,0.38783395290374756,1.0000001192092896
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2898913025856018,0.45503583550453186,0.26229962706565857
nationwide,0.1329829841852188,0.1807222068309784,0.1213599145412445,0.16941390931606293,0.1689605861902237,0.08292914927005768
network,0.16917307674884796,0.08572790026664734,0.17522501945495605,0.15985745191574097,0.25940340757369995,0.19331027567386627
in,0.30808621644973755,0.2593238651752472,0.1982824057340622,0.2281211018562317,0.45010748505592346,0.26063278317451477
the,0.42745697498321533,0.34736719727516174,0.22865624725818634,0.3003826439380646,0.535392165184021,0.2602573335170746
uk,0.17163191735744476,0.128135547041893,0.2830332815647125,0.21782997250556946,0.18409153819084167,0.082920603454113
.,0.3567904531955719,0.35288307070732117,0.2565765380859375,0.31944841146469116,0.4645031690597534,0.275961309671402
