,who,was,tesla,influenced,by,while,in,school,?
in,0.2792111933231354,0.45514053106307983,0.17097744345664978,0.23469695448875427,0.370934396982193,0.3399278521537781,1.0,0.26157811284065247,0.20430970191955566
1870,0.07354339212179184,-0.03705992177128792,0.10191497206687927,0.11331378668546677,0.07314470410346985,0.10201472043991089,0.10756519436836243,0.024744996801018715,0.0628947839140892
",",0.3365725874900818,0.45456063747406006,0.20599327981472015,0.2484109252691269,0.3680937886238098,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
tesla,0.1520961970090866,0.16455206274986267,0.9999999403953552,0.1082044318318367,0.16513796150684357,0.15711884200572968,0.17097744345664978,0.16295383870601654,0.10250775516033173
moved,0.17135502398014069,0.3804442584514618,0.09426514059305191,0.18835075199604034,0.16831031441688538,0.27193185687065125,0.3323737680912018,0.2199709415435791,0.15112607181072235
to,0.42656609416007996,0.3636345863342285,0.17548894882202148,0.11829091608524323,0.33534231781959534,0.43899232149124146,0.45010748505592346,0.24496325850486755,0.29463258385658264
karlovac,0.30903780460357666,0.27228620648384094,0.4267171323299408,0.18869061768054962,0.23859523236751556,0.19713269174098969,0.29781967401504517,0.2340226173400879,0.2481401413679123
",",0.3365725874900818,0.45456063747406006,0.20599327981472015,0.2484109252691269,0.3680937886238098,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
to,0.42656609416007996,0.3636345863342285,0.17548894882202148,0.11829091608524323,0.33534231781959534,0.43899232149124146,0.45010748505592346,0.24496325850486755,0.29463258385658264
attend,0.3078087270259857,0.22958822548389435,0.1097576916217804,0.16489531099796295,0.15846018493175507,0.2590256929397583,0.2352246344089508,0.5228912830352783,0.14932334423065186
school,0.21669194102287292,0.25740107893943787,0.16295383870601654,0.18258075416088104,0.1477794349193573,0.21811918914318085,0.26157811284065247,1.0,0.15091250836849213
at,0.22096660733222961,0.36707764863967896,0.16552478075027466,0.12289085984230042,0.2368064820766449,0.37809836864471436,0.4374977946281433,0.3177914023399353,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,0.1324402391910553,0.18518297374248505,0.4408751428127289,0.39804592728614807,0.6662389636039734,0.22953221201896667,0.22068053483963013
higher,0.20071525871753693,0.12998951971530914,0.17543520033359528,0.09032603353261948,0.23272763192653656,0.241228386759758,0.23285751044750214,0.24293676018714905,0.15679465234279633
real,0.2714671492576599,0.1580289602279663,0.23097385466098785,0.17017775774002075,0.1782917082309723,0.18447299301624298,0.1725122183561325,0.1355140507221222,0.20019613206386566
gymnasium,0.1596250981092453,0.23892663419246674,0.2515797019004822,0.11850649863481522,0.114117331802845,0.17760935425758362,0.23880107700824738,0.42825162410736084,0.08908994495868683
",",0.3365725874900818,0.45456063747406006,0.20599327981472015,0.2484109252691269,0.3680937886238098,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
where,0.41804537177085876,0.20731619000434875,0.12761090695858002,0.1405697464942932,0.2641284465789795,0.41293615102767944,0.5344807505607605,0.23611775040626526,0.24793872237205505
he,0.5500732064247131,0.5410010814666748,0.12373391538858414,0.19104300439357758,0.2485479861497879,0.3526706397533417,0.41690486669540405,0.3274155557155609,0.2089974731206894
was,0.3318818509578705,1.0000001192092896,0.16455206274986267,0.23784680664539337,0.4752357602119446,0.3253832161426544,0.45514053106307983,0.25740107893943787,0.18412111699581146
profoundly,0.3357962667942047,0.2756717801094055,0.13598845899105072,0.38759687542915344,0.2988944947719574,0.3053009510040283,0.14979533851146698,0.12483026832342148,0.21171927452087402
influenced,0.21744515001773834,0.23784680664539337,0.1082044318318367,1.0,0.37002116441726685,0.17719237506389618,0.23469695448875427,0.18258075416088104,0.1310873031616211
by,0.39727845788002014,0.4752357602119446,0.16513796150684357,0.37002116441726685,1.0000001192092896,0.3083919286727905,0.370934396982193,0.1477794349193573,0.17966607213020325
a,0.36608949303627014,0.4508470594882965,0.2211925983428955,0.14859096705913544,0.32094135880470276,0.3733035624027252,0.539380669593811,0.2245093584060669,0.23916715383529663
math,0.1450318843126297,0.14530377089977264,0.32237258553504944,0.2036096453666687,0.1268162727355957,0.16738079488277435,0.17477427423000336,0.21920622885227203,0.22113515436649323
teacher,0.35707929730415344,0.2929542362689972,0.18610242009162903,0.2800405025482178,0.16136689484119415,0.23321563005447388,0.22632350027561188,0.5442529320716858,0.1797819435596466
martin,0.22000780701637268,0.2089129239320755,0.22885408997535706,0.20511053502559662,0.21707400679588318,0.16684049367904663,0.22752496600151062,0.17893199622631073,0.060103293508291245
sekulić,0.31728625297546387,0.32166802883148193,0.34963494539260864,0.18866302073001862,0.2128371298313141,0.22142958641052246,0.2468862384557724,0.21418772637844086,0.217777281999588
.,0.3541337847709656,0.40146201848983765,0.17949827015399933,0.24771656095981598,0.3936232924461365,0.38690751791000366,0.5591574311256409,0.24214158952236176,0.4130953550338745
