,who,was,ayurbarwada,'s,son,?
emperor,0.19567297399044037,0.2147601991891861,0.35385528206825256,-0.03835967555642128,0.3538718521595001,0.19661661982536316
gegeen,0.276658833026886,0.2969592809677124,0.5251490473747253,0.1014862209558487,0.21754056215286255,0.28029119968414307
khan,0.2616176903247833,0.23483267426490784,0.44573092460632324,0.05307086929678917,0.27596136927604675,0.12862591445446014
",",0.3365725874900818,0.45456063747406006,0.3788617253303528,-0.0016132977325469255,0.2594279944896698,0.31091248989105225
ayurbarwada,0.2327883541584015,0.30865684151649475,0.9999999403953552,0.01739470846951008,0.2707333266735077,0.19901207089424133
's,0.05599616840481758,0.008974763564765453,0.01739470846951008,0.9999999403953552,-0.035570673644542694,-0.023395681753754616
son,0.3958503007888794,0.3045712113380432,0.2707333266735077,-0.035570673644542694,1.0,0.14735563099384308
and,0.41279885172843933,0.3740963041782379,0.3369065225124359,0.06895173341035843,0.20643235743045807,0.20544172823429108
successor,0.1692478209733963,0.287630170583725,0.225113183259964,-0.010897614061832428,0.3701765835285187,0.0913006067276001
",",0.3365725874900818,0.45456063747406006,0.3788617253303528,-0.0016132977325469255,0.2594279944896698,0.31091248989105225
ruled,0.26271435618400574,0.3318201005458832,0.28975242376327515,-0.0068405005149543285,0.37430819869041443,0.19970785081386566
for,0.37110671401023865,0.3863949179649353,0.22630585730075836,-0.07241261005401611,0.15732569992542267,0.264628142118454
only,0.4202229380607605,0.36249664425849915,0.25213897228240967,0.08984304964542389,0.2157997488975525,0.2767370045185089
two,0.2791741192340851,0.27166637778282166,0.22959133982658386,0.038143858313560486,0.185144305229187,0.19645625352859497
years,0.29867154359817505,0.35855233669281006,0.20899751782417297,0.05563735216856003,0.23741912841796875,0.1914375126361847
",",0.3365725874900818,0.45456063747406006,0.3788617253303528,-0.0016132977325469255,0.2594279944896698,0.31091248989105225
from,0.27839982509613037,0.31171464920043945,0.2308119535446167,-0.01936490088701248,0.19232426583766937,0.19969791173934937
1321,0.16673138737678528,0.12803694605827332,0.20479603111743927,0.013166334480047226,0.22539499402046204,0.09066365659236908
to,0.42656609416007996,0.3636345863342285,0.2363881915807724,0.03782717138528824,0.16820268332958221,0.29463258385658264
1323,0.06024080514907837,-0.002016146434471011,0.027685075998306274,-0.03726060688495636,-0.02815861813724041,0.005109874997287989
.,0.3541337847709656,0.40146201848983765,0.28913843631744385,-0.003708066651597619,0.19869175553321838,0.4130953550338745
