,what,type,of,education,was,assessed,during,this,time,?
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.15292859077453613,0.3300964832305908,0.23970454931259155,0.31528279185295105,0.4273154139518738,0.3580583930015564,0.2753053903579712
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.23276391625404358,0.4032125174999237,0.22948239743709564,0.4275238513946533,0.5539565086364746,0.385476291179657,0.21848613023757935
assessed,0.3299863934516907,0.17504210770130157,0.2995022237300873,0.2390044629573822,0.1717146635055542,1.0,0.12020310759544373,0.3117324411869049,0.26281169056892395,0.2556779682636261
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23982903361320496,0.48711544275283813,0.3013015687465668,0.4838213622570038,0.6274310946464539,0.43061500787734985,0.22068053483963013
standard,0.22809998691082,0.23300348222255707,0.2296806275844574,0.19984884560108185,0.17353598773479462,0.2702775001525879,0.12827256321907043,0.3091355860233307,0.3258291184902191,0.17029257118701935
of,0.33290785551071167,0.18112817406654358,1.0,0.3015166223049164,0.4069072902202606,0.2995022237300873,0.3869180977344513,0.45148900151252747,0.35127586126327515,0.1826142966747284
pastoral,0.23537960648536682,0.08333686739206314,0.3202567398548126,0.3238327205181122,0.22699059545993805,0.2019505500793457,0.23455260694026947,0.2417590469121933,0.1731785237789154,0.11891215294599533
care,0.2973911762237549,0.10162777453660965,0.20533065497875214,0.3578152656555176,0.18258117139339447,0.18081310391426086,0.14016325771808624,0.24401487410068512,0.20735211670398712,0.24279968440532684
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.308173805475235,0.3740963041782379,0.2436983436346054,0.36462149024009705,0.42353692650794983,0.3025408685207367,0.20544172823429108
christian,0.17849333584308624,0.058404698967933655,0.23494116961956024,0.22556854784488678,0.21208207309246063,0.12865081429481506,0.1309647560119629,0.1363266259431839,0.17634302377700806,0.1508396863937378
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,1.0,0.23187610507011414,0.2390044629573822,0.17693781852722168,0.17015472054481506,0.17701436579227448,0.18067774176597595
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2654339671134949,0.45514053106307983,0.2626667618751526,0.4627237319946289,0.45205554366111755,0.3431483507156372,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23982903361320496,0.48711544275283813,0.3013015687465668,0.4838213622570038,0.6274310946464539,0.43061500787734985,0.22068053483963013
territory,0.21338070929050446,0.019009988754987717,0.27564212679862976,0.17953068017959595,0.20208659768104553,0.13738444447517395,0.2481779158115387,0.2112988531589508,0.2221040576696396,0.09435105323791504
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.27047446370124817,0.40146201848983765,0.2667473256587982,0.3485563397407532,0.500583827495575,0.371569961309433,0.4130953550338745
