,what,is,the,name,of,the,chairman,of,the,board,of,trustees,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.22366109490394592,0.3886612355709076,0.48381632566452026,0.16183848679065704,0.3886612355709076,0.25136929750442505,0.27043893933296204
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2167922407388687,1.0,0.733189046382904,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
august,0.2305731326341629,0.22414299845695496,0.22689028084278107,0.15716980397701263,0.1712995171546936,0.22689028084278107,0.21370239555835724,0.1712995171546936,0.22689028084278107,0.1801852136850357,0.1712995171546936,0.16637209057807922,0.3006744682788849
2009,-0.2519478499889374,-0.22361645102500916,-0.23935742676258087,-0.14741137623786926,-0.2637706398963928,-0.23935742676258087,-0.23542457818984985,-0.2637706398963928,-0.23935742676258087,-0.21444171667099,-0.2637706398963928,-0.26193511486053467,-0.2287932187318802
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,-0.009093504399061203,0.010817250236868858,0.07130392640829086,-0.0011442218674346805,0.010817250236868858,0.07130392640829086,0.1200747936964035,0.010817250236868858,0.011187649331986904,0.011015460826456547
update,0.3247421383857727,0.1550508290529251,0.20815779268741608,0.16186296939849854,0.12521608173847198,0.20815779268741608,0.1672925055027008,0.12521608173847198,0.20815779268741608,0.1401180773973465,0.12521608173847198,0.1582465022802353,0.38474005460739136
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,-0.02270379662513733,-0.035044461488723755,-0.04779602214694023,0.07749351114034653,-0.035044461488723755,-0.04779602214694023,-0.05069161579012871,-0.035044461488723755,0.01663398928940296,-0.0022520492784678936
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.25734269618988037,0.4946078956127167,0.24503383040428162,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2121211588382721,0.733189046382904,1.0,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
chairman,0.07858958840370178,0.18031281232833862,0.2121211588382721,0.18818634748458862,0.2167922407388687,0.2121211588382721,0.9999999403953552,0.2167922407388687,0.2121211588382721,0.37229251861572266,0.2167922407388687,0.44630926847457886,0.08324678242206573
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2167922407388687,1.0,0.733189046382904,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
