,what,compiles,and,reports,on,data,about,the,size,of,design,and,construction,companies,?
each,0.3353266417980194,0.2621189057826996,0.2984027564525604,0.15997414290905,0.30782750248908997,0.2127385437488556,0.25596532225608826,0.470844566822052,0.25317925214767456,0.38460010290145874,0.1893656700849533,0.2984027564525604,0.22676728665828705,0.19886741042137146,0.21173812448978424
year,0.15184831619262695,0.18457990884780884,0.2506658732891083,0.21860991418361664,0.27628999948501587,0.17079707980155945,0.2995435297489166,0.3609684407711029,0.13672617077827454,0.2578314542770386,0.14728954434394836,0.2506658732891083,0.13485242426395416,0.10911504924297333,0.18315006792545319
",",0.3087472915649414,0.25089573860168457,0.6633074283599854,0.2661382555961609,0.49057599902153015,0.22224515676498413,0.3877100944519043,0.4933079481124878,0.2156888097524643,0.4946078956127167,0.19350415468215942,0.6633074283599854,0.23704268038272858,0.28041911125183105,0.31091248989105225
enr,0.1867682784795761,0.24269382655620575,0.28966188430786133,0.11227212101221085,0.198894202709198,0.1885245144367218,0.22469674050807953,0.2366248071193695,0.2010681927204132,0.25156688690185547,0.16341036558151245,0.28966188430786133,0.21213014423847198,0.2486979216337204,0.115506611764431
compiles,0.24502867460250854,1.0,0.25481724739074707,0.21137742698192596,0.23673857748508453,0.3108389675617218,0.18698689341545105,0.21731825172901154,0.17965638637542725,0.2399471253156662,0.24155662953853607,0.25481724739074707,0.2478250116109848,0.2998946011066437,0.2700277864933014
and,0.31309178471565247,0.25481724739074707,1.0,0.27791884541511536,0.4077630043029785,0.23368559777736664,0.3875081241130829,0.5171257257461548,0.252314954996109,0.5116966962814331,0.21815341711044312,1.0,0.22762417793273926,0.2527635991573334,0.20544172823429108
reports,0.24207861721515656,0.21137742698192596,0.27791884541511536,1.0,0.26750078797340393,0.2692486047744751,0.3351723551750183,0.2622474431991577,0.1884089559316635,0.27564457058906555,0.13863758742809296,0.27791884541511536,0.16228078305721283,0.1780846267938614,0.23746368288993835
on,0.34226128458976746,0.23673857748508453,0.4077630043029785,0.26750078797340393,0.9999999403953552,0.18273964524269104,0.322975218296051,0.5107308030128479,0.22330769896507263,0.3966929316520691,0.21461689472198486,0.4077630043029785,0.23722872138023376,0.23421919345855713,0.2714994251728058
data,0.23453554511070251,0.3108389675617218,0.23368559777736664,0.2692486047744751,0.18273964524269104,1.0,0.18648135662078857,0.20546740293502808,0.3148322105407715,0.20013196766376495,0.1663772016763687,0.23368559777736664,0.15663796663284302,0.1877375841140747,0.17909851670265198
about,0.47976887226104736,0.18698689341545105,0.3875081241130829,0.3351723551750183,0.322975218296051,0.18648135662078857,1.0,0.37995871901512146,0.2507222890853882,0.40939709544181824,0.14270611107349396,0.3875081241130829,0.10556583851575851,0.18894357979297638,0.302409827709198
