,why,is,the,second,timeline,needed,?
therefore,0.5313050746917725,0.36838728189468384,0.4141571819782257,0.2330155074596405,0.20743674039840698,0.42487478256225586,0.3325358033180237
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.20203238725662231,0.29017356038093567,0.31091248989105225
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
second,0.1809888482093811,0.3161451518535614,0.4620301127433777,1.0,0.20146071910858154,0.18874824047088623,0.17239587008953094
scale,0.1995670348405838,0.18123696744441986,0.1833842247724533,0.14946646988391876,0.22875644266605377,0.19712230563163757,0.21142835915088654
shows,0.2824532389640808,0.31176671385765076,0.36348509788513184,0.13745445013046265,0.32607099413871765,0.24438317120075226,0.2040930688381195
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
most,0.32689353823661804,0.41165053844451904,0.47635307908058167,0.2877694070339203,0.23042085766792297,0.23680970072746277,0.2107497900724411
recent,0.29578444361686707,0.2643822133541107,0.31046223640441895,0.20881108939647675,0.3112323582172394,0.2205643653869629,0.2544887959957123
eon,0.2388591319322586,0.20240066945552826,0.23409166932106018,0.24612611532211304,0.2836288809776306,0.15340493619441986,0.2931651175022125
with,0.24107445776462555,0.3250955045223236,0.4223487675189972,0.272382527589798,0.19095121324062347,0.33687737584114075,0.2433311939239502
an,0.22638356685638428,0.4654068350791931,0.4207492768764496,0.2587711215019226,0.13269469141960144,0.27356213331222534,0.19793890416622162
expanded,0.21242396533489227,0.16450905799865723,0.3258892893791199,0.21007102727890015,0.2796653211116791,0.33633336424827576,0.2124357968568802
scale,0.1995670348405838,0.18123696744441986,0.1833842247724533,0.14946646988391876,0.22875644266605377,0.19712230563163757,0.21142835915088654
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.346034437417984,0.2291359007358551,0.31272366642951965,0.4130953550338745
,why,is,the,second,timeline,needed,?
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
second,0.1809888482093811,0.3161451518535614,0.4620301127433777,1.0,0.20146071910858154,0.18874824047088623,0.17239587008953094
scale,0.1995670348405838,0.18123696744441986,0.1833842247724533,0.14946646988391876,0.22875644266605377,0.19712230563163757,0.21142835915088654
compresses,0.20192140340805054,0.27775368094444275,0.25606632232666016,0.14394612610340118,0.2036815881729126,0.2707018554210663,0.17543955147266388
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
most,0.32689353823661804,0.41165053844451904,0.47635307908058167,0.2877694070339203,0.23042085766792297,0.23680970072746277,0.2107497900724411
recent,0.29578444361686707,0.2643822133541107,0.31046223640441895,0.20881108939647675,0.3112323582172394,0.2205643653869629,0.2544887959957123
era,0.1206064373254776,0.11451215296983719,0.266272634267807,0.14971332252025604,0.2920970916748047,0.16267898678779602,0.14369545876979828
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.20203238725662231,0.29017356038093567,0.31091248989105225
so,0.5904637575149536,0.3153412640094757,0.4296516180038452,0.23802286386489868,0.20737199485301971,0.5276576280593872,0.43163934350013733
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
most,0.32689353823661804,0.41165053844451904,0.47635307908058167,0.2877694070339203,0.23042085766792297,0.23680970072746277,0.2107497900724411
recent,0.29578444361686707,0.2643822133541107,0.31046223640441895,0.20881108939647675,0.3112323582172394,0.2205643653869629,0.2544887959957123
era,0.1206064373254776,0.11451215296983719,0.266272634267807,0.14971332252025604,0.2920970916748047,0.16267898678779602,0.14369545876979828
is,0.26410171389579773,1.0,0.5823672413825989,0.3161451518535614,0.1609574407339096,0.21605761349201202,0.22961433231830597
expanded,0.21242396533489227,0.16450905799865723,0.3258892893791199,0.21007102727890015,0.2796653211116791,0.33633336424827576,0.2124357968568802
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.34510284662246704,0.2768777012825012,0.21117523312568665,0.20430970191955566
the,0.30742117762565613,0.5823672413825989,1.0,0.4620301127433777,0.314031720161438,0.3064746856689453,0.22068053483963013
third,0.12760163843631744,0.31551501154899597,0.4229298532009125,0.8191088438034058,0.18860489130020142,0.15915991365909576,0.15394791960716248
scale,0.1995670348405838,0.18123696744441986,0.1833842247724533,0.14946646988391876,0.22875644266605377,0.19712230563163757,0.21142835915088654
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.346034437417984,0.2291359007358551,0.31272366642951965,0.4130953550338745
