,what,is,an,annual,meeting,of,all,the,officers,of,the,church,and,any,interested,members,?
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.2958983778953552,0.3390691578388214,0.733189046382904,0.4860881567001343,1.0,0.2831277847290039,0.733189046382904,1.0,0.23846197128295898,0.5171257257461548,0.4525727927684784,0.22813944518566132,0.3321719169616699,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.09629998356103897,0.11954853683710098,0.2493250072002411,0.3079429268836975,0.175497367978096,0.23846197128295898,0.18201351165771484,0.3079429268836975,0.23846197128295898,0.9999999403953552,0.1976170688867569,0.17543654143810272,0.10020635277032852,0.18617433309555054,0.18081501126289368
conference,0.15329721570014954,0.13909097015857697,0.09000018239021301,0.28363916277885437,0.43508458137512207,0.19579021632671356,0.2479005753993988,0.25393402576446533,0.18087290227413177,0.19579021632671356,0.25393402576446533,0.19073757529258728,0.21613861620426178,0.1916848123073578,0.1773986965417862,0.2240617722272873,0.11172781884670258
is,0.28837618231773376,1.0,0.4654068350791931,0.20538382232189178,0.17450086772441864,0.4854315221309662,0.2553904056549072,0.5823672413825989,0.1602698415517807,0.4854315221309662,0.5823672413825989,0.203276589512825,0.3859752118587494,0.35691767930984497,0.14930003881454468,0.1897467076778412,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,1.0,0.19539830088615417,0.17287582159042358,0.32280945777893066,0.1916661262512207,0.4207492768764496,0.15112128853797913,0.32280945777893066,0.4207492768764496,0.09629998356103897,0.2838519215583801,0.3555181324481964,0.1980188488960266,0.1668950915336609,0.19793890416622162
annual,0.14798973500728607,0.20538382232189178,0.19539830088615417,1.0000001192092896,0.32550400495529175,0.29535046219825745,0.17117661237716675,0.2958983778953552,0.0723138377070427,0.29535046219825745,0.2958983778953552,0.11954853683710098,0.20847271382808685,0.1588347852230072,0.11234577000141144,0.2438695728778839,0.1083487942814827
meeting,0.2296355813741684,0.17450086772441864,0.17287582159042358,0.32550400495529175,0.9999998807907104,0.2703947126865387,0.25274139642715454,0.3390691578388214,0.26652541756629944,0.2703947126865387,0.3390691578388214,0.2493250072002411,0.23922012746334076,0.1762852519750595,0.28445032238960266,0.40077099204063416,0.1329771876335144
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.29535046219825745,0.2703947126865387,1.0,0.42798417806625366,0.733189046382904,0.24383078515529633,1.0,0.733189046382904,0.3079429268836975,0.5116966962814331,0.3769088089466095,0.24032539129257202,0.28120753169059753,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.1916661262512207,0.17117661237716675,0.25274139642715454,0.42798417806625366,1.0000001192092896,0.4860881567001343,0.27480992674827576,0.42798417806625366,0.4860881567001343,0.175497367978096,0.4542157053947449,0.5059395432472229,0.28094515204429626,0.3667386770248413,0.29575422406196594
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.2958983778953552,0.3390691578388214,0.733189046382904,0.4860881567001343,1.0,0.2831277847290039,0.733189046382904,1.0,0.23846197128295898,0.5171257257461548,0.4525727927684784,0.22813944518566132,0.3321719169616699,0.22068053483963013
officers,0.20936226844787598,0.1602698415517807,0.15112128853797913,0.0723138377070427,0.26652541756629944,0.24383078515529633,0.27480992674827576,0.2831277847290039,1.0,0.24383078515529633,0.2831277847290039,0.18201351165771484,0.2432994693517685,0.26905557513237,0.13544002175331116,0.4403330683708191,0.14072641730308533
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.29535046219825745,0.2703947126865387,1.0,0.42798417806625366,0.733189046382904,0.24383078515529633,1.0,0.733189046382904,0.3079429268836975,0.5116966962814331,0.3769088089466095,0.24032539129257202,0.28120753169059753,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.2958983778953552,0.3390691578388214,0.733189046382904,0.4860881567001343,1.0,0.2831277847290039,0.733189046382904,1.0,0.23846197128295898,0.5171257257461548,0.4525727927684784,0.22813944518566132,0.3321719169616699,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.09629998356103897,0.11954853683710098,0.2493250072002411,0.3079429268836975,0.175497367978096,0.23846197128295898,0.18201351165771484,0.3079429268836975,0.23846197128295898,0.9999999403953552,0.1976170688867569,0.17543654143810272,0.10020635277032852,0.18617433309555054,0.18081501126289368
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.20847271382808685,0.23922012746334076,0.5116966962814331,0.4542157053947449,0.5171257257461548,0.2432994693517685,0.5116966962814331,0.5171257257461548,0.1976170688867569,1.0,0.3363793194293976,0.3278570771217346,0.2994427978992462,0.20544172823429108
any,0.43670421838760376,0.35691767930984497,0.3555181324481964,0.1588347852230072,0.1762852519750595,0.3769088089466095,0.5059395432472229,0.4525727927684784,0.26905557513237,0.3769088089466095,0.4525727927684784,0.17543654143810272,0.3363793194293976,1.0,0.2862180173397064,0.20679043233394623,0.4113408327102661
interested,0.35256704688072205,0.14930003881454468,0.1980188488960266,0.11234577000141144,0.28445032238960266,0.24032539129257202,0.28094515204429626,0.22813944518566132,0.13544002175331116,0.24032539129257202,0.22813944518566132,0.10020635277032852,0.3278570771217346,0.2862180173397064,0.9999999403953552,0.22243550419807434,0.2901444137096405
