,who,granted,newcastle,a,new,charter,in,1589,?
incorporated,0.10158542543649673,0.34119704365730286,0.13123898208141327,0.2515564262866974,0.2695991098880768,0.35444381833076477,0.2849850654602051,0.18524645268917084,0.13423967361450195
first,0.39065709710121155,0.2043236643075943,0.2823651134967804,0.4287874400615692,0.3283863663673401,0.2906234562397003,0.4127444326877594,0.15989288687705994,0.18701928853988647
by,0.39727845788002014,0.23428714275360107,0.1767825335264206,0.32094135880470276,0.25394493341445923,0.1632666289806366,0.370934396982193,0.13598400354385376,0.17966607213020325
henry,0.29137110710144043,0.2421010285615921,0.23338857293128967,0.24300003051757812,0.1760309487581253,0.2242261916399002,0.21735817193984985,0.06019418314099312,0.16836383938789368
ii,0.20800143480300903,0.11884959042072296,0.12833598256111145,0.2111874669790268,0.19002428650856018,0.2190401703119278,0.21453368663787842,0.04044761881232262,0.11928234249353409
",",0.3365725874900818,0.2980138957500458,0.251589834690094,0.427140474319458,0.36073189973831177,0.25566044449806213,0.5201468467712402,0.11653099209070206,0.31091248989105225
the,0.3733934462070465,0.27588096261024475,0.2253497689962387,0.5829201340675354,0.3845241069793701,0.26436546444892883,0.6662389636039734,0.23528961837291718,0.22068053483963013
city,0.21073515713214874,0.17234808206558228,0.32860881090164185,0.2349124401807785,0.3555362820625305,0.29816967248916626,0.3911624252796173,0.15242624282836914,0.13423943519592285
had,0.36173108220100403,0.28034165501594543,0.2122826874256134,0.34897568821907043,0.28327175974845886,0.18330654501914978,0.385026752948761,0.1488233059644699,0.20728366076946259
a,0.36608949303627014,0.22482141852378845,0.21405641734600067,1.0,0.3214259147644043,0.20456433296203613,0.539380669593811,0.16716141998767853,0.23916715383529663
new,0.2378052920103073,0.18218450248241425,0.30626022815704346,0.3214259147644043,0.9999999403953552,0.228218674659729,0.3758552670478821,0.27508336305618286,0.14782847464084625
charter,0.20383159816265106,0.43319937586784363,0.32805928587913513,0.20456433296203613,0.228218674659729,1.0000001192092896,0.20881880819797516,0.3275136649608612,0.14220231771469116
granted,0.3049810528755188,1.0000001192092896,0.17885757982730865,0.22482141852378845,0.18218450248241425,0.43319937586784363,0.21880222856998444,0.1236453577876091,0.22870221734046936
by,0.39727845788002014,0.23428714275360107,0.1767825335264206,0.32094135880470276,0.25394493341445923,0.1632666289806366,0.370934396982193,0.13598400354385376,0.17966607213020325
elizabeth,0.2303544580936432,0.21059605479240417,0.2760513424873352,0.1767999827861786,0.2544737756252289,0.2819925546646118,0.18559834361076355,0.16198605298995972,0.157150536775589
in,0.2792111933231354,0.21880222856998444,0.19270820915699005,0.539380669593811,0.3758552670478821,0.20881880819797516,1.0,0.17645898461341858,0.20430970191955566
1589,0.16291354596614838,0.1236453577876091,0.15913128852844238,0.16716141998767853,0.27508336305618286,0.3275136649608612,0.17645898461341858,1.0000001192092896,0.1062065064907074
.,0.3541337847709656,0.23590165376663208,0.2714749276638031,0.50484299659729,0.35031336545944214,0.17250345647335052,0.5591574311256409,0.17102932929992676,0.4130953550338745
