,melatonin,during,sleep,can,actively,counteract,the,production,of,what,?
inflammation,0.5031426548957825,0.25477415323257446,0.36696234345436096,0.3807353675365448,0.1981959044933319,0.3135038912296295,0.2567841410636902,0.23694610595703125,0.24866501986980438,0.24853453040122986,0.2187519371509552
causes,0.2934069335460663,0.24165746569633484,0.2654297351837158,0.3209187388420105,0.17492347955703735,0.23283599317073822,0.2518732249736786,0.14122489094734192,0.2544642984867096,0.1426164209842682,0.19991323351860046
a,0.23678815364837646,0.30341604351997375,0.1731252670288086,0.3915780484676361,0.25318053364753723,0.26855093240737915,0.5829201340675354,0.19671310484409332,0.5052502155303955,0.3320399522781372,0.23916715383529663
great,0.18865099549293518,0.2680865228176117,0.1482825130224228,0.14414697885513306,0.16169489920139313,0.1808023601770401,0.2822027802467346,0.06366471946239471,0.3168134391307831,0.2562883198261261,0.13135133683681488
deal,0.1795715093612671,0.18531860411167145,0.11500977724790573,0.22871094942092896,0.19845399260520935,0.2519925534725189,0.23069973289966583,0.19223332405090332,0.22831951081752777,0.3379717469215393,0.2513751685619354
of,0.27170878648757935,0.3869180977344513,0.20480428636074066,0.2603091299533844,0.17802059650421143,0.2454369068145752,0.733189046382904,0.1928233802318573,1.0,0.33290785551071167,0.1826142966747284
oxidative,0.333767294883728,0.1237652450799942,0.17408449947834015,0.362488329410553,0.1660747230052948,0.2831149995326996,0.09804569184780121,0.1404988318681717,0.14910751581192017,0.21494156122207642,0.1729019284248352
stress,0.42221149802207947,0.21889857947826385,0.3357733488082886,0.3481190502643585,0.19438199698925018,0.3282550275325775,0.18694822490215302,0.2100948691368103,0.1941838562488556,0.33004483580589294,0.2845553457736969
and,0.23036111891269684,0.36462149024009705,0.2224324643611908,0.3675691485404968,0.3370615541934967,0.2952621579170227,0.5171257257461548,0.25569969415664673,0.5116966962814331,0.31309178471565247,0.20544172823429108
the,0.31908950209617615,0.4838213622570038,0.20454104244709015,0.312528520822525,0.30223920941352844,0.3067632019519806,1.0,0.2657334506511688,0.733189046382904,0.42745697498321533,0.22068053483963013
presence,0.2814846336841583,0.24668066203594208,0.11610005795955658,0.22971411049365997,0.3135547637939453,0.326079785823822,0.34114351868629456,0.2457735240459442,0.2917717397212982,0.24428647756576538,0.08592845499515533
of,0.27170878648757935,0.3869180977344513,0.20480428636074066,0.2603091299533844,0.17802059650421143,0.2454369068145752,0.733189046382904,0.1928233802318573,1.0,0.33290785551071167,0.1826142966747284
melatonin,1.0,0.22694647312164307,0.4022705554962158,0.2700079381465912,0.26034754514694214,0.3157121539115906,0.31908950209617615,0.23298901319503784,0.27170878648757935,0.2530684769153595,0.17366556823253632
during,0.22694647312164307,1.0,0.25961247086524963,0.1645900309085846,0.3120729923248291,0.22534187138080597,0.4838213622570038,0.18893569707870483,0.3869180977344513,0.24137552082538605,0.1325719803571701
sleep,0.4022705554962158,0.25961247086524963,0.9999999403953552,0.22451621294021606,0.1738554984331131,0.2785991430282593,0.20454104244709015,0.13449187576770782,0.20480428636074066,0.21082337200641632,0.20425266027450562
times,0.1117810308933258,0.36593833565711975,0.13195091485977173,0.20370972156524658,0.17969577014446259,0.1958823949098587,0.29093852639198303,0.10796733945608139,0.24352745711803436,0.21414996683597565,0.18880689144134521
could,0.1336877942085266,0.2584671974182129,0.19239266216754913,0.6550644040107727,0.2819867432117462,0.2902216613292694,0.35393214225769043,0.16957871615886688,0.29043012857437134,0.4188697934150696,0.3411986827850342
actively,0.26034754514694214,0.3120729923248291,0.1738554984331131,0.31524407863616943,1.0,0.3815149664878845,0.30223920941352844,0.18831633031368256,0.17802059650421143,0.2822394371032715,0.22519056499004364
counteract,0.3157121539115906,0.22534187138080597,0.2785991430282593,0.3679902255535126,0.3815149664878845,0.9999998807907104,0.3067632019519806,0.15897774696350098,0.2454369068145752,0.31298497319221497,0.1937524974346161
free,0.08651450276374817,0.14036475121974945,0.0600290521979332,0.28776296973228455,0.20511819422245026,0.22109583020210266,0.22231732308864594,0.09830781817436218,0.2430545836687088,0.22754132747650146,0.1278279572725296
radical,0.14466765522956848,0.19635838270187378,0.0880098044872284,0.13408207893371582,0.21195828914642334,0.2545866370201111,0.20306628942489624,0.09961303323507309,0.23039983212947845,0.24992598593235016,0.1306871920824051
production,0.23298901319503784,0.18893569707870483,0.13449187576770782,0.1666571944952011,0.18831633031368256,0.15897774696350098,0.2657334506511688,1.0,0.1928233802318573,0.16636081039905548,0.19318072497844696
during,0.22694647312164307,1.0,0.25961247086524963,0.1645900309085846,0.3120729923248291,0.22534187138080597,0.4838213622570038,0.18893569707870483,0.3869180977344513,0.24137552082538605,0.1325719803571701
this,0.2616496980190277,0.34351885318756104,0.20745596289634705,0.4006461203098297,0.33355745673179626,0.35034170746803284,0.6274310946464539,0.29359349608421326,0.45148900151252747,0.5489566326141357,0.3155723512172699
time,0.2276001274585724,0.49996283650398254,0.2873101532459259,0.2720869183540344,0.2352362871170044,0.2605169117450714,0.43061500787734985,0.16630201041698456,0.35127586126327515,0.36319252848625183,0.27391523122787476
.,0.2737550139427185,0.3485563397407532,0.25573426485061646,0.35783761739730835,0.2648431956768036,0.27224424481391907,0.5934505462646484,0.22297915816307068,0.5352458953857422,0.3567904531955719,0.4130953550338745
