,what,was,the,most,important,governmental,change,to,land,tenure,?
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.2788466215133667,0.3641999065876007,0.535392165184021,0.28587454557418823,0.25439196825027466,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,1.0,0.5079463124275208,0.20369665324687958,0.18071754276752472,0.321603000164032,0.21697302162647247,0.16903473436832428,0.2107497900724411
important,0.31164905428886414,0.24924467504024506,0.39348116517066956,0.5079463124275208,1.0000001192092896,0.2377288043498993,0.2577654719352722,0.30913278460502625,0.1497337967157364,0.12834255397319794,0.17812499403953552
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.43301743268966675,0.35182538628578186,0.2569013833999634,0.41548454761505127,0.3057127296924591,0.30861806869506836,0.1826142966747284
these,0.4164220690727234,0.19784674048423767,0.49086877703666687,0.4825916290283203,0.3669404983520508,0.32369306683540344,0.3291386663913727,0.46852558851242065,0.24193477630615234,0.11710754036903381,0.2571668326854706
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.24924467504024506,0.2519351541996002,0.18487286567687988,0.3636345863342285,0.23751215636730194,0.2806069850921631,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.2788466215133667,0.3641999065876007,0.535392165184021,0.28587454557418823,0.25439196825027466,0.22068053483963013
swynnerton,0.21749456226825714,0.32158952951431274,0.3020910620689392,0.19956135749816895,0.16967639327049255,0.1906701624393463,0.1451900452375412,0.27241048216819763,0.2532370388507843,0.18530961871147156,0.19980363547801971
plan,0.2947953939437866,0.2407723069190979,0.2852855324745178,0.12854477763175964,0.12435144186019897,0.2930910885334015,0.13652785122394562,0.36421895027160645,0.24513353407382965,0.15570467710494995,0.1961054503917694
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.25626909732818604,0.2752361297607422,0.44245919585227966,0.22220008075237274,0.18157526850700378,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.4637843072414398,0.37798872590065,0.299594908952713,0.3397163152694702,0.5345056653022766,0.2834632992744446,0.15916171669960022,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.24924467504024506,0.2519351541996002,0.18487286567687988,0.3636345863342285,0.23751215636730194,0.2806069850921631,0.18412111699581146
used,0.27546408772468567,0.23679393529891968,0.3718377649784088,0.306323766708374,0.3378707766532898,0.21606209874153137,0.2650039494037628,0.40058770775794983,0.18310055136680603,0.14347879588603973,0.22430120408535004
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.321603000164032,0.30913278460502625,0.2544436752796173,0.3581787943840027,1.0,0.2885280251502991,0.2154904156923294,0.29463258385658264
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.4521110951900482,0.23942603170871735,0.2350834459066391,0.21637314558029175,0.3897709250450134,0.1912451684474945,0.17727220058441162,0.19455738365650177
reward,0.2518286406993866,0.2143937051296234,0.2429082840681076,0.15350857377052307,0.18029312789440155,0.17344669997692108,0.21277688443660736,0.2739831805229187,0.21108321845531464,0.16436779499053955,0.1740967184305191
loyalists,0.2285258024930954,0.22399671375751495,0.2931841313838959,0.2056652456521988,0.16912530362606049,0.354042649269104,0.14306260645389557,0.26371875405311584,0.28968456387519836,0.19682347774505615,0.10581273585557938
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.3014513850212097,0.2438346892595291,0.48971283435821533,0.2874513864517212,0.22747702896595,0.20544172823429108
punish,0.34964239597320557,0.15436358749866486,0.1862790733575821,0.16861386597156525,0.12299860268831253,0.2562813460826874,0.2106378823518753,0.2891392111778259,0.1543290913105011,0.17859835922718048,0.23481756448745728
mau,0.12832750380039215,0.1807904988527298,0.17236579954624176,0.13056406378746033,0.14579376578330994,0.18770523369312286,0.12520413100719452,0.16618125140666962,0.15514637529850006,0.06274128705263138,0.12663695216178894
mau,0.12832750380039215,0.1807904988527298,0.17236579954624176,0.13056406378746033,0.14579376578330994,0.18770523369312286,0.12520413100719452,0.16618125140666962,0.15514637529850006,0.06274128705263138,0.12663695216178894
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.23718272149562836,0.3244723975658417,0.4645031690597534,0.259204238653183,0.24801340699195862,0.4130953550338745
