,who,developed,the,lithium-ion,battery,?
in,0.2792111933231354,0.2498214840888977,0.6662389636039734,0.25784069299697876,0.19365231692790985,0.20430970191955566
science,0.19709691405296326,0.2018393874168396,0.24037593603134155,0.193797767162323,0.10330250859260559,0.17974960803985596
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.2915126383304596,0.19312593340873718,0.31091248989105225
alumni,0.1722409725189209,0.07942057400941849,0.22524002194404602,0.22604338824748993,0.07659308612346649,0.130934476852417
include,0.15078489482402802,0.22851799428462982,0.2951717972755432,0.20615902543067932,0.10023999959230423,0.14925788342952728
astronomers,0.24092046916484833,0.22812528908252716,0.25630447268486023,0.2424202561378479,0.10663263499736786,0.10623567551374435
carl,0.19480429589748383,0.1728079468011856,0.18868394196033478,0.10492245107889175,0.10380967706441879,0.1315603405237198
sagan,0.2834472358226776,0.13152849674224854,0.21355800330638885,0.2871228754520416,0.1497207134962082,0.20031094551086426
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.2915126383304596,0.19312593340873718,0.31091248989105225
a,0.36608949303627014,0.286296546459198,0.5829201340675354,0.326337069272995,0.25746139883995056,0.23916715383529663
prominent,0.31358104944229126,0.23002474009990692,0.30881059169769287,0.14225327968597412,0.09220854938030243,0.12940338253974915
contributor,0.25788000226020813,0.14029698073863983,0.23006539046764374,0.1955929696559906,0.06706205755472183,0.32557573914527893
to,0.42656609416007996,0.19491806626319885,0.535392165184021,0.2653813064098358,0.21826182305812836,0.29463258385658264
the,0.3733934462070465,0.24490751326084137,1.0,0.2816171944141388,0.16549226641654968,0.22068053483963013
scientific,0.18213701248168945,0.2515098750591278,0.24748262763023376,0.15212522447109222,0.11243465542793274,0.16215236485004425
research,0.17335498332977295,0.29304683208465576,0.24391183257102966,0.2058141827583313,0.11261621862649918,0.13481977581977844
of,0.2827862501144409,0.21960023045539856,0.733189046382904,0.26145070791244507,0.1712125986814499,0.1826142966747284
extraterrestrial,0.21828287839889526,0.2709847390651703,0.26097381114959717,0.2832932770252228,0.14842179417610168,0.12126397341489792
life,0.2577245533466339,0.19939875602722168,0.23528170585632324,0.30003270506858826,0.22754935920238495,0.21677987277507782
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.2915126383304596,0.19312593340873718,0.31091248989105225
and,0.41279885172843933,0.25542938709259033,0.5171257257461548,0.2843134105205536,0.17193925380706787,0.20544172823429108
edwin,0.27714595198631287,0.03669673204421997,0.19826023280620575,0.18675965070724487,0.10978969186544418,0.1910800039768219
hubble,0.1061658263206482,0.20496033132076263,0.22213377058506012,0.2738940417766571,0.1477912962436676,0.1859315186738968
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.2915126383304596,0.19312593340873718,0.31091248989105225
known,0.24757125973701477,0.29355788230895996,0.3624623417854309,0.22850407660007477,0.0670030415058136,0.18314571678638458
