,which,sitcom,ended,its,broadcast,run,for,abc,in,1983,?
as,0.41006597876548767,0.28111162781715393,0.15908659994602203,0.31874480843544006,0.19535446166992188,0.21759064495563507,0.44774648547172546,0.2286096066236496,0.3887844979763031,0.01639425940811634,0.27043893933296204
far,0.26849839091300964,0.11841201782226562,0.13349121809005737,0.2760116159915924,0.10509109497070312,0.23212231695652008,0.22081951797008514,0.0821944996714592,0.2599720060825348,-0.006491928361356258,0.2170870453119278
as,0.41006597876548767,0.28111162781715393,0.15908659994602203,0.31874480843544006,0.19535446166992188,0.21759064495563507,0.44774648547172546,0.2286096066236496,0.3887844979763031,0.01639425940811634,0.27043893933296204
programming,0.317421019077301,0.25540363788604736,0.1054227352142334,0.22158177196979523,0.4070121645927429,0.30589762330055237,0.24722188711166382,0.3165910840034485,0.17145347595214844,0.08993501216173172,0.22249025106430054
is,0.4457404911518097,0.16968832910060883,0.1630723774433136,0.4447362422943115,0.1702820062637329,0.20717166364192963,0.43268078565597534,0.16037321090698242,0.5394441485404968,0.009469836950302124,0.22961433231830597
concerned,0.30252736806869507,0.1795528084039688,0.20692121982574463,0.2501554489135742,0.18549536168575287,0.2423788160085678,0.2909458875656128,0.1050947979092598,0.27584534883499146,0.1305323839187622,0.27800148725509644
",",0.3658004403114319,0.20374301075935364,0.2682836353778839,0.33157986402511597,0.24917922914028168,0.2309936285018921,0.4464869201183319,0.2097204476594925,0.5201468467712402,0.07142885774374008,0.31091248989105225
four,0.37497180700302124,0.17495477199554443,0.2663898169994354,0.25624504685401917,0.19108189642429352,0.15621820092201233,0.27783235907554626,0.11602456867694855,0.3085027039051056,-0.013100703246891499,0.14532537758350372
of,0.5011631846427917,0.14758242666721344,0.27636510133743286,0.48690423369407654,0.20155203342437744,0.2272813767194748,0.4185989499092102,0.14607268571853638,0.5696388483047485,0.0639224499464035,0.1826142966747284
abc,0.1991286277770996,0.48908531665802,0.2626802623271942,0.19045390188694,0.4876510202884674,0.1768566370010376,0.22510288655757904,1.0000001192092896,0.1697147786617279,0.12831369042396545,0.19065172970294952
's,0.03856118768453598,-0.0017705160425975919,-0.00953457411378622,0.03202139586210251,0.0797032043337822,0.017889494076371193,-0.07241261005401611,0.06670809537172318,-0.037580832839012146,0.13286671042442322,-0.023395681753754616
marquee,0.23895610868930817,0.24926233291625977,0.13230612874031067,0.17164303362369537,0.22714775800704956,0.1918366551399231,0.2394723743200302,0.25658467411994934,0.22384251654148102,-0.01902233622968197,0.10540568828582764
shows,0.33303946256637573,0.3272691071033478,0.2312035709619522,0.2824936509132385,0.32133233547210693,0.1459360122680664,0.35496386885643005,0.3304527997970581,0.3289647698402405,0.018846800550818443,0.2040930688381195
of,0.5011631846427917,0.14758242666721344,0.27636510133743286,0.48690423369407654,0.20155203342437744,0.2272813767194748,0.4185989499092102,0.14607268571853638,0.5696388483047485,0.0639224499464035,0.1826142966747284
the,0.6521818041801453,0.18489417433738708,0.3356485068798065,0.559237003326416,0.2713715434074402,0.27883726358413696,0.4739971458911896,0.2068762183189392,0.6662389636039734,-0.019107989966869354,0.22068053483963013
1970s,0.005460713058710098,0.04934221878647804,0.03431783244013786,-0.011291023343801498,-0.08243975043296814,0.024789026007056236,0.04791708290576935,-0.11265640705823898,0.057396724820137024,0.061133429408073425,0.03861190751194954
ended,0.17998263239860535,0.24889639019966125,1.0,0.207168310880661,0.2243213951587677,0.23642955720424652,0.25393593311309814,0.2626802623271942,0.3353011906147003,-0.024600226432085037,0.15429291129112244
their,0.4582767188549042,0.1376071572303772,0.24458195269107819,0.5367968082427979,0.16217587888240814,0.2519458532333374,0.3406745493412018,0.17463743686676025,0.34976133704185486,0.006948564201593399,0.1898253709077835
runs,0.2880222499370575,0.14337800443172455,0.19138884544372559,0.25302407145500183,0.15939122438430786,0.6555101275444031,0.1882663071155548,0.10696805268526077,0.2674408257007599,-0.030114836990833282,0.08094297349452972
during,0.3590145409107208,0.1942109763622284,0.5089324712753296,0.23688937723636627,0.24461494386196136,0.22647301852703094,0.3448435664176941,0.18870772421360016,0.4627237319946289,-0.06017938628792763,0.1325719803571701
the,0.6521818041801453,0.18489417433738708,0.3356485068798065,0.559237003326416,0.2713715434074402,0.27883726358413696,0.4739971458911896,0.2068762183189392,0.6662389636039734,-0.019107989966869354,0.22068053483963013
mid-1980s,0.38076886534690857,0.127516970038414,0.2877199053764343,0.28760161995887756,0.21375064551830292,0.22482308745384216,0.2470930963754654,0.11429709941148758,0.279976487159729,-0.04538851976394653,0.03908414766192436
:,-0.11049769818782806,-0.12986059486865997,0.015318631194531918,-0.09279701858758926,-0.05805831030011177,-0.037502460181713104,-0.02522280067205429,-0.06154730170965195,0.020521078258752823,0.029961690306663513,-0.07156077772378922
laverne,0.15648342669010162,0.34642595052719116,0.1424919068813324,0.06462568044662476,0.23159687221050262,0.09579432010650635,0.15944010019302368,0.22432038187980652,0.2994062602519989,0.10210202634334564,0.15383945405483246
&,0.16294614970684052,0.2466602623462677,0.0883876159787178,0.11429427564144135,0.1606864482164383,0.08620958030223846,0.15479104220867157,0.1936885565519333,0.1358654648065567,0.11705883592367172,0.12596383690834045
