,what,is,another,term,for,tesla,'s,visualization,ability,?
:33,-0.005242668092250824,0.06769134104251862,0.0778290331363678,-0.03333726152777672,0.09202741086483002,0.0042181434109807014,0.016420988366007805,-0.017102418467402458,0.11951124668121338,0.02699214033782482
tesla,0.23221199214458466,0.14061255753040314,0.1668986827135086,0.13398443162441254,0.13983871042728424,0.9999999403953552,0.06449045985937119,0.2723611295223236,0.22248192131519318,0.10250775516033173
would,0.45766422152519226,0.33626067638397217,0.4498668909072876,0.23224718868732452,0.39877474308013916,0.14290116727352142,0.036968596279621124,0.2186623513698578,0.33901113271713257,0.37178951501846313
visualize,0.31077876687049866,0.21216072142124176,0.2554786503314972,0.2372301071882248,0.26711368560791016,0.2664359509944916,-0.04346183314919472,0.7780590653419495,0.38678163290023804,0.20896482467651367
an,0.2821882665157318,0.4654068350791931,0.47266486287117004,0.16153281927108765,0.3236706852912903,0.13714656233787537,0.025255560874938965,0.2552657127380371,0.19394457340240479,0.19793890416622162
invention,0.2399451732635498,0.19399143755435944,0.200974702835083,0.1674889177083969,0.25983884930610657,0.31912633776664734,-0.01648208685219288,0.2921859323978424,0.22922921180725098,0.15906493365764618
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.27866655588150024,0.4322226941585541,0.17097744345664978,-0.037580832839012146,0.19563789665699005,0.16374780237674713,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.349472314119339,0.1899632215499878,0.39312878251075745,0.1580733060836792,0.047556519508361816,0.1298818588256836,0.28967100381851196,0.18075084686279297
mind,0.305233895778656,0.16031856834888458,0.24069464206695557,0.1336318850517273,0.22675734758377075,0.14152653515338898,0.007844338193535805,0.2757779061794281,0.3054042458534241,0.22109316289424896
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.18053050339221954,0.39140474796295166,0.16424812376499176,-0.04624466598033905,0.22664909064769745,0.2237129658460617,0.2433311939239502
extreme,0.21726317703723907,0.24454428255558014,0.20813755691051483,0.193307563662529,0.2427319884300232,0.16521021723747253,-0.06957834959030151,0.24287468194961548,0.25636130571365356,0.12677998840808868
precision,0.20072388648986816,0.20347270369529724,0.1605459600687027,0.15137577056884766,0.26028186082839966,0.24504640698432922,0.035137519240379333,0.37365832924842834,0.22010228037834167,0.22088395059108734
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.21556062996387482,0.2049795389175415,0.31091248989105225
including,0.18328791856765747,0.25093933939933777,0.19852253794670105,0.1204262375831604,0.42507120966911316,0.07415688037872314,0.0074059427715837955,0.1632503867149353,0.19678479433059692,0.1633303165435791
all,0.41981086134910583,0.2553904056549072,0.2899569571018219,0.1779089868068695,0.41144001483917236,0.14510658383369446,0.03181743621826172,0.22711020708084106,0.3158562183380127,0.29575422406196594
dimensions,0.22588478028774261,0.20390184223651886,0.2142227292060852,0.19914589822292328,0.18152545392513275,0.2882574200630188,-0.023744558915495872,0.4106109142303467,0.222739577293396,0.2405867874622345
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.21556062996387482,0.2049795389175415,0.31091248989105225
before,0.3801657259464264,0.25183290243148804,0.37479785084724426,0.209525004029274,0.44347289204597473,0.14506052434444427,-0.01158253662288189,0.18835948407649994,0.21334876120090485,0.2507109045982361
moving,0.3154623508453369,0.19858770072460175,0.3131569027900696,0.15462368726730347,0.2714214324951172,0.1775922030210495,0.02821442484855652,0.3227434456348419,0.25364401936531067,0.21667467057704926
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.3310292959213257,0.4451248347759247,0.17548894882202148,0.03782717138528824,0.2373037189245224,0.401883065700531,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,0.1324402391910553,-0.01540423184633255,0.2520241439342499,0.24997951090335846,0.22068053483963013
construction,0.20329850912094116,0.2135658711194992,0.21731001138687134,0.17304480075836182,0.2193669229745865,0.228234201669693,0.04049986973404884,0.31158897280693054,0.11353892087936401,0.13494056463241577
stage,0.15168409049510956,0.19676770269870758,0.20051632821559906,0.12107555568218231,0.2402065247297287,0.08445630967617035,0.0965113714337349,0.17792576551437378,0.12216167896986008,0.14916576445102692
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.21556062996387482,0.2049795389175415,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.2211925983428955,0.04866964742541313,0.2603403925895691,0.27422255277633667,0.23916715383529663
technique,0.1991947591304779,0.22651469707489014,0.2303456962108612,0.21430306136608124,0.2787911593914032,0.22690775990486145,0.014412439428269863,0.3952541947364807,0.3972761929035187,0.13460883498191833
sometimes,0.34229418635368347,0.3757973313331604,0.33024510741233826,0.36344829201698303,0.28293126821517944,0.129081130027771,0.018931861966848373,0.22361482679843903,0.3236786127090454,0.1751544177532196
known,0.20381177961826324,0.41921812295913696,0.21254785358905792,0.25956669449806213,0.363901823759079,0.09137910604476929,0.008368984796106815,0.12406546622514725,0.18060101568698883,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.3224089443683624,0.44774648547172546,0.10285310447216034,-0.05775856226682663,0.21519464254379272,0.2832246720790863,0.27043893933296204
picture,0.306155264377594,0.2752813696861267,0.28395864367485046,0.13473747670650482,0.25744423270225525,0.16485540568828583,0.007782770786434412,0.3043324947357178,0.13180692493915558,0.24607865512371063
thinking,0.49821993708610535,0.17938415706157684,0.3307998776435852,0.269927442073822,0.28851422667503357,0.17375397682189941,0.03711063414812088,0.36828017234802246,0.34497493505477905,0.3342305123806
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.4726039469242096,0.17949827015399933,-0.003708066651597619,0.24431738257408142,0.22488819062709808,0.4130953550338745
