,what,distinguishes,granal,thylakoids,?
there,0.35085538029670715,0.22091680765151978,0.2134649157524109,0.21885816752910614,0.29405656456947327
are,0.29724663496017456,0.28603509068489075,0.15239673852920532,0.4048384726047516,0.24591213464736938
two,0.23363454639911652,0.18813657760620117,0.23600998520851135,0.2831059694290161,0.19645625352859497
types,0.25706279277801514,0.28328973054885864,0.13384605944156647,0.3022363483905792,0.1285012811422348
of,0.33290785551071167,0.31592175364494324,0.2661854326725006,0.2329981029033661,0.1826142966747284
thylakoids—granal,0.21661558747291565,0.24949784576892853,0.6298676133155823,0.8763530850410461,0.1932603418827057
thylakoids,0.18655724823474884,0.24283093214035034,0.2560059130191803,1.0,0.17522360384464264
",",0.3087472915649414,0.22589819133281708,0.28314316272735596,0.20282846689224243,0.31091248989105225
which,0.5261979103088379,0.2917516827583313,0.2675760090351105,0.33822375535964966,0.25814583897590637
are,0.29724663496017456,0.28603509068489075,0.15239673852920532,0.4048384726047516,0.24591213464736938
arranged,0.1523403525352478,0.2665642201900482,0.22137489914894104,0.24951514601707458,0.08499907702207565
in,0.30808621644973755,0.20947642624378204,0.22007456421852112,0.19204016029834747,0.20430970191955566
grana,0.12482953071594238,0.19370219111442566,0.7843918204307556,0.31276199221611023,0.1099926009774208
",",0.3087472915649414,0.22589819133281708,0.28314316272735596,0.20282846689224243,0.31091248989105225
and,0.31309178471565247,0.2525673806667328,0.2552404999732971,0.23562830686569214,0.20544172823429108
stromal,0.25136467814445496,0.24504172801971436,0.3758154809474945,0.4598264992237091,0.16544461250305176
thylakoids,0.18655724823474884,0.24283093214035034,0.2560059130191803,1.0,0.17522360384464264
",",0.3087472915649414,0.22589819133281708,0.28314316272735596,0.20282846689224243,0.31091248989105225
which,0.5261979103088379,0.2917516827583313,0.2675760090351105,0.33822375535964966,0.25814583897590637
are,0.29724663496017456,0.28603509068489075,0.15239673852920532,0.4048384726047516,0.24591213464736938
in,0.30808621644973755,0.20947642624378204,0.22007456421852112,0.19204016029834747,0.20430970191955566
contact,0.2598453462123871,0.17359216511249542,0.043522853404283524,0.2218276709318161,0.2231319397687912
with,0.2464839518070221,0.24107784032821655,0.16846051812171936,0.20929807424545288,0.2433311939239502
the,0.42745697498321533,0.25254887342453003,0.2786661684513092,0.23520681262016296,0.22068053483963013
stroma,0.17679446935653687,0.15252630412578583,0.3240257799625397,0.2927302122116089,0.15478113293647766
.,0.3567904531955719,0.19009442627429962,0.21629782021045685,0.20680563151836395,0.4130953550338745
