,when,was,ctenophore,mnemiopsis,leidyi,introduced,into,the,black,sea,and,the,sea,of,azov,?
on,0.37706470489501953,0.3909217119216919,0.1895429939031601,0.2034597545862198,0.253128319978714,0.14749887585639954,0.30585673451423645,0.5107308030128479,0.18663345277309418,0.2444533258676529,0.4077630043029785,0.5107308030128479,0.2444533258676529,0.3966929316520691,0.17188137769699097,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,0.2813475728034973,0.23440246284008026,0.2985493838787079,0.242969810962677,0.39493247866630554,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
other,0.34102705121040344,0.14651623368263245,0.24600708484649658,0.23796363174915314,0.2348431646823883,0.17775411903858185,0.25933539867401123,0.44152235984802246,0.1947280913591385,0.2263188511133194,0.5504306554794312,0.44152235984802246,0.2263188511133194,0.38583824038505554,0.11382441222667694,0.24682199954986572
hand,0.31687766313552856,0.16591666638851166,0.23611900210380554,0.1532147228717804,0.1892399787902832,0.12192606180906296,0.22233708202838898,0.253619521856308,0.17585498094558716,0.08928116410970688,0.27956733107566833,0.253619521856308,0.08928116410970688,0.18184109032154083,0.1300005316734314,0.20656698942184448
",",0.36674630641937256,0.45456063747406006,0.18335451185703278,0.32095542550086975,0.36187174916267395,0.22034090757369995,0.2826121151447296,0.4933079481124878,0.23807229101657867,0.30078184604644775,0.6633074283599854,0.4933079481124878,0.30078184604644775,0.4946078956127167,0.2248634397983551,0.31091248989105225
in,0.4431333839893341,0.45514053106307983,0.1891518235206604,0.19060823321342468,0.3367040455341339,0.2614979147911072,0.38021373748779297,0.6662389636039734,0.20407067239284515,0.2302369773387909,0.4954058527946472,0.6662389636039734,0.2302369773387909,0.5696388483047485,0.16842807829380035,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.2813475728034973,0.23440246284008026,0.2985493838787079,0.242969810962677,0.39493247866630554,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
late,0.29498016834259033,0.4393066465854645,0.12709440290927887,0.17123228311538696,0.16790145635604858,0.31480756402015686,0.21133162081241608,0.31481194496154785,0.10969191789627075,0.13509200513362885,0.3247620165348053,0.31481194496154785,0.13509200513362885,0.21690747141838074,0.0768369808793068,0.11339222639799118
1980s,-0.038990430533885956,-0.0172738004475832,0.2736237049102783,0.01942206546664238,0.000822095200419426,0.16239652037620544,0.08300581574440002,0.07890266180038452,0.12251178175210953,0.1470116525888443,0.016964120790362358,0.07890266180038452,0.1470116525888443,0.11110851913690567,0.12822197377681732,-0.0718669518828392
the,0.5091903209686279,0.48711544275283813,0.2813475728034973,0.23440246284008026,0.2985493838787079,0.242969810962677,0.39493247866630554,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
western,0.2197389006614685,0.2864105999469757,0.14006838202476501,0.14355210959911346,0.21498726308345795,0.20162826776504517,0.2034125179052353,0.37920868396759033,0.21290867030620575,0.24595922231674194,0.27210789918899536,0.37920868396759033,0.24595922231674194,0.32974064350128174,0.19258512556552887,0.17439141869544983
atlantic,0.2268618494272232,0.22275687754154205,0.22289744019508362,0.1836726814508438,0.19653882086277008,0.166041761636734,0.23011042177677155,0.31052014231681824,0.20371773838996887,0.39262792468070984,0.22233547270298004,0.31052014231681824,0.39262792468070984,0.22176773846149445,0.24252475798130035,0.15355663001537323
ctenophore,0.20260603725910187,0.08484132587909698,1.0,0.5738357901573181,0.28233802318573,0.20592758059501648,0.1800595074892044,0.2813475728034973,0.24124380946159363,0.3315829038619995,0.19002923369407654,0.2813475728034973,0.3315829038619995,0.2790392339229584,0.25514623522758484,0.2190871685743332
mnemiopsis,0.15853744745254517,0.14610148966312408,0.5738357901573181,1.0,0.40427249670028687,0.14781096577644348,0.12074291706085205,0.23440246284008026,0.20939147472381592,0.24282921850681305,0.22967760264873505,0.23440246284008026,0.24282921850681305,0.264727383852005,0.212117001414299,0.3170430064201355
leidyi,0.27184081077575684,0.3019236624240875,0.28233802318573,0.40427249670028687,1.0,0.21744130551815033,0.19867101311683655,0.2985493838787079,0.18349872529506683,0.1633916199207306,0.26506441831588745,0.2985493838787079,0.1633916199207306,0.31192028522491455,0.28200262784957886,0.3032957911491394
was,0.37326499819755554,1.0000001192092896,0.08484132587909698,0.14610148966312408,0.3019236624240875,0.32667654752731323,0.2322220653295517,0.48711544275283813,0.1419273465871811,0.18031850457191467,0.3740963041782379,0.48711544275283813,0.18031850457191467,0.4069072902202606,0.117275170981884,0.18412111699581146
accidentally,0.468586266040802,0.2852036654949188,0.17910942435264587,0.168192058801651,0.21533682942390442,0.2518576383590698,0.3200051486492157,0.2573339343070984,0.1625044345855713,0.12145590782165527,0.2419019192457199,0.2573339343070984,0.12145590782165527,0.16036903858184814,0.21311712265014648,0.2163393795490265
introduced,0.21339701116085052,0.32667654752731323,0.20592758059501648,0.14781096577644348,0.21744130551815033,1.0,0.26064932346343994,0.242969810962677,0.087015800178051,0.15340259671211243,0.27894338965415955,0.242969810962677,0.15340259671211243,0.23328952491283417,0.09202621132135391,0.16386865079402924
into,0.389646977186203,0.2322220653295517,0.1800595074892044,0.12074291706085205,0.19867101311683655,0.26064932346343994,1.0,0.39493247866630554,0.0980280339717865,0.2345193475484848,0.36597734689712524,0.39493247866630554,0.2345193475484848,0.32255905866622925,0.19504722952842712,0.15662476420402527
the,0.5091903209686279,0.48711544275283813,0.2813475728034973,0.23440246284008026,0.2985493838787079,0.242969810962677,0.39493247866630554,1.0,0.28466513752937317,0.30363768339157104,0.5171257257461548,1.0,0.30363768339157104,0.733189046382904,0.23515892028808594,0.22068053483963013
