,what,was,the,purpose,of,loudoun,'s,troops,at,fort,henry,?
leaving,0.2528557777404785,0.23990856111049652,0.35353413224220276,0.23273965716362,0.28646329045295715,0.17363126575946808,-0.012301049195230007,0.1909610629081726,0.2918879985809326,0.18422561883926392,0.1640121042728424,0.11571593582630157
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2899824380874634,0.5052502155303955,0.3020290732383728,0.04866964742541313,0.16708239912986755,0.3095070421695709,0.16024662554264069,0.24300003051757812,0.23916715383529663
sizable,0.22908520698547363,0.2586168944835663,0.3578290343284607,0.24016022682189941,0.3229367434978485,0.321428507566452,0.1238512173295021,0.20103248953819275,0.11059863865375519,0.22305628657341003,0.22719693183898926,0.11556777358055115
force,0.16915984451770782,0.20879842340946198,0.2800885736942291,0.2304043471813202,0.27094775438308716,0.25778043270111084,0.020782919600605965,0.4159229099750519,0.17609930038452148,0.28683367371559143,0.15829867124557495,0.1650998443365097
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.22169865667819977,0.42558613419532776,0.22563883662223816,-0.08481216430664062,0.23513081669807434,1.0,0.3015354871749878,0.2414405643939972,0.21978627145290375
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.16174152493476868,0.18979716300964355,0.38008376955986023,-0.0009166967938654125,0.3374136686325073,0.3015354871749878,0.9999999403953552,0.3162190616130829,0.15686731040477753
william,0.24990826845169067,0.28444796800613403,0.21537061035633087,0.1310151368379593,0.20272590219974518,0.3184690773487091,0.00675395829603076,0.18058252334594727,0.16626758873462677,0.321216881275177,0.5330269932746887,0.14462219178676605
henry,0.1911626160144806,0.31945720314979553,0.2542637586593628,0.19734175503253937,0.2390729784965515,0.332200825214386,-0.032912835478782654,0.18897674977779388,0.2414405643939972,0.3162190616130829,1.0,0.16836383938789368
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.21256138384342194,0.03782717138528824,0.23654340207576752,0.36524343490600586,0.16577591001987457,0.2152724415063858,0.29463258385658264
distract,0.3476234972476959,0.089339479804039,0.25822654366493225,0.2554396092891693,0.16763366758823395,0.12312687933444977,0.007778743747621775,0.2282228022813797,0.17583072185516357,0.10514736920595169,0.1489725112915039,0.19661304354667664
montcalm,0.21009081602096558,0.26795694231987,0.30913522839546204,0.12875591218471527,0.30493322014808655,0.41302621364593506,-0.003908664919435978,0.34543299674987793,0.31557270884513855,0.3510432839393616,0.24699236452579498,0.23564797639846802
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21281862258911133,0.4946078956127167,0.3265959918498993,-0.0016132977325469255,0.23846548795700073,0.38314947485923767,0.2651418149471283,0.25662001967430115,0.31091248989105225
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.17171922326087952,0.38706058263778687,0.2543097734451294,0.024063590914011,0.2506374418735504,0.3280475437641144,0.17954927682876587,0.24785955250263214,0.2089974731206894
began,0.1665823757648468,0.4683617055416107,0.3059147596359253,0.20792074501514435,0.2330763041973114,0.2150110900402069,-0.026281554251909256,0.2914295792579651,0.2547261416912079,0.23165860772132874,0.20952139794826508,0.1370266228914261
organizing,0.25591719150543213,0.21937614679336548,0.31940990686416626,0.3671224117279053,0.33243584632873535,0.14137035608291626,0.06600023806095123,0.23259983956813812,0.2657470405101776,0.13459961116313934,0.16525448858737946,0.14538010954856873
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.3468001186847687,0.4185989499092102,0.2128196805715561,-0.07241261005401611,0.1535932570695877,0.34237727522850037,0.17886725068092346,0.20179113745689392,0.264628142118454
the,0.42745697498321533,0.48711544275283813,1.0,0.3061215281486511,0.733189046382904,0.29474931955337524,-0.01540423184633255,0.3229958415031433,0.457212895154953,0.2420126497745514,0.2542637586593628,0.22068053483963013
expedition,0.19300568103790283,0.2416619211435318,0.26213887333869934,0.19050058722496033,0.18468376994132996,0.14328733086585999,0.031321313232183456,0.3631868362426758,0.16951610147953033,0.2918441891670227,0.23278789222240448,0.10355690121650696
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.21256138384342194,0.03782717138528824,0.23654340207576752,0.36524343490600586,0.16577591001987457,0.2152724415063858,0.29463258385658264
quebec,0.19603441655635834,0.21936345100402832,0.23410074412822723,0.128712460398674,0.13664869964122772,0.2916165590286255,0.06779032200574875,0.194640651345253,0.14861932396888733,0.28168344497680664,0.17533785104751587,0.11506577581167221
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.22145536541938782,0.5352458953857422,0.2539626657962799,-0.003708066651597619,0.19217929244041443,0.4549728035926819,0.2578873038291931,0.3065545856952667,0.4130953550338745
