,what,word,was,luther,criticized,for,adding,in,romans3:28,?
when,0.4700249433517456,0.26252061128616333,0.37326499819755554,0.14516782760620117,0.22951871156692505,0.43402108550071716,0.33394965529441833,0.4431333839893341,0.16848550736904144,0.22841128706932068
he,0.3114890456199646,0.22539205849170685,0.5410010814666748,0.2454872578382492,0.23122943937778473,0.4540175199508667,0.12917640805244446,0.41690486669540405,0.22116000950336456,0.2089974731206894
was,0.22111038863658905,0.20755049586296082,1.0000001192092896,0.19185513257980347,0.32728198170661926,0.3863949179649353,0.10956872999668121,0.45514053106307983,0.26269251108169556,0.18412111699581146
criticised,0.2731558084487915,0.15609999001026154,0.35859376192092896,0.12134074419736862,0.7772573828697205,0.28309282660484314,0.18775807321071625,0.21683059632778168,0.15250879526138306,0.16855674982070923
for,0.3017193675041199,0.28341928124427795,0.3863949179649353,0.12958186864852905,0.29010632634162903,0.9999999403953552,0.33405953645706177,0.4322226941585541,0.12524311244487762,0.264628142118454
inserting,0.29047685861587524,0.22333906590938568,0.05994828790426254,0.18033695220947266,0.20373660326004028,0.3336499035358429,0.5366900563240051,0.14801648259162903,0.08905670046806335,0.31990814208984375
the,0.42745697498321533,0.2835540175437927,0.48711544275283813,0.1759674996137619,0.21370236575603485,0.4739971458911896,0.30152344703674316,0.6662389636039734,0.26186707615852356,0.22068053483963013
word,0.30982115864753723,1.0,0.20755049586296082,0.10150709748268127,0.19241894781589508,0.28341928124427795,0.21260567009449005,0.19815877079963684,0.24777308106422424,0.19046713411808014
``,0.008517155423760414,0.12403237819671631,-0.012679691426455975,-0.013964727520942688,-0.1150706335902214,0.01270448137074709,0.08968081325292587,0.04765888676047325,0.1309550255537033,0.0685480609536171
alone,0.3431425094604492,0.1781354695558548,0.17050841450691223,0.13457900285720825,0.19880087673664093,0.3239976465702057,0.17561621963977814,0.24454614520072937,0.15971492230892181,0.25589054822921753
