,what,were,the,annual,carriage,fees,for,the,channels,?
the,0.42745697498321533,0.3906462490558624,1.0,0.2958983778953552,0.2583298683166504,0.22297759354114532,0.4739971458911896,1.0,0.27277594804763794,0.22068053483963013
agreements,0.25903576612472534,0.2576241195201874,0.2562585771083832,0.17636293172836304,0.18629179894924164,0.2879205644130707,0.22550585865974426,0.2562585771083832,0.23530606925487518,0.14476320147514343
include,0.1535889357328415,0.3062470853328705,0.2951717972755432,0.15588237345218658,0.10634731501340866,0.10993440449237823,0.39020416140556335,0.2951717972755432,0.11587710678577423,0.14925788342952728
fixed,0.255135715007782,0.1361023187637329,0.27127328515052795,0.1389504075050354,0.24394768476486206,0.21562334895133972,0.19920459389686584,0.27127328515052795,0.15083743631839752,0.2728462815284729
annual,0.14798973500728607,0.09002965688705444,0.2958983778953552,1.0000001192092896,0.13232651352882385,0.26903289556503296,0.28860941529273987,0.2958983778953552,0.0967954695224762,0.1083487942814827
carriage,0.11489621549844742,0.23199063539505005,0.2583298683166504,0.13232651352882385,1.0,0.20288072526454926,0.23697735369205475,0.2583298683166504,0.11204196512699127,0.08573433756828308
fees,0.19752082228660583,0.2748603820800781,0.22297759354114532,0.26903289556503296,0.20288072526454926,1.0000001192092896,0.2745085060596466,0.22297759354114532,0.25717583298683167,0.18385712802410126
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.29535046219825745,0.20538465678691864,0.15170428156852722,0.4185989499092102,0.733189046382904,0.17560617625713348,0.1826142966747284
£30m,0.01769770123064518,-0.24980679154396057,-0.24135781824588776,-0.066965252161026,-0.30803680419921875,-0.09528908878564835,-0.0734427347779274,-0.24135781824588776,-0.13988177478313446,0.07726795226335526
for,0.3017193675041199,0.33592689037323,0.4739971458911896,0.28860941529273987,0.23697735369205475,0.2745085060596466,0.9999999403953552,0.4739971458911896,0.23651212453842163,0.264628142118454
the,0.42745697498321533,0.3906462490558624,1.0,0.2958983778953552,0.2583298683166504,0.22297759354114532,0.4739971458911896,1.0,0.27277594804763794,0.22068053483963013
channels,0.1923084557056427,0.1514015644788742,0.27277594804763794,0.0967954695224762,0.11204196512699127,0.25717583298683167,0.23651212453842163,0.27277594804763794,1.0,0.19657258689403534
with,0.2464839518070221,0.3179011940956116,0.4223487675189972,0.21164703369140625,0.24790526926517487,0.17579711973667145,0.39140474796295166,0.4223487675189972,0.1873491257429123,0.2433311939239502
both,0.3361809551715851,0.4254525601863861,0.4931981563568115,0.13055963814258575,0.19039008021354675,0.21813616156578064,0.3887220323085785,0.4931981563568115,0.22379502654075623,0.19455738365650177
channel,0.20295917987823486,0.11752215772867203,0.2860044836997986,0.1413518637418747,0.08686937391757965,0.16908985376358032,0.1936226189136505,0.2860044836997986,0.8352546095848083,0.20176179707050323
suppliers,0.16309380531311035,0.26699161529541016,0.2672346234321594,0.1847461611032486,0.2595385015010834,0.4293725788593292,0.274308979511261,0.2672346234321594,0.28132086992263794,0.06783156096935272
able,0.3404487371444702,0.2341073453426361,0.3435857892036438,0.15970349311828613,0.1296871453523636,0.2535030245780945,0.2947812080383301,0.3435857892036438,0.19649876654148102,0.260649710893631
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.2023409903049469,0.19466331601142883,0.27193203568458557,0.4451248347759247,0.535392165184021,0.21767447888851166,0.29463258385658264
secure,0.14779600501060486,0.1787322461605072,0.2569228410720825,0.08649494498968124,0.13315220177173615,0.2555094063282013,0.28824377059936523,0.2569228410720825,0.2173464298248291,0.1604752093553543
additional,0.20172064006328583,0.1950184553861618,0.2539002597332001,0.1702718883752823,0.16836102306842804,0.22055314481258392,0.3404708206653595,0.2539002597332001,0.16467970609664917,0.24309562146663666
capped,0.13306835293769836,0.16872774064540863,0.2897518575191498,0.17092156410217285,0.09436140209436417,0.15228234231472015,0.20255577564239502,0.2897518575191498,0.10068673640489578,0.09715817123651505
payments,0.23578545451164246,0.2563116252422333,0.24524469673633575,0.2912173271179199,0.2543887197971344,0.5720275640487671,0.2950579822063446,0.24524469673633575,0.24864822626113892,0.1551275998353958
if,0.5277165174484253,0.1688997447490692,0.33724796772003174,0.14680901169776917,0.18551763892173767,0.22749817371368408,0.3609124422073364,0.33724796772003174,0.2322022169828415,0.4441644251346588
their,0.35142919421195984,0.43277356028556824,0.516537070274353,0.19632704555988312,0.1984826624393463,0.32569703459739685,0.3406745493412018,0.516537070274353,0.26712271571159363,0.1898253709077835
channels,0.1923084557056427,0.1514015644788742,0.27277594804763794,0.0967954695224762,0.11204196512699127,0.25717583298683167,0.23651212453842163,0.27277594804763794,1.0,0.19657258689403534
meet,0.2533189356327057,0.2156168669462204,0.312436044216156,0.12751419842243195,0.17195574939250946,0.16882339119911194,0.25528255105018616,0.312436044216156,0.11952836066484451,0.1658235788345337
certain,0.4561643898487091,0.2825849652290344,0.392071396112442,0.15378667414188385,0.20641537010669708,0.2883390486240387,0.3654305636882782,0.392071396112442,0.22276213765144348,0.2516106069087982
performance-related,0.25633758306503296,0.28860992193222046,0.3520132899284363,0.3254750370979309,0.2476465255022049,0.26076120138168335,0.39205408096313477,0.3520132899284363,0.17905470728874207,0.22371412813663483
targets,0.1900707483291626,0.27904701232910156,0.297563761472702,0.01529258769005537,0.1514013707637787,0.1433536261320114,0.2587404251098633,0.297563761472702,0.20584788918495178,0.17795707285404205
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.17968490719795227,0.21120227873325348,0.202260822057724,0.4726039469242096,0.5934505462646484,0.24374878406524658,0.4130953550338745
