,in,what,year,did,fresno,experience,the,most,rainfall,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.22571885585784912,0.21682339906692505,1.0,0.47635307908058167,0.24584579467773438,0.22068053483963013
most,0.41416558623313904,0.3219912350177765,0.26422736048698425,0.2822507321834564,0.1402399241924286,0.23917551338672638,0.47635307908058167,1.0,0.22586441040039062,0.2107497900724411
rainfall,0.24792563915252686,0.1762358695268631,0.27335894107818604,0.11819510161876678,0.23467150330543518,0.18947291374206543,0.24584579467773438,0.22586441040039062,1.0,0.17489276826381683
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.26126348972320557,0.19806437194347382,0.6662389636039734,0.41416558623313904,0.24792563915252686,0.20430970191955566
one,0.4129433035850525,0.376489520072937,0.346388578414917,0.27659472823143005,0.1632690131664276,0.2791469693183899,0.5514441132545471,0.5404669642448425,0.2157595008611679,0.2673267424106598
month,0.2385365217924118,0.21444633603096008,0.5266385674476624,0.19685830175876617,0.1720394492149353,0.23481915891170502,0.2821349799633026,0.2303512543439865,0.32587921619415283,0.23961511254310608
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.2749030292034149,0.17093802988529205,0.48711544275283813,0.29933857917785645,0.202146515250206,0.18412111699581146
9.54,-0.0337151400744915,0.13633514940738678,0.07004150748252869,0.07694634795188904,0.027948047965765,0.17467278242111206,-0.04970436915755272,0.023047547787427902,-0.026456402614712715,0.15821363031864166
inches,0.21515873074531555,0.18465489149093628,0.21933002769947052,0.11995062977075577,0.25258195400238037,0.1461670696735382,0.23460479080677032,0.1880532205104828,0.44736942648887634,0.17945347726345062
(,0.3087427020072937,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.188642680644989,0.1832369565963745,0.33289089798927307,0.20654040575027466,0.19782719016075134,0.40561532974243164
242.3,0.12743929028511047,0.1528647094964981,0.1496397703886032,0.15816491842269897,0.15629766881465912,0.14453110098838806,0.1563994586467743,0.07777944207191467,0.17732550203800201,0.0945827066898346
mm,0.14156535267829895,0.16184760630130768,0.20145492255687714,0.1144808754324913,0.17864727973937988,0.1139085441827774,0.20466946065425873,0.21831007301807404,0.4247162640094757,0.16094553470611572
