,what,type,of,ballot,is,used,to,elect,the,presiding,officer,and,deputies,of,the,parliament,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26649942994117737,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2026924341917038,1.0,0.3267684876918793,0.25777485966682434,0.5171257257461548,0.2915080487728119,0.733189046382904,1.0,0.26521381735801697,0.22068053483963013
presiding,0.21225658059120178,0.05674973130226135,0.3004159927368164,0.3729672133922577,0.2072397768497467,0.12756584584712982,0.2064446657896042,0.47280848026275635,0.3267684876918793,1.0000001192092896,0.33943602442741394,0.2103288769721985,0.5164067149162292,0.3004159927368164,0.3267684876918793,0.3959604501724243,0.177648663520813
officer,0.18551595509052277,0.09075070917606354,0.23883900046348572,0.1607280671596527,0.19916827976703644,0.14392927289009094,0.2198503315448761,0.21433351933956146,0.25777485966682434,0.33943602442741394,0.9999998807907104,0.22929392755031586,0.36285513639450073,0.23883900046348572,0.25777485966682434,0.2183782458305359,0.119948610663414
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.1520349234342575,0.3859752118587494,0.3150506615638733,0.48971283435821533,0.1942741870880127,0.5171257257461548,0.2103288769721985,0.22929392755031586,1.0,0.24091355502605438,0.5116966962814331,0.5171257257461548,0.26227831840515137,0.20544172823429108
deputies,0.16733044385910034,0.11525296419858932,0.29084333777427673,0.4210745096206665,0.17188584804534912,0.1343851387500763,0.22492347657680511,0.47118285298347473,0.2915080487728119,0.5164067149162292,0.36285513639450073,0.24091355502605438,1.0,0.29084333777427673,0.2915080487728119,0.49610963463783264,0.0984673723578453
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.17556770145893097,0.5330929756164551,0.3322218656539917,0.3504326641559601,0.15323099493980408,0.40399202704429626,0.11356163769960403,0.05922366678714752,0.48576638102531433,0.17935679852962494,0.39081433415412903,0.40399202704429626,0.09480422735214233,0.24591213464736938
elected,0.16005432605743408,0.022611333057284355,0.2767166793346405,0.4547521471977234,0.1221529170870781,0.14613787829875946,0.21424545347690582,0.7676931023597717,0.23167964816093445,0.5560697913169861,0.27544930577278137,0.19514460861682892,0.527967095375061,0.2767166793346405,0.23167964816093445,0.5323356986045837,0.1966295689344406
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.17397178709506989,0.3899846076965332,0.27705541253089905,0.33534231781959534,0.15448330342769623,0.4408751428127289,0.2119493931531906,0.2153020203113556,0.4289871156215668,0.1584382951259613,0.3646814823150635,0.4408751428127289,0.1523929238319397,0.17966607213020325
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2627260982990265,0.658733606338501,0.3864384889602661,0.45503583550453186,0.1578352153301239,0.5829201340675354,0.18864497542381287,0.241327702999115,0.3739250600337982,0.20444130897521973,0.5052502155303955,0.5829201340675354,0.22951169312000275,0.23916715383529663
secret,0.2518046498298645,0.12382116913795471,0.17003418505191803,0.2777616083621979,0.17441964149475098,0.1829473227262497,0.20223848521709442,0.12148908525705338,0.23541073501110077,0.19506138563156128,0.2685735523700714,0.20960891246795654,0.2632026970386505,0.17003418505191803,0.23541073501110077,0.20931948721408844,0.16440534591674805
ballot,0.14773842692375183,0.062339428812265396,0.21522194147109985,1.0000001192092896,0.1836814135313034,0.17925798892974854,0.2527129054069519,0.4306350350379944,0.26649942994117737,0.3729672133922577,0.1607280671596527,0.1520349234342575,0.4210745096206665,0.21522194147109985,0.26649942994117737,0.4248781204223633,0.19360579550266266
of,0.33290785551071167,0.18112817406654358,1.0,0.21522194147109985,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.23115672171115875,0.733189046382904,0.3004159927368164,0.23883900046348572,0.5116966962814331,0.29084333777427673,1.0,0.733189046382904,0.2885259687900543,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26649942994117737,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2026924341917038,1.0,0.3267684876918793,0.25777485966682434,0.5171257257461548,0.2915080487728119,0.733189046382904,1.0,0.26521381735801697,0.22068053483963013
129,0.16580821573734283,0.19475889205932617,0.05058608949184418,0.13758757710456848,0.10793724656105042,0.11566272377967834,0.16276976466178894,0.06041413173079491,0.13178378343582153,0.03224939480423927,0.05652245879173279,0.12821637094020844,0.018782010301947594,0.05058608949184418,0.13178378343582153,0.053814344108104706,0.16383802890777588
msps,0.1885128617286682,0.1730460673570633,0.32335641980171204,0.35846149921417236,0.24139109253883362,0.2659340798854828,0.23906059563159943,0.41583216190338135,0.3199247419834137,0.3441396653652191,0.23027870059013367,0.2830604016780853,0.4636676013469696,0.32335641980171204,0.3199247419834137,0.5331769585609436,0.14526908099651337
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.17704415321350098,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.21823973953723907,0.4933079481124878,0.2921140789985657,0.2703348398208618,0.6633074283599854,0.2149890512228012,0.4946078956127167,0.4933079481124878,0.25442883372306824,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.19464915990829468,0.4457404911518097,0.414506196975708,0.5345056653022766,0.11631795018911362,0.6521818041801453,0.17698591947555542,0.11291004717350006,0.506277859210968,0.1739162802696228,0.5011631846427917,0.6521818041801453,0.20252443850040436,0.25814583897590637
