,where,did,tetzel,overstate,his,teachings,?
yet,0.33674320578575134,0.34866881370544434,0.15645089745521545,0.2460116744041443,0.25796541571617126,0.24312610924243927,0.4011770784854889
if,0.46109890937805176,0.3197491765022278,0.170811727643013,0.2604565918445587,0.19270896911621094,0.16845659911632538,0.4441644251346588
tetzel,0.12163953483104706,0.11791906505823135,0.9999999403953552,0.16548146307468414,0.17810730636119843,0.1527920961380005,0.1545286476612091
overstated,0.21185269951820374,0.2829032242298126,0.11933454126119614,0.8894440531730652,0.222890704870224,0.3049360513687134,0.2745743989944458
the,0.5003893971443176,0.34736719727516174,0.26067298650741577,0.22585755586624146,0.4394008219242096,0.2114255279302597,0.22068053483963013
matter,0.32366248965263367,0.2127678096294403,0.14108295738697052,0.23293711245059967,0.20918509364128113,0.21778054535388947,0.269619345664978
in,0.5344807505607605,0.2593238651752472,0.26100096106529236,0.22760646045207977,0.3598145842552185,0.19091618061065674,0.20430970191955566
regard,0.24803993105888367,0.24471335113048553,0.08248209208250046,0.24317039549350739,0.2238343060016632,0.37379953265190125,0.25592759251594543
to,0.47735077142715454,0.4452643394470215,0.17206594347953796,0.2821437120437622,0.3715193271636963,0.24466444551944733,0.29463258385658264
indulgences,0.16468416154384613,0.2802750766277313,0.13006402552127838,0.27586907148361206,0.31932055950164795,0.567501425743103,0.21964608132839203
for,0.38599511981010437,0.318512886762619,0.17281296849250793,0.22879739105701447,0.39312878251075745,0.19702056050300598,0.264628142118454
the,0.5003893971443176,0.34736719727516174,0.26067298650741577,0.22585755586624146,0.4394008219242096,0.2114255279302597,0.22068053483963013
dead,0.21805375814437866,0.16672420501708984,0.16435466706752777,0.15305790305137634,0.21998988091945648,0.18053171038627625,0.1856520175933838
",",0.3149496018886566,0.3015086054801941,0.33824118971824646,0.21484412252902985,0.3378419280052185,0.2321072518825531,0.31091248989105225
his,0.29880598187446594,0.3546801507472992,0.17810730636119843,0.17735655605793,0.9999998807907104,0.3083688020706177,0.18075084686279297
teaching,0.24929308891296387,0.27443423867225647,0.12118932604789734,0.2471415102481842,0.3326769769191742,0.8027529716491699,0.20424684882164001
on,0.37630224227905273,0.2670976221561432,0.17138589918613434,0.22348850965499878,0.32064297795295715,0.18305721879005432,0.2714994251728058
indulgences,0.16468416154384613,0.2802750766277313,0.13006402552127838,0.27586907148361206,0.31932055950164795,0.567501425743103,0.21964608132839203
for,0.38599511981010437,0.318512886762619,0.17281296849250793,0.22879739105701447,0.39312878251075745,0.19702056050300598,0.264628142118454
the,0.5003893971443176,0.34736719727516174,0.26067298650741577,0.22585755586624146,0.4394008219242096,0.2114255279302597,0.22068053483963013
living,0.21030797064304352,0.16898059844970703,0.14605486392974854,0.11885729432106018,0.1494385153055191,0.2188965380191803,0.18362653255462646
was,0.20731619000434875,0.41399896144866943,0.19295687973499298,0.1901618242263794,0.4405253231525421,0.21945126354694366,0.18412111699581146
in,0.5344807505607605,0.2593238651752472,0.26100096106529236,0.22760646045207977,0.3598145842552185,0.19091618061065674,0.20430970191955566
line,0.22999835014343262,0.14681050181388855,0.14124983549118042,0.18474923074245453,0.18334023654460907,0.09352407604455948,0.16271452605724335
with,0.4142743945121765,0.25472134351730347,0.2576636075973511,0.21391627192497253,0.33836179971694946,0.1297142654657364,0.2433311939239502
catholic,0.19908323884010315,0.16203826665878296,0.10351230204105377,0.22335395216941833,0.2545863091945648,0.41474512219429016,0.16609853506088257
dogma,0.13809184730052948,0.22684530913829803,0.15788763761520386,0.23813799023628235,0.14196018874645233,0.5013454556465149,0.23983553051948547
of,0.38066378235816956,0.2513895630836487,0.21687351167201996,0.2382609099149704,0.38364991545677185,0.27638328075408936,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,0.26067298650741577,0.22585755586624146,0.4394008219242096,0.2114255279302597,0.22068053483963013
time,0.3538551926612854,0.3567926585674286,0.146511048078537,0.23125366866588593,0.3553589880466461,0.23544512689113617,0.27391523122787476
.,0.41390106081962585,0.35288307070732117,0.30589956045150757,0.2619739770889282,0.3119256794452667,0.23139940202236176,0.4130953550338745
