,who,was,the,2015,nfl,mvp,?
the,0.3733934462070465,0.48711544275283813,1.0,0.1466771513223648,0.15305201709270477,0.19830666482448578,0.22068053483963013
panthers,0.2132880985736847,0.2605615258216858,0.2602776288986206,0.03439202532172203,0.4153780937194824,0.3432699143886566,0.16608978807926178
finished,0.18257364630699158,0.3428505063056946,0.2754973769187927,0.08713356405496597,0.21366624534130096,0.20050527155399323,0.14789283275604248
the,0.3733934462070465,0.48711544275283813,1.0,0.1466771513223648,0.15305201709270477,0.19830666482448578,0.22068053483963013
regular,0.2929244339466095,0.15137939155101776,0.3214086890220642,-0.06340658664703369,0.2313152551651001,0.2079116255044937,0.18334713578224182
season,0.13809308409690857,0.24797968566417694,0.2507155239582062,-0.03830436244606972,0.3929455280303955,0.3380318582057953,0.16793298721313477
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,-0.05818283185362816,0.18521657586097717,0.18284384906291962,0.2433311939239502
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,-0.008371892385184765,0.1210956797003746,0.14026007056236267,0.23916715383529663
15–1,-0.1907285451889038,-0.1326320916414261,-0.2592649459838867,0.30576688051223755,0.03573276102542877,0.039528921246528625,0.04290514066815376
record,0.24139603972434998,0.2787264287471771,0.23569516837596893,0.022880665957927704,0.26143500208854675,0.22171607613563538,0.14407116174697876
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.06568983197212219,0.18939071893692017,0.2245774120092392,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.015077123418450356,0.2080700695514679,0.16702094674110413,0.20544172823429108
quarterback,0.17410103976726532,0.24103644490242004,0.23757418990135193,-0.07722106575965881,0.6395521759986877,0.49506956338882446,0.13221268355846405
cam,0.1493443101644516,0.17764709889888763,0.18275147676467896,-0.0011327267857268453,0.24685850739479065,0.16462908685207367,0.1622646003961563
newton,0.19243690371513367,0.25264593958854675,0.1876603662967682,0.04000600054860115,0.2505591809749603,0.17803668975830078,0.09645649790763855
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.14799827337265015,0.20145657658576965,0.23143374919891357,0.18412111699581146
named,0.38541290163993835,0.37528327107429504,0.3521348536014557,0.11808761954307556,0.18834304809570312,0.25624191761016846,0.1297498345375061
the,0.3733934462070465,0.48711544275283813,1.0,0.1466771513223648,0.15305201709270477,0.19830666482448578,0.22068053483963013
nfl,0.13425186276435852,0.20145657658576965,0.15305201709270477,-0.006650217808783054,1.0,0.5062549114227295,0.10610254108905792
most,0.35393568873405457,0.29933857917785645,0.47635307908058167,-0.025039251893758774,0.15981778502464294,0.21474431455135345,0.2107497900724411
valuable,0.27010053396224976,0.19555546343326569,0.2574840486049652,-0.039890486747026443,0.23144958913326263,0.43153342604637146,0.20664997398853302
player,0.21536648273468018,0.1967325210571289,0.19900773465633392,-0.08832229673862457,0.3402427136898041,0.37888097763061523,0.18988972902297974
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.14610634744167328,0.18641139566898346,0.24375715851783752,0.40561532974243164
mvp,0.15547040104866028,0.23143374919891357,0.19830666482448578,0.09530486911535263,0.5062549114227295,0.9999998807907104,0.19954749941825867
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.1380191147327423,0.17973150312900543,0.23705145716667175,0.42300865054130554
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.06607602536678314,0.1964210718870163,0.19778521358966827,0.4130953550338745
