,what,was,the,name,of,the,telegraph,company,tesla,returned,to,after,it,became,functional,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.20878101885318756,0.22141718864440918,0.17097744345664978,0.341925710439682,0.45010748505592346,0.44050168991088867,0.5130809545516968,0.31047213077545166,0.23650877177715302,0.20430970191955566
1881,-0.1440832018852234,-0.18111839890480042,-0.08058736473321915,0.013664850033819675,-0.08159204572439194,-0.08058736473321915,-0.07605547457933426,-0.1369672417640686,-0.06342737376689911,-0.20580227673053741,-0.16058410704135895,-0.19251832365989685,-0.039237070828676224,-0.13707269728183746,0.026143841445446014,-0.059600044041872025
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2253839671611786,0.2697763442993164,0.20599327981472015,0.24382898211479187,0.44245919585227966,0.38860568404197693,0.48329564929008484,0.2798398435115814,0.21087999641895294,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.15570181608200073,0.18837453424930573,0.1324402391910553,0.24232685565948486,0.23045730590820312,0.9999999403953552,0.0423017218708992,0.17548894882202148,0.0752151682972908,0.17596082389354706,0.12976884841918945,0.18012508749961853,0.10250775516033173
moved,0.20601840317249298,0.3804442584514618,0.32031023502349854,0.20794890820980072,0.22242598235607147,0.32031023502349854,0.2051381766796112,0.19519402086734772,0.09426514059305191,0.4441734254360199,0.2918468713760376,0.2986968755722046,0.24192827939987183,0.3799392879009247,0.07102806866168976,0.15112607181072235
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.1843106746673584,0.24903783202171326,0.17548894882202148,0.30012887716293335,1.0,0.37890323996543884,0.513711154460907,0.20401327311992645,0.26744192838668823,0.29463258385658264
budapest,0.11760804802179337,0.2643853425979614,0.14167028665542603,0.08936411887407303,0.16967304050922394,0.14167028665542603,0.24869981408119202,0.17951595783233643,0.30872756242752075,0.25514858961105347,0.16071493923664093,0.1909341663122177,0.12257883697748184,0.2782089412212372,0.1359698623418808,0.13112305104732513
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.1843106746673584,0.24903783202171326,0.17548894882202148,0.30012887716293335,1.0,0.37890323996543884,0.513711154460907,0.20401327311992645,0.26744192838668823,0.29463258385658264
work,0.3762225806713104,0.24745555222034454,0.2704800069332123,0.15755409002304077,0.23473061621189117,0.2704800069332123,0.2329426109790802,0.20499949157238007,0.2545209228992462,0.1858239471912384,0.3482864499092102,0.13635344803333282,0.28838732838630676,0.18583887815475464,0.21052555739879608,0.2621155381202698
under,0.20154598355293274,0.2672741413116455,0.3348022699356079,0.28553691506385803,0.32766106724739075,0.3348022699356079,0.10769475996494293,0.23108509182929993,0.122123122215271,0.2098521888256073,0.27177539467811584,0.2883138358592987,0.21007636189460754,0.1904614120721817,0.09591983258724213,0.18233340978622437
