,what,was,the,significance,of,victory,at,forth,niagara,for,british,?
british,0.19255435466766357,0.31934812664985657,0.28973397612571716,0.10028036683797836,0.23701532185077667,0.19553309679031372,0.21751968562602997,0.1814793348312378,0.19796331226825714,0.1970057189464569,1.0,0.09711728990077972
victories,0.10316187888383865,0.2978966236114502,0.2910241186618805,0.182122141122818,0.26081326603889465,0.7137174606323242,0.18008430302143097,0.1492891162633896,0.19110339879989624,0.23359888792037964,0.2600121796131134,0.0986572653055191
continued,0.17878234386444092,0.40578481554985046,0.29953038692474365,0.15108497440814972,0.2527073323726654,0.14738838374614716,0.19285109639167786,0.1866874247789383,0.1883760541677475,0.2205924689769745,0.2588115930557251,0.10404038429260254
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3055461347103119,0.5696388483047485,0.21562302112579346,0.4374977946281433,0.23191729187965393,0.1875237375497818,0.4322226941585541,0.23084034025669098,0.20430970191955566
all,0.41981086134910583,0.23179835081100464,0.4860881567001343,0.27705854177474976,0.42798417806625366,0.20887023210525513,0.3001944422721863,0.22985553741455078,0.15979667007923126,0.41144001483917236,0.13322892785072327,0.29575422406196594
theaters,0.1360531598329544,0.33365586400032043,0.2679557502269745,0.2042773813009262,0.1531417965888977,0.17866545915603638,0.24652554094791412,0.1132824569940567,0.20836330950260162,0.23375877737998962,0.16936719417572021,0.17258712649345398
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3055461347103119,0.5696388483047485,0.21562302112579346,0.4374977946281433,0.23191729187965393,0.1875237375497818,0.4322226941585541,0.23084034025669098,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.2795662581920624,0.457212895154953,0.33635199069976807,0.27139943838119507,0.4739971458911896,0.28973397612571716,0.22068053483963013
annus,0.11467386782169342,0.18376195430755615,0.23209668695926666,0.22679375112056732,0.23677052557468414,0.24070319533348083,0.20281949639320374,0.13683441281318665,0.1844034343957901,0.09809933602809906,0.1451055109500885,0.16438786685466766
mirabilis,0.2029820829629898,0.10912996530532837,0.21842004358768463,0.2811957597732544,0.20900137722492218,0.12348756194114685,0.11637390404939651,0.13283033668994904,0.13853244483470917,0.1344919055700302,0.030206942930817604,0.09633734077215195
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2854430079460144,1.0,0.21037539839744568,0.42558613419532776,0.2488054633140564,0.17922548949718475,0.4185989499092102,0.23701532185077667,0.1826142966747284
1759,0.10315211117267609,0.14427067339420319,0.15739603340625763,0.10692879557609558,0.1337202936410904,0.03957068547606468,0.1768052726984024,0.006341402418911457,0.09159527719020844,0.0980231836438179,-0.013422795571386814,0.13987982273101807
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29854074120521545,0.4946078956127167,0.22238308191299438,0.38314947485923767,0.2550027668476105,0.2475837916135788,0.4464869201183319,0.25734075903892517,0.31091248989105225
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.176752969622612,0.3757161796092987,0.14491812884807587,0.38876327872276306,0.28419673442840576,0.19340918958187103,0.43402108550071716,0.1642608791589737,0.22841128706932068
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.21060626208782196,0.3426007330417633,0.15113772451877594,0.29493749141693115,0.2352278083562851,0.13134905695915222,0.3466525673866272,0.22308164834976196,0.2753053903579712
finally,0.33623361587524414,0.3442646861076355,0.4516841769218445,0.14820705354213715,0.2709518074989319,0.2411518096923828,0.2990627884864807,0.25102320313453674,0.24430620670318604,0.276338666677475,0.17787772417068481,0.16868984699249268
captured,0.1119019091129303,0.31488236784935,0.2944179177284241,0.06251593679189682,0.2722737491130829,0.28864455223083496,0.22662876546382904,0.2161628007888794,0.14440105855464935,0.13360175490379333,0.20852810144424438,0.11851847916841507
ticonderoga,0.24247917532920837,0.34823623299598694,0.3438922166824341,0.1313575804233551,0.3081483542919159,0.31205275654792786,0.29395803809165955,0.2663261592388153,0.39561301469802856,0.23260320723056793,0.28577131032943726,0.1987834870815277
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29854074120521545,0.4946078956127167,0.22238308191299438,0.38314947485923767,0.2550027668476105,0.2475837916135788,0.4464869201183319,0.25734075903892517,0.31091248989105225
james,0.20536290109157562,0.2958067059516907,0.22481533885002136,0.07079637795686722,0.18323110044002533,0.16778779029846191,0.1717686504125595,0.15908211469650269,0.20910196006298065,0.2054290771484375,0.2310495674610138,0.12139993160963058
wolfe,0.18328560888767242,0.24811868369579315,0.27671679854393005,0.1541600078344345,0.23535871505737305,0.19568385183811188,0.16595745086669922,0.20986159145832062,0.3087686002254486,0.1639544516801834,0.27905404567718506,0.15971215069293976
defeated,0.13652801513671875,0.30834874510765076,0.2833898365497589,0.09899251908063889,0.21236225962638855,0.5001495480537415,0.21071182191371918,0.11056184023618698,0.15384605526924133,0.15790952742099762,0.21348682045936584,0.1413237303495407
montcalm,0.21009081602096558,0.26795694231987,0.30913522839546204,0.13364510238170624,0.30493322014808655,0.21570424735546112,0.31557270884513855,0.11593100428581238,0.3287590444087982,0.155609130859375,0.3591136038303375,0.23564797639846802
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.20171202719211578,0.42558613419532776,0.16412246227264404,1.0,0.11247957497835159,0.19669237732887268,0.34237727522850037,0.21751968562602997,0.21978627145290375
quebec,0.19603441655635834,0.21936345100402832,0.23410074412822723,0.08621906489133835,0.13664869964122772,0.15200865268707275,0.14861932396888733,0.1253575086593628,0.43168216943740845,0.1604333370923996,0.3132122755050659,0.11506577581167221
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20673421025276184,0.35032153129577637,0.1438320428133011,0.23315078020095825,0.17413011193275452,0.20253683626651764,0.3357032239437103,0.18040098249912262,0.40561532974243164
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3055461347103119,0.5696388483047485,0.21562302112579346,0.4374977946281433,0.23191729187965393,0.1875237375497818,0.4322226941585541,0.23084034025669098,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3014388680458069,0.5052502155303955,0.20717723667621613,0.3095070421695709,0.2263060063123703,0.24506419897079468,0.44038116931915283,0.1984395682811737,0.23916715383529663
battle,0.17112864553928375,0.23319749534130096,0.2820790410041809,0.1478002369403839,0.2291749268770218,0.4560186564922333,0.23658646643161774,0.20060928165912628,0.13587121665477753,0.1235591247677803,0.17756831645965576,0.1680624783039093
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3551758825778961,0.41498205065727234,0.19827833771705627,0.3183255195617676,0.30408188700675964,0.14027491211891174,0.4137635827064514,0.19530552625656128,0.32716336846351624
claimed,0.2667301297187805,0.32895320653915405,0.2761930227279663,0.21287661790847778,0.25888603925704956,0.21730805933475494,0.20993585884571075,0.0948643609881401,0.14389994740486145,0.2044578492641449,0.2566121518611908,0.2083493024110794
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.2795662581920624,0.457212895154953,0.33635199069976807,0.27139943838119507,0.4739971458911896,0.28973397612571716,0.22068053483963013
lives,0.19772474467754364,0.18689672648906708,0.24881523847579956,0.12092069536447525,0.28370368480682373,0.11615681648254395,0.1705792248249054,0.0925808921456337,0.09158939868211746,0.1823655217885971,0.14292918145656586,0.15810374915599823
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2854430079460144,1.0,0.21037539839744568,0.42558613419532776,0.2488054633140564,0.17922548949718475,0.4185989499092102,0.23701532185077667,0.1826142966747284
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.2680114507675171,0.3565710783004761,0.17687851190567017,0.3071100115776062,0.2548559010028839,0.22885429859161377,0.3887220323085785,0.22744378447532654,0.19455738365650177
commanders,0.24726155400276184,0.24931474030017853,0.328753799200058,0.15149076282978058,0.27867940068244934,0.3340495824813843,0.20665457844734192,0.19068990647792816,0.15670984983444214,0.1884763538837433,0.2887672781944275,0.17396561801433563
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.21832841634750366,0.3680361211299896,0.16680413484573364,0.23338089883327484,0.1736811250448227,0.21070833504199982,0.3639558255672455,0.19181592762470245,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29854074120521545,0.4946078956127167,0.22238308191299438,0.38314947485923767,0.2550027668476105,0.2475837916135788,0.4464869201183319,0.25734075903892517,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2731668949127197,0.5116966962814331,0.14554795622825623,0.3571503460407257,0.3152049779891968,0.24463236331939697,0.5064792633056641,0.325880765914917,0.20544172823429108
victory,0.12667348980903625,0.28069007396698,0.2795662581920624,0.23811234533786774,0.21037539839744568,1.0000001192092896,0.16412246227264404,0.2178175002336502,0.1423354148864746,0.2551555335521698,0.19553309679031372,0.15412560105323792
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.20171202719211578,0.42558613419532776,0.16412246227264404,1.0,0.11247957497835159,0.19669237732887268,0.34237727522850037,0.21751968562602997,0.21978627145290375
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.10928183794021606,0.18979716300964355,0.21708805859088898,0.3015354871749878,0.31458914279937744,0.31327155232429504,0.17886725068092346,0.2695907950401306,0.15686731040477753
niagara,0.15394002199172974,0.1924375295639038,0.27139943838119507,0.18260984122753143,0.17922548949718475,0.1423354148864746,0.19669237732887268,0.22890575230121613,1.0,0.18891994655132294,0.19796331226825714,0.1411852240562439
successfully,0.20084762573242188,0.2890758812427521,0.32525569200515747,0.14531581103801727,0.19373616576194763,0.27773207426071167,0.2740359604358673,0.19658291339874268,0.2534872591495514,0.2824302017688751,0.26531654596328735,0.0971045047044754
cut,0.20727719366550446,0.21575933694839478,0.29221418499946594,0.13898874819278717,0.26061776280403137,0.1725759655237198,0.1915629804134369,0.1957298070192337,0.1739092767238617,0.2519003450870514,0.15200164914131165,0.1403924524784088
off,0.2350364625453949,0.15734454989433289,0.2773582935333252,0.10153215378522873,0.20023372769355774,0.2028544694185257,0.25239914655685425,0.2432384490966797,0.21947433054447174,0.20644043385982513,0.19461147487163544,0.12937544286251068
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.2795662581920624,0.457212895154953,0.33635199069976807,0.27139943838119507,0.4739971458911896,0.28973397612571716,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.11388561874628067,0.19450366497039795,0.18492503464221954,0.17825756967067719,0.12160996347665787,0.16974124312400818,0.17280760407447815,0.43574923276901245,0.1386883556842804
frontier,0.23734928667545319,0.2656724452972412,0.303574800491333,0.18551141023635864,0.285473495721817,0.17916373908519745,0.14477041363716125,0.22927285730838776,0.3499881625175476,0.19194230437278748,0.2288258820772171,0.13416144251823425
forts,0.15526413917541504,0.28466612100601196,0.3212522864341736,0.17542360723018646,0.2935639023780823,0.31349116563796997,0.21890518069267273,0.38493236899375916,0.18263910710811615,0.24273785948753357,0.2441324144601822,0.10221049934625626
further,0.30867868661880493,0.16107149422168732,0.32531118392944336,0.28392571210861206,0.24797867238521576,0.10042467713356018,0.21268320083618164,0.2651076912879944,0.12141737341880798,0.26543480157852173,0.13189977407455444,0.20960763096809387
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23618555068969727,0.41548454761505127,0.17833203077316284,0.36524343490600586,0.3385196924209595,0.25441214442253113,0.4451248347759247,0.22690963745117188,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.2795662581920624,0.457212895154953,0.33635199069976807,0.27139943838119507,0.4739971458911896,0.28973397612571716,0.22068053483963013
west,0.1946573108434677,0.25970903038978577,0.32918402552604675,0.164536714553833,0.2891985774040222,0.2557208836078644,0.24495752155780792,0.1958194077014923,0.27668800950050354,0.17698325216770172,0.23949159681797028,0.12088293582201004
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2731668949127197,0.5116966962814331,0.14554795622825623,0.3571503460407257,0.3152049779891968,0.24463236331939697,0.5064792633056641,0.325880765914917,0.20544172823429108
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.1365029513835907,0.33382371068000793,0.20342443883419037,0.21806499361991882,0.23223711550235748,0.24977204203605652,0.17502866685390472,0.26024845242500305,0.12336621433496475
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2564675509929657,0.5352458953857422,0.18324626982212067,0.4549728035926819,0.22813630104064941,0.2538547217845917,0.4726039469242096,0.23159366846084595,0.4130953550338745
