,what,difficulties,was,shirly,having,?
shirley,0.1336555927991867,0.12518179416656494,0.23580606281757355,0.7174988389015198,0.1058015376329422,0.127523273229599
's,0.02692362666130066,0.05905362218618393,0.008974763564765453,-0.06465412676334381,-0.0629785805940628,-0.023395681753754616
efforts,0.20077113807201385,0.4713689088821411,0.2586594820022583,0.19730424880981445,0.27547672390937805,0.16157089173793793
to,0.455847829580307,0.35752931237220764,0.3636345863342285,0.23226605355739594,0.3992697596549988,0.29463258385658264
fortify,0.20365948975086212,0.1592753529548645,0.19261835515499115,0.25305289030075073,0.1736806184053421,0.119576595723629
oswego,0.3111971914768219,0.23381227254867554,0.3878289461135864,0.33049875497817993,0.2640690207481384,0.2019198089838028
were,0.22298263013362885,0.23891592025756836,0.590133786201477,0.25362005829811096,0.30324774980545044,0.17890112102031708
bogged,0.38443678617477417,0.32875996828079224,0.1956607550382614,0.22428660094738007,0.3296247124671936,0.3146209716796875
down,0.26226112246513367,0.16757608950138092,0.19277216494083405,0.16394393146038055,0.22773459553718567,0.13836295902729034
in,0.30808621644973755,0.23958618938922882,0.45514053106307983,0.2702786922454834,0.32022708654403687,0.20430970191955566
logistical,0.3375852704048157,0.3792339265346527,0.22542667388916016,0.15313242375850677,0.20721128582954407,0.1743643581867218
difficulties,0.3034270107746124,1.0,0.20965798199176788,0.18318139016628265,0.38883259892463684,0.16303583979606628
",",0.3087472915649414,0.2599669396877289,0.45456063747406006,0.23891794681549072,0.3154076039791107,0.31091248989105225
exacerbated,0.3318309783935547,0.42008471488952637,0.25832200050354004,0.3373972177505493,0.4183197617530823,0.23153939843177795
by,0.2455483376979828,0.23490765690803528,0.4752357602119446,0.2499583214521408,0.26870235800743103,0.17966607213020325
shirley,0.1336555927991867,0.12518179416656494,0.23580606281757355,0.7174988389015198,0.1058015376329422,0.127523273229599
's,0.02692362666130066,0.05905362218618393,0.008974763564765453,-0.06465412676334381,-0.0629785805940628,-0.023395681753754616
inexperience,0.3975831866264343,0.401419460773468,0.14540798962116241,0.22603842616081238,0.37638533115386963,0.2714499235153198
in,0.30808621644973755,0.23958618938922882,0.45514053106307983,0.2702786922454834,0.32022708654403687,0.20430970191955566
managing,0.19321861863136292,0.3363981544971466,0.22950881719589233,0.14641514420509338,0.27552294731140137,0.09971600025892258
large,0.2017821967601776,0.33272573351860046,0.21717436611652374,0.1950143724679947,0.23889116942882538,0.1355665624141693
expeditions,0.19820474088191986,0.3544182777404785,0.20018219947814941,0.1758074164390564,0.20447814464569092,0.11495813727378845
.,0.3567904531955719,0.19029036164283752,0.40146201848983765,0.24105915427207947,0.3542446792125702,0.4130953550338745
