,why,is,the,seating,of,the,debating,chamber,arranged,as,it,is,?
the,0.30742117762565613,0.5823672413825989,1.0,0.31310132145881653,0.733189046382904,1.0,0.36207282543182373,0.2594704031944275,0.26620063185691833,0.48381632566452026,0.6251175999641418,0.5823672413825989,0.22068053483963013
debating,0.338060587644577,0.23703689873218536,0.36207282543182373,0.3857526183128357,0.32650312781333923,0.36207282543182373,1.0000001192092896,0.17590181529521942,0.19446763396263123,0.30156609416007996,0.31237146258354187,0.23703689873218536,0.25251495838165283
chamber,0.131671741604805,0.18098223209381104,0.2594704031944275,0.2732187807559967,0.24295011162757874,0.2594704031944275,0.17590181529521942,1.0,0.2542550265789032,0.1315823495388031,0.14519037306308746,0.18098223209381104,0.04307165369391441
of,0.28464117646217346,0.4854315221309662,0.733189046382904,0.250595360994339,1.0,0.733189046382904,0.32650312781333923,0.24295011162757874,0.33214297890663147,0.3886612355709076,0.38761502504348755,0.4854315221309662,0.1826142966747284
the,0.30742117762565613,0.5823672413825989,1.0,0.31310132145881653,0.733189046382904,1.0,0.36207282543182373,0.2594704031944275,0.26620063185691833,0.48381632566452026,0.6251175999641418,0.5823672413825989,0.22068053483963013
scottish,0.13285359740257263,0.16398480534553528,0.21724988520145416,0.22053609788417816,0.1698460429906845,0.21724988520145416,0.2291518598794937,0.07167870551347733,0.09715583175420761,0.185140922665596,0.13680848479270935,0.16398480534553528,0.06442669779062271
parliament,0.1733766794204712,0.19676777720451355,0.26521381735801697,0.32118114829063416,0.2885259687900543,0.26521381735801697,0.34986957907676697,0.3028145730495453,0.09052499383687973,0.1639251410961151,0.22944188117980957,0.19676777720451355,0.1586504578590393
has,0.24175488948822021,0.5668748617172241,0.4177538752555847,0.25725358724594116,0.3909035325050354,0.4177538752555847,0.26819610595703125,0.17131128907203674,0.1800365000963211,0.351646363735199,0.41962623596191406,0.5668748617172241,0.15994466841220856
seating,0.0979757010936737,0.2334877848625183,0.31310132145881653,1.0000001192092896,0.250595360994339,0.31310132145881653,0.3857526183128357,0.2732187807559967,0.22168879210948944,0.2278495579957962,0.2559765577316284,0.2334877848625183,0.15010488033294678
arranged,0.14075659215450287,0.1437956988811493,0.26620063185691833,0.22168879210948944,0.33214297890663147,0.26620063185691833,0.19446763396263123,0.2542550265789032,0.9999998807907104,0.1833401322364807,0.14852632582187653,0.1437956988811493,0.08499907702207565
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.26598647236824036,0.5696388483047485,0.6662389636039734,0.30045655369758606,0.18419700860977173,0.20203842222690582,0.3887844979763031,0.5130809545516968,0.5394441485404968,0.20430970191955566
a,0.2667238116264343,0.658733606338501,0.5829201340675354,0.28847742080688477,0.5052502155303955,0.5829201340675354,0.30534985661506653,0.2632589042186737,0.22070619463920593,0.39550232887268066,0.5452592968940735,0.658733606338501,0.23916715383529663
hemicycle,0.241363063454628,0.2707037329673767,0.24734671413898468,0.30159103870391846,0.2525574266910553,0.24734671413898468,0.15820783376693726,0.14019881188869476,0.15786078572273254,0.2053690403699875,0.23863033950328827,0.2707037329673767,0.15399114787578583
