,what,sort,of,design,was,this,motor,?
this,0.5489566326141357,0.3699115216732025,0.45148900151252747,0.26571303606033325,0.3638818562030792,0.9999999403953552,0.21545228362083435,0.3155723512172699
innovative,0.20474673807621002,0.20781096816062927,0.2950780689716339,0.4020383954048157,0.22998164594173431,0.28295549750328064,0.2751569151878357,0.20593076944351196
electric,0.15451551973819733,0.15065452456474304,0.17329032719135284,0.21938520669937134,0.17723047733306885,0.23794974386692047,0.3861134946346283,0.15674720704555511
motor,0.18952611088752747,0.11078080534934998,0.20839329063892365,0.3118845522403717,0.20476558804512024,0.21545228362083435,0.9999999403953552,0.0637441948056221
",",0.3087472915649414,0.21703937649726868,0.4946078956127167,0.19350415468215942,0.45456063747406006,0.4316047728061676,0.16592276096343994,0.31091248989105225
patented,0.1101711094379425,0.15954157710075378,0.140389084815979,0.37964653968811035,0.20634464919567108,0.22309868037700653,0.24448056519031525,0.08803384751081467
in,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.21856798231601715,0.45514053106307983,0.45205554366111755,0.21732762455940247,0.20430970191955566
may,0.25739946961402893,0.173985093832016,0.26447007060050964,0.15666541457176208,0.3388521671295166,0.37716761231422424,0.1848425716161728,0.2768254578113556
1888,0.15734994411468506,0.00781322456896305,0.16667240858078003,0.0887383297085762,0.1682576835155487,0.18550370633602142,0.12562808394432068,0.07625395059585571
",",0.3087472915649414,0.21703937649726868,0.4946078956127167,0.19350415468215942,0.45456063747406006,0.4316047728061676,0.16592276096343994,0.31091248989105225
was,0.22111038863658905,0.12260091304779053,0.4069072902202606,0.2780803442001343,1.0000001192092896,0.3638818562030792,0.20476558804512024,0.18412111699581146
a,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.25211480259895325,0.4508470594882965,0.5422310829162598,0.23198452591896057,0.23916715383529663
simple,0.4218197166919708,0.3572123944759369,0.23205730319023132,0.22702054679393768,0.14933012425899506,0.45032256841659546,0.21533706784248352,0.4614735543727875
self-starting,0.3427344560623169,0.3813078701496124,0.2694237530231476,0.25672903656959534,0.2967544496059418,0.4087364077568054,0.26435932517051697,0.2861192524433136
design,0.23893405497074127,0.20878295600414276,0.2522938847541809,1.0000001192092896,0.2780803442001343,0.26571303606033325,0.3118845522403717,0.16351860761642456
that,0.6297725439071655,0.3928408622741699,0.41498205065727234,0.277990460395813,0.33670201897621155,0.6909449696540833,0.22301049530506134,0.32716336846351624
did,0.4259131848812103,0.2635560631752014,0.2513895630836487,0.23409053683280945,0.41399896144866943,0.3609912693500519,0.13840025663375854,0.3023456633090973
not,0.5449194312095642,0.3335219621658325,0.3307090103626251,0.21063774824142456,0.2888734042644501,0.557635486125946,0.16915901005268097,0.41942933201789856
need,0.39420950412750244,0.3948330581188202,0.24285943806171417,0.20392830669879913,0.1745726615190506,0.4256424605846405,0.13038507103919983,0.40413710474967957
a,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.25211480259895325,0.4508470594882965,0.5422310829162598,0.23198452591896057,0.23916715383529663
commutator,0.18807698786258698,0.17772820591926575,0.1940757930278778,0.21169954538345337,0.17025943100452423,0.1742018163204193,0.31020697951316833,0.12010757625102997
",",0.3087472915649414,0.21703937649726868,0.4946078956127167,0.19350415468215942,0.45456063747406006,0.4316047728061676,0.16592276096343994,0.31091248989105225
thus,0.30745524168014526,0.28600260615348816,0.3487406373023987,0.20947813987731934,0.22773678600788116,0.4290628135204315,0.16388079524040222,0.18769288063049316
