,how,many,large,public,parks,does,fresno,have,?
fresno,0.06638962775468826,0.1503066122531891,0.1579206883907318,0.2536109983921051,0.23529544472694397,0.08895698189735413,1.0000001192092896,0.18168938159942627,0.13224096596240997
has,0.26820555329322815,0.4266262650489807,0.2609269917011261,0.20210739970207214,0.2626350224018097,0.42885294556617737,0.15822423994541168,0.6353569626808167,0.15994466841220856
three,0.23807744681835175,0.4501400589942932,0.21556000411510468,0.15667133033275604,0.17025502026081085,0.1872161626815796,0.19537949562072754,0.3712083399295807,0.20928427577018738
large,0.21342547237873077,0.42789679765701294,1.0000001192092896,0.16098429262638092,0.18601423501968384,0.22553202509880066,0.1579206883907318,0.33964231610298157,0.1355665624141693
public,0.15624697506427765,0.25114959478378296,0.16098429262638092,1.0000001192092896,0.35313066840171814,0.18710975348949432,0.2536109983921051,0.20625129342079163,0.19872993230819702
parks,0.10034015774726868,0.25560328364372253,0.18601423501968384,0.35313066840171814,0.9999999403953552,0.17476899921894073,0.23529544472694397,0.22102084755897522,0.18846100568771362
",",0.22659391164779663,0.40610817074775696,0.2263888567686081,0.2588968276977539,0.2596151828765869,0.28617382049560547,0.2561432421207428,0.3541618287563324,0.31091248989105225
two,0.2499001920223236,0.5147606730461121,0.28182870149612427,0.18226072192192078,0.14718134701251984,0.2100418359041214,0.17640221118927002,0.4498785734176636,0.19645625352859497
in,0.2601168751716614,0.41474202275276184,0.2841601073741913,0.29074716567993164,0.252856969833374,0.214483380317688,0.26126348972320557,0.36843645572662354,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.3828733265399933,0.22857438027858734,0.22552673518657684,0.35928019881248474,0.22571885585784912,0.40389683842658997,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.18982528150081635,0.24330124258995056,0.24540580809116364,0.10004369169473648,0.2780216634273529,0.154191792011261,0.13423943519592285
limits,0.2868347764015198,0.25494763255119324,0.24597521126270294,0.2069980651140213,0.16596342623233795,0.34075209498405457,0.16142503917217255,0.2731117010116577,0.14532171189785004
and,0.33647966384887695,0.5296266674995422,0.3404269814491272,0.3227643668651581,0.3447440266609192,0.3461615741252899,0.21513071656227112,0.4711785912513733,0.20544172823429108
one,0.3213292360305786,0.4223630726337433,0.25872543454170227,0.255158394575119,0.22675976157188416,0.2924913763999939,0.1632690131664276,0.4507926106452942,0.2673267424106598
in,0.2601168751716614,0.41474202275276184,0.2841601073741913,0.29074716567993164,0.252856969833374,0.214483380317688,0.26126348972320557,0.36843645572662354,0.20430970191955566
county,0.14041270315647125,0.13048338890075684,0.12918992340564728,0.2472642958164215,0.19669827818870544,0.0816752091050148,0.2867359220981598,0.10890788584947586,0.07680056244134903
land,0.1918935328722,0.19642266631126404,0.2869904935359955,0.19691254198551178,0.3034079968929291,0.20495885610580444,0.21036775410175323,0.24725517630577087,0.1432059109210968
to,0.44169697165489197,0.40243685245513916,0.3150999844074249,0.2672370672225952,0.20691047608852386,0.4391997456550598,0.22500741481781006,0.4544740617275238,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.3828733265399933,0.22857438027858734,0.22552673518657684,0.35928019881248474,0.22571885585784912,0.40389683842658997,0.22068053483963013
southwest,0.12323164939880371,0.1481163203716278,0.24964645504951477,0.1318083107471466,0.2422199696302414,0.0568062961101532,0.25223955512046814,0.09500131011009216,0.11322080343961716
.,0.3287222981452942,0.3974229395389557,0.2304532378911972,0.21888655424118042,0.3077928125858307,0.3022993505001068,0.2480216920375824,0.41614407300949097,0.4130953550338745
