,who,has,the,authority,of,a,pastor,only,within,the,context,and,during,the,time,of,the,appointment,?
the,0.3733934462070465,0.4177538752555847,1.0,0.2645063102245331,0.733189046382904,0.5829201340675354,0.13653714954853058,0.5497692227363586,0.39827480912208557,1.0,0.21470476686954498,0.5171257257461548,0.4838213622570038,1.0,0.43061500787734985,0.733189046382904,1.0,0.27414143085479736,0.22068053483963013
licensed,0.2322901040315628,0.12912900745868683,0.17307333648204803,0.183754101395607,0.14828701317310333,0.14556461572647095,0.15666936337947845,0.30806228518486023,0.1783086210489273,0.17307333648204803,0.17104220390319824,0.19729462265968323,0.12271582335233688,0.17307333648204803,0.1913030743598938,0.14828701317310333,0.17307333648204803,0.20115996897220612,0.16613826155662537
local,0.20416545867919922,0.11479144543409348,0.2130540907382965,0.2930438816547394,0.20668989419937134,0.2435571700334549,0.18587452173233032,0.24513544142246246,0.2303558737039566,0.2130540907382965,0.17300595343112946,0.2468787580728531,0.11701580137014389,0.2130540907382965,0.21634002029895782,0.20668989419937134,0.2130540907382965,0.21792376041412354,0.15022775530815125
pastor,0.25064510107040405,0.16000109910964966,0.13653714954853058,0.21684765815734863,0.173655703663826,0.1934782862663269,0.9999999403953552,0.11793775111436844,0.12685440480709076,0.13653714954853058,0.07680227607488632,0.19818736612796783,0.16768264770507812,0.13653714954853058,0.17061462998390198,0.173655703663826,0.13653714954853058,0.28169289231300354,0.1683567762374878
has,0.2558172643184662,1.0,0.4177538752555847,0.17477209866046906,0.3909035325050354,0.4670248031616211,0.16000109910964966,0.4251205623149872,0.30466988682746887,0.4177538752555847,0.16216416656970978,0.43716782331466675,0.23098520934581757,0.4177538752555847,0.25164222717285156,0.3909035325050354,0.4177538752555847,0.1344069242477417,0.15994466841220856
the,0.3733934462070465,0.4177538752555847,1.0,0.2645063102245331,0.733189046382904,0.5829201340675354,0.13653714954853058,0.5497692227363586,0.39827480912208557,1.0,0.21470476686954498,0.5171257257461548,0.4838213622570038,1.0,0.43061500787734985,0.733189046382904,1.0,0.27414143085479736,0.22068053483963013
authority,0.17199470102787018,0.17477209866046906,0.2645063102245331,1.0000001192092896,0.28063252568244934,0.21713398396968842,0.21684765815734863,0.24133093655109406,0.2951710522174835,0.2645063102245331,0.2684824764728546,0.22905389964580536,0.16585634648799896,0.2645063102245331,0.20815743505954742,0.28063252568244934,0.2645063102245331,0.380161315202713,0.18404170870780945
of,0.2827862501144409,0.3909035325050354,0.733189046382904,0.28063252568244934,1.0,0.5052502155303955,0.173655703663826,0.49632513523101807,0.39594778418540955,0.733189046382904,0.21264773607254028,0.5116966962814331,0.3869180977344513,0.733189046382904,0.35127586126327515,1.0,0.733189046382904,0.32000482082366943,0.1826142966747284
a,0.36608949303627014,0.4670248031616211,0.5829201340675354,0.21713398396968842,0.5052502155303955,1.0,0.1934782862663269,0.47549712657928467,0.3858051896095276,0.5829201340675354,0.22736765444278717,0.3739250600337982,0.30341604351997375,0.5829201340675354,0.3292340338230133,0.5052502155303955,0.5829201340675354,0.223115473985672,0.23916715383529663
pastor,0.25064510107040405,0.16000109910964966,0.13653714954853058,0.21684765815734863,0.173655703663826,0.1934782862663269,0.9999999403953552,0.11793775111436844,0.12685440480709076,0.13653714954853058,0.07680227607488632,0.19818736612796783,0.16768264770507812,0.13653714954853058,0.17061462998390198,0.173655703663826,0.13653714954853058,0.28169289231300354,0.1683567762374878
only,0.4202229380607605,0.4251205623149872,0.5497692227363586,0.24133093655109406,0.49632513523101807,0.47549712657928467,0.11793775111436844,1.0,0.4548116624355316,0.5497692227363586,0.2862837612628937,0.4542345404624939,0.3186368942260742,0.5497692227363586,0.3912617266178131,0.49632513523101807,0.5497692227363586,0.20207032561302185,0.2767370045185089
within,0.18261831998825073,0.30466988682746887,0.39827480912208557,0.2951710522174835,0.39594778418540955,0.3858051896095276,0.12685440480709076,0.4548116624355316,1.0,0.39827480912208557,0.24624907970428467,0.35049548745155334,0.2535322904586792,0.39827480912208557,0.2541442811489105,0.39594778418540955,0.39827480912208557,0.13330456614494324,0.1870293766260147
the,0.3733934462070465,0.4177538752555847,1.0,0.2645063102245331,0.733189046382904,0.5829201340675354,0.13653714954853058,0.5497692227363586,0.39827480912208557,1.0,0.21470476686954498,0.5171257257461548,0.4838213622570038,1.0,0.43061500787734985,0.733189046382904,1.0,0.27414143085479736,0.22068053483963013
context,0.17307879030704498,0.16216416656970978,0.21470476686954498,0.2684824764728546,0.21264773607254028,0.22736765444278717,0.07680227607488632,0.2862837612628937,0.24624907970428467,0.21470476686954498,1.0,0.21056494116783142,0.19327932596206665,0.21470476686954498,0.29104083776474,0.21264773607254028,0.21470476686954498,0.20394670963287354,0.2777315378189087
and,0.41279885172843933,0.43716782331466675,0.5171257257461548,0.22905389964580536,0.5116966962814331,0.3739250600337982,0.19818736612796783,0.4542345404624939,0.35049548745155334,0.5171257257461548,0.21056494116783142,1.0,0.36462149024009705,0.5171257257461548,0.3025408685207367,0.5116966962814331,0.5171257257461548,0.23583510518074036,0.20544172823429108
