,when,was,the,battle,of,hastings,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24353940784931183,0.5696388483047485,0.30078795552253723,0.20430970191955566
1066,0.017176218330860138,-0.020357411354780197,0.07050292938947678,0.05147366225719452,0.08387073129415512,0.11686905473470688,-0.048521675169467926
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.3139784038066864,0.31091248989105225
duke,0.13615576922893524,0.23636797070503235,0.218814879655838,0.22240805625915527,0.26720118522644043,0.2744809687137604,0.13699419796466827
william,0.22232958674430847,0.28444796800613403,0.21537061035633087,0.1573285460472107,0.20272590219974518,0.4254955053329468,0.14462219178676605
ii,0.26453444361686707,0.25630512833595276,0.2631464898586273,0.2661164104938507,0.2844806909561157,0.16742321848869324,0.11928234249353409
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
normandy,0.256206750869751,0.22792497277259827,0.30340051651000977,0.2513580620288849,0.23562048375606537,0.35600560903549194,0.1584552675485611
conquered,0.22336803376674652,0.3453977108001709,0.3127642273902893,0.33331209421157837,0.30313581228256226,0.24409621953964233,0.12499574571847916
england,0.26359328627586365,0.2656741440296173,0.28280043601989746,0.18457520008087158,0.24624483287334442,0.38121750950813293,0.13436897099018097
killing,0.22580386698246002,0.22684246301651,0.2688891291618347,0.24456466734409332,0.29287010431289673,0.20231296122074127,0.13008421659469604
king,0.18628188967704773,0.27377256751060486,0.25887003540992737,0.2781603932380676,0.2938710153102875,0.3114708662033081,0.19130074977874756
harold,0.11865489929914474,0.27648866176605225,0.21060243248939514,0.19475185871124268,0.19005732238292694,0.385127454996109,0.151779443025589
ii,0.26453444361686707,0.25630512833595276,0.2631464898586273,0.2661164104938507,0.2844806909561157,0.16742321848869324,0.11928234249353409
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.23658646643161774,0.42558613419532776,0.3144260048866272,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,1.0,0.2820790410041809,0.733189046382904,0.29055723547935486,0.22068053483963013
battle,0.15145152807235718,0.23319749534130096,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.3427681028842926,0.1680624783039093
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2291749268770218,1.0,0.27719053626060486,0.1826142966747284
hastings,0.2030787169933319,0.3080945611000061,0.29055723547935486,0.3427681028842926,0.27719053626060486,1.0,0.12590168416500092
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.1661834716796875,0.5352458953857422,0.3018215298652649,0.4130953550338745
