,which,awards,show,has,its,rights,rotated,among,the,four,major,networks,on,a,yearly,basis,?
abc,0.1991286277770996,0.25637099146842957,0.4449407458305359,0.23067910969257355,0.19045390188694,0.16774038970470428,0.11633303016424179,0.06692434847354889,0.2068762183189392,0.11602456867694855,0.1743539571762085,0.350273072719574,0.2862928807735443,0.21331243216991425,0.1597888469696045,0.19969910383224487,0.19065172970294952
currently,0.2807596027851105,0.1717088669538498,0.22552809119224548,0.3354577422142029,0.19933556020259857,0.2349909543991089,0.1810125708580017,0.2189752608537674,0.2945235073566437,0.20947536826133728,0.2293645292520523,0.22990109026432037,0.2809738218784332,0.2612716257572174,0.21055230498313904,0.2322341650724411,0.1861555278301239
holds,0.2967525124549866,0.24179910123348236,0.15404461324214935,0.3660380244255066,0.24978192150592804,0.18737824261188507,0.22333580255508423,0.16561460494995117,0.28190866112709045,0.20846077799797058,0.12790609896183014,0.13778676092624664,0.20371639728546143,0.2758602797985077,0.2863849401473999,0.1888127624988556,0.11379207670688629
the,0.6521818041801453,0.22946466505527496,0.319829523563385,0.4177538752555847,0.559237003326416,0.2579100430011749,0.28645768761634827,0.3507058024406433,1.0,0.40344667434692383,0.31775903701782227,0.24705806374549866,0.5107308030128479,0.5829201340675354,0.3435767889022827,0.2758672833442688,0.22068053483963013
broadcast,0.26385819911956787,0.3216399550437927,0.43468156456947327,0.17970146238803864,0.22796769440174103,0.21661575138568878,0.1578892022371292,0.14431525766849518,0.2713715434074402,0.19108189642429352,0.23280981183052063,0.4932264983654022,0.2845228910446167,0.2046348601579666,0.2924576699733734,0.2079634964466095,0.15760008990764618
rights,0.1689544916152954,0.17506709694862366,0.12080831825733185,0.193097785115242,0.1595378965139389,0.9999999403953552,0.13392502069473267,0.16304704546928406,0.2579100430011749,0.13917513191699982,0.12514404952526093,0.23431594669818878,0.22401921451091766,0.18041828274726868,0.20202508568763733,0.2824784219264984,0.21814769506454468
to,0.5345056653022766,0.17636770009994507,0.29833272099494934,0.3619994819164276,0.3691340684890747,0.2570022940635681,0.24383118748664856,0.26594701409339905,0.535392165184021,0.2803118824958801,0.19240309298038483,0.23877078294754028,0.41031414270401,0.45503583550453186,0.23069515824317932,0.23188701272010803,0.29463258385658264
the,0.6521818041801453,0.22946466505527496,0.319829523563385,0.4177538752555847,0.559237003326416,0.2579100430011749,0.28645768761634827,0.3507058024406433,1.0,0.40344667434692383,0.31775903701782227,0.24705806374549866,0.5107308030128479,0.5829201340675354,0.3435767889022827,0.2758672833442688,0.22068053483963013
academy,0.16821986436843872,0.5267941355705261,0.17501069605350494,0.24845722317695618,0.17266656458377838,0.13425655663013458,0.07104260474443436,0.24190182983875275,0.2649388611316681,0.21691498160362244,0.14610067009925842,0.11829749494791031,0.17700988054275513,0.1969248354434967,0.27469611167907715,0.1566932499408722,0.1340850442647934
awards,0.200836643576622,1.0000001192092896,0.2456497997045517,0.2708130478858948,0.1279328465461731,0.17506709694862366,0.1162918284535408,0.22536522150039673,0.22946466505527496,0.20749853551387787,0.1870136260986328,0.221358522772789,0.20980879664421082,0.18129821121692657,0.33540913462638855,0.18746982514858246,0.2122269868850708
