,the,us,expansion,westward,could,be,viewed,as,what,type,of,colonialism,?
this,0.6274310946464539,0.28853827714920044,0.3631855249404907,0.2483050376176834,0.4042564332485199,0.566177248954773,0.3171018064022064,0.43993282318115234,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.2600826621055603,0.3155723512172699
internal,0.24764955043792725,0.1184656023979187,0.2443162053823471,0.09186245501041412,0.24967215955257416,0.1929619163274765,0.142952099442482,0.18446122109889984,0.2065390944480896,0.1597461998462677,0.273920476436615,0.15955595672130585,0.1665428727865219
form,0.29286009073257446,0.09787824004888535,0.11297927796840668,0.13920597732067108,0.19663512706756592,0.3391776382923126,0.11749973148107529,0.24710296094417572,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.25731948018074036,0.1463010311126709
of,0.733189046382904,0.23568789660930634,0.24185356497764587,0.19336579740047455,0.29043012857437134,0.33904364705085754,0.27454227209091187,0.3886612355709076,0.33290785551071167,0.18112817406654358,1.0,0.2704770565032959,0.1826142966747284
empire,0.32532164454460144,0.15187062323093414,0.28615090250968933,0.27467459440231323,0.2291392683982849,0.17063774168491364,0.1129070594906807,0.21108263731002808,0.21723191440105438,0.08106756210327148,0.30522286891937256,0.38845744729042053,0.14909450709819794
has,0.4177538752555847,0.16496556997299194,0.21348832547664642,0.132644921541214,0.30405887961387634,0.3863394856452942,0.20122046768665314,0.351646363735199,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.15289072692394257,0.15994466841220856
been,0.3563927710056305,0.17548087239265442,0.22574672102928162,0.17369912564754486,0.3406406342983246,0.5304332375526428,0.23473228514194489,0.3975982367992401,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.17289848625659943,0.24354910850524902
referred,0.3088674545288086,0.014750393107533455,0.2077813297510147,0.12235576659440994,0.1271110326051712,0.27025455236434937,0.28530967235565186,0.37252211570739746,0.16724665462970734,0.1660090535879135,0.317892849445343,0.23182424902915955,0.06677805632352829
to,0.535392165184021,0.2928973436355591,0.2769574522972107,0.27720409631729126,0.5461788773536682,0.4972836375236511,0.22659115493297577,0.42092081904411316,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24242931604385376,0.29463258385658264
as,0.48381632566452026,0.1875484585762024,0.21941451728343964,0.21265269815921783,0.32771480083465576,0.5230465531349182,0.2334030270576477,1.0,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.18886442482471466,0.27043893933296204
