,how,much,of,australia,'s,milk,is,produced,in,victoria,?
it,0.36714982986450195,0.48116767406463623,0.38761502504348755,0.2386748343706131,0.06608816236257553,0.248466357588768,0.6328473687171936,0.32564496994018555,0.5130809545516968,0.21222682297229767,0.25732165575027466
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.1734699010848999,0.02396530658006668,0.20104213058948517,1.0,0.25678005814552307,0.5394441485404968,0.1633591204881668,0.22961433231830597
home,0.11464780569076538,0.12297548353672028,0.24402645230293274,0.1754150688648224,0.07170099765062332,0.15153880417346954,0.22316986322402954,0.09128131717443466,0.30467477440834045,0.11941828578710556,0.0757145956158638
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.24799345433712006,0.03782717138528824,0.20089995861053467,0.42745086550712585,0.16305041313171387,0.45010748505592346,0.18328198790550232,0.29463258385658264
60,0.12259688228368759,0.023746905848383904,0.05524682253599167,0.16625922918319702,-0.11939319223165512,0.04905141144990921,0.04923270642757416,-0.009401427581906319,0.008437495678663254,-0.029114145785570145,0.06999651342630386
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.13786643743515015,0.031266406178474426,0.18356049060821533,0.18672586977481842,0.0823514461517334,0.19465309381484985,0.07985731214284897,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.2669609785079956,-0.03817026689648628,0.18260180950164795,0.4854315221309662,0.18961067497730255,0.5696388483047485,0.2505437433719635,0.1826142966747284
australia,0.18526475131511688,0.18603689968585968,0.2669609785079956,1.0,0.040361400693655014,0.1679723858833313,0.1734699010848999,0.13545283675193787,0.2697675824165344,0.5548879504203796,0.15702682733535767
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,0.040361400693655014,0.9999999403953552,0.05483373627066612,0.02396530658006668,-0.03862787038087845,-0.037580832839012146,0.06206126511096954,-0.023395681753754616
3,0.12271612882614136,0.06256824731826782,0.046857766807079315,0.15135158598423004,-0.06116730347275734,0.09535171091556549,0.1504552811384201,0.011827312409877777,0.06326868385076523,-0.017191050574183464,0.005975271109491587
million,0.21114659309387207,0.2792966067790985,0.21686489880084991,0.22529302537441254,0.05079329386353493,0.14216585457324982,0.19962359964847565,0.18297280371189117,0.2596224844455719,0.09473524242639542,0.23092924058437347
dairy,0.09987637400627136,0.20632211863994598,0.19305698573589325,0.23113279044628143,-0.0038413959555327892,0.5473332405090332,0.23280000686645508,0.2359667420387268,0.18047009408473969,0.23784585297107697,0.14835722744464874
cattle,0.17744691669940948,0.21536457538604736,0.2318044900894165,0.26309719681739807,0.08039590716362,0.3754531145095825,0.19627758860588074,0.14063501358032227,0.24646858870983124,0.22763460874557495,0.17239461839199066
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.2804507613182068,0.06895173341035843,0.23764292895793915,0.3859752118587494,0.24455034732818604,0.4954058527946472,0.24507255852222443,0.20544172823429108
produces,0.2188468873500824,0.24808116257190704,0.24670347571372986,0.08821091800928116,-0.0007260311977006495,0.24647651612758636,0.35465162992477417,0.5690850019454956,0.2199338972568512,0.06185019761323929,0.17052298784255981
nearly,0.23273618519306183,0.3652237057685852,0.3455437123775482,0.22222571074962616,0.03258245810866356,0.1613072156906128,0.268917441368103,0.1885894387960434,0.3414846360683441,0.11618539690971375,0.11670064926147461
two-thirds,0.2647247910499573,0.32518818974494934,0.3894369602203369,0.27512648701667786,0.05182712525129318,0.21674279868602753,0.29413241147994995,0.208068385720253,0.3280138671398163,0.1676216423511505,0.15813422203063965
of,0.2480744868516922,0.2671096920967102,1.0,0.2669609785079956,-0.03817026689648628,0.18260180950164795,0.4854315221309662,0.18961067497730255,0.5696388483047485,0.2505437433719635,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.26828548312187195,-0.01540423184633255,0.23874978721141815,0.5823672413825989,0.22045251727104187,0.6662389636039734,0.2204313427209854,0.22068053483963013
nation,0.1966596245765686,0.20789788663387299,0.3102196156978607,0.26820793747901917,0.033554114401340485,0.08362595736980438,0.2303507775068283,0.12160203605890274,0.24983231723308563,0.18880997598171234,0.17865248024463654
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,0.040361400693655014,0.9999999403953552,0.05483373627066612,0.02396530658006668,-0.03862787038087845,-0.037580832839012146,0.06206126511096954,-0.023395681753754616
milk,0.17971736192703247,0.18075649440288544,0.18260180950164795,0.1679723858833313,0.05483373627066612,1.0000001192092896,0.20104213058948517,0.2619378864765167,0.20376470685005188,0.0921347513794899,0.1423291712999344
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.22314006090164185,-0.0016132977325469255,0.2552982270717621,0.4691906273365021,0.22260788083076477,0.5201468467712402,0.2279360294342041,0.31091248989105225
almost,0.23828135430812836,0.348380982875824,0.3144364058971405,0.15838216245174408,0.02320737950503826,0.150906503200531,0.29784226417541504,0.18807396292686462,0.3422279357910156,0.10460716485977173,0.1372147500514984
6.4,-0.02107764407992363,-0.01584811881184578,-0.14453893899917603,0.06558053940534592,-0.018070073798298836,-0.0738280788064003,-0.03467085584998131,-0.1724081188440323,-0.12260763347148895,0.1938391923904419,0.010471883229911327
billion,0.2582297921180725,0.2614055871963501,0.19335569441318512,0.17901672422885895,0.05775096267461777,0.14380955696105957,0.16068704426288605,0.17965734004974365,0.18475750088691711,0.05186677724123001,0.25791820883750916
litres,0.1890735924243927,0.3018609285354614,0.18122103810310364,0.22455301880836487,0.031707413494586945,0.3654549717903137,0.2368386685848236,0.2593643069267273,0.1881534904241562,0.1733531802892685,0.17306603491306305
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.2899940609931946,-0.003708066651597619,0.2757408320903778,0.4569662809371948,0.2634154260158539,0.5591574311256409,0.23069117963314056,0.4130953550338745
