,how,quickly,is,the,sea,level,rising,?
in,0.2601168751716614,0.24151866137981415,0.5394441485404968,0.6662389636039734,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
the,0.33890387415885925,0.30366459488868713,0.5823672413825989,1.0,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
southern,0.11308442056179047,0.1194780096411705,0.2419366091489792,0.3282862603664398,0.29470691084861755,0.12957242131233215,0.22148612141609192,0.11225555837154388
north,0.12114071100950241,0.17211702466011047,0.2993389368057251,0.36298373341560364,0.3454431891441345,0.22353820502758026,0.22168928384780884,0.11829731613397598
sea,0.16549281775951385,0.17982155084609985,0.22288988530635834,0.30363768339157104,1.0,0.3468961715698242,0.31621667742729187,0.15551945567131042
",",0.22659391164779663,0.29136326909065247,0.4691906273365021,0.4933079481124878,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
due,0.19407185912132263,0.33567187190055847,0.24065633118152618,0.22577603161334991,0.1746625006198883,0.15504610538482666,0.26451271772384644,0.10954997688531876
to,0.44169697165489197,0.44593319296836853,0.42745086550712585,0.535392165184021,0.2749888300895691,0.2976585030555725,0.21663394570350647,0.29463258385658264
ongoing,0.24005983769893646,0.17388302087783813,0.23759374022483826,0.3282879889011383,0.1512315422296524,0.1991012990474701,0.22732605040073395,0.24929021298885345
tectonic,0.2224499136209488,0.17619802057743073,0.22087347507476807,0.3249375522136688,0.3875698149204254,0.22950677573680878,0.30363762378692627,0.18071772158145905
subsidence,0.1342124342918396,0.1165098175406456,0.1787661463022232,0.26452165842056274,0.19074051082134247,0.19816027581691742,0.1935076117515564,0.0958172008395195
",",0.22659391164779663,0.29136326909065247,0.4691906273365021,0.4933079481124878,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
the,0.33890387415885925,0.30366459488868713,0.5823672413825989,1.0,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
sea,0.16549281775951385,0.17982155084609985,0.22288988530635834,0.30363768339157104,1.0,0.3468961715698242,0.31621667742729187,0.15551945567131042
level,0.27169108390808105,0.14891543984413147,0.24803997576236725,0.31442487239837646,0.3468961715698242,0.9999998807907104,0.2995113134384155,0.20528386533260345
is,0.22544461488723755,0.23501308262348175,1.0,0.5823672413825989,0.22288988530635834,0.24803997576236725,0.17822740972042084,0.22961433231830597
still,0.38034671545028687,0.36872008442878723,0.3574111759662628,0.40142056345939636,0.1378638744354248,0.16147057712078094,0.15986618399620056,0.3039587736129761
rising,0.22623053193092346,0.22442910075187683,0.17822740972042084,0.34945452213287354,0.31621667742729187,0.2995113134384155,1.0000001192092896,0.07955946773290634
",",0.22659391164779663,0.29136326909065247,0.4691906273365021,0.4933079481124878,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
at,0.2154216170310974,0.27349552512168884,0.25906258821487427,0.457212895154953,0.21252158284187317,0.24496568739414215,0.23512664437294006,0.21978627145290375
the,0.33890387415885925,0.30366459488868713,0.5823672413825989,1.0,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
rate,0.2722127139568329,0.28047603368759155,0.24290183186531067,0.24881242215633392,0.11826729774475098,0.26853781938552856,0.28396567702293396,0.1308269053697586
of,0.2480744868516922,0.1989620476961136,0.4854315221309662,0.733189046382904,0.2707739472389221,0.23504668474197388,0.27970030903816223,0.1826142966747284
about,0.44264400005340576,0.2138119786977768,0.3532065451145172,0.37995871901512146,0.22202660143375397,0.18966758251190186,0.18541371822357178,0.302409827709198
1–3,0.1375047266483307,0.13086003065109253,0.1652839630842209,0.18716228008270264,0.07813692092895508,0.09931447356939316,0.10646973550319672,0.1213410347700119
cm,0.22115537524223328,0.15879343450069427,0.2241038680076599,0.1848733276128769,0.1094818115234375,0.13399341702461243,0.059190474450588226,0.22839917242527008
(,0.1676948219537735,0.12079992145299911,0.35393038392066956,0.33289089798927307,0.19181853532791138,0.2298942357301712,0.171818345785141,0.40561532974243164
0.39–1.18,0.15176396071910858,0.0007084275130182505,0.026273958384990692,0.02397697977721691,0.01880449801683426,0.10083163529634476,-0.01948770135641098,0.07565758377313614
