,how,many,interceptions,did,cam,newton,throw,?
pro,0.18713277578353882,0.13571034371852875,0.24270352721214294,0.14497412741184235,0.11789428442716599,0.10714779049158096,0.1395164281129837,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.3440132439136505,0.18569406867027283,0.147389754652977,0.1892489492893219,0.26393550634384155,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.571014940738678,0.13718701899051666,0.25592461228370667,0.29465755820274353,0.31367501616477966,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.2500961720943451,0.15223097801208496,1.0000001192092896,0.32548287510871887,0.09797223657369614,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.30017799139022827,0.23863376677036285,0.32548287510871887,1.0000001192092896,0.17230159044265747,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.21982498466968536,0.540525496006012,0.04911038279533386,0.17341329157352448,0.1697472482919693,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.20258136093616486,0.27659472823143005,0.19543564319610596,0.20534484088420868,0.2658301293849945,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.1719072461128235,0.2513895630836487,0.18242581188678741,0.18479612469673157,0.20400571823120117,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.2298092246055603,0.3546801507472992,0.17229199409484863,0.2519145607948303,0.26073288917541504,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.20026566088199615,0.25550925731658936,0.12398269772529602,0.20502272248268127,0.1890384405851364,0.2799045741558075
seasons,0.12353117763996124,0.1946718841791153,0.3533110022544861,0.18920958042144775,0.15167202055454254,0.10007040947675705,0.1193578764796257,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.23110148310661316,0.3015086054801941,0.22727563977241516,0.2648763358592987,0.18939918279647827,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.3840978741645813,0.2288447916507721,0.1537315845489502,0.1744842380285263,0.7815671563148499,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.30427032709121704,0.318512886762619,0.22685806453227997,0.18168501555919647,0.26654914021492004,0.264628142118454
