,what,country,was,under,the,control,of,norman,barons,?
these,0.4164220690727234,0.22389431297779083,0.19784674048423767,0.24416714906692505,0.49086877703666687,0.25706326961517334,0.42684608697891235,0.11661530286073685,0.21534021198749542,0.2571668326854706
normans,0.15760394930839539,0.20091022551059723,0.23244261741638184,0.15350814163684845,0.2781367897987366,0.24165098369121552,0.2173461765050888,0.7264348268508911,0.48811447620391846,0.12354589998722076
began,0.1665823757648468,0.17302623391151428,0.4683617055416107,0.17289069294929504,0.3059147596359253,0.13415531814098358,0.2330763041973114,0.22125042974948883,0.23598957061767578,0.1370266228914261
a,0.3320399522781372,0.20991116762161255,0.4508470594882965,0.18317826092243195,0.5829201340675354,0.21056023240089417,0.5052502155303955,0.16633400321006775,0.17488066852092743,0.23916715383529663
long,0.28276848793029785,0.13748116791248322,0.1968146562576294,0.1120559424161911,0.3075225353240967,0.13979151844978333,0.2567519545555115,0.1755748838186264,0.1462954729795456,0.19699987769126892
period,0.24507179856300354,0.13911685347557068,0.2820133864879608,0.17153915762901306,0.3125074505805969,0.1210942193865776,0.2698146104812622,0.13971193134784698,0.1947023868560791,0.18706195056438446
of,0.33290785551071167,0.28866857290267944,0.4069072902202606,0.32766106724739075,0.733189046382904,0.2817542552947998,1.0,0.15827171504497528,0.24077586829662323,0.1826142966747284
slow,0.22626596689224243,0.14933745563030243,0.12322831898927689,0.07379093766212463,0.2366129457950592,0.2400113344192505,0.1380475014448166,0.09309735894203186,0.1229986622929573,0.15685610473155975
conquest,0.21597714722156525,0.22699834406375885,0.26261669397354126,0.21331743896007538,0.3181619346141815,0.2693512737751007,0.27723097801208496,0.37106528878211975,0.312314510345459,0.12928934395313263
during,0.24137552082538605,0.2046053558588028,0.4470829963684082,0.27601271867752075,0.4838213622570038,0.22341175377368927,0.3869180977344513,0.16555255651474,0.2715455889701843,0.1325719803571701
which,0.5261979103088379,0.2308337539434433,0.2830964922904968,0.3235377371311188,0.6521818041801453,0.31846651434898376,0.5011631846427917,0.1315736174583435,0.16206872463226318,0.25814583897590637
almost,0.2467888444662094,0.18629899621009827,0.2474903166294098,0.2600902318954468,0.3341992199420929,0.1780480146408081,0.3144364058971405,0.19846557080745697,0.16783642768859863,0.1372147500514984
all,0.41981086134910583,0.20782890915870667,0.23179835081100464,0.27064406871795654,0.4860881567001343,0.2798471450805664,0.42798417806625366,0.15951478481292725,0.24058125913143158,0.29575422406196594
of,0.33290785551071167,0.28866857290267944,0.4069072902202606,0.32766106724739075,0.733189046382904,0.2817542552947998,1.0,0.15827171504497528,0.24077586829662323,0.1826142966747284
wales,0.1505342721939087,0.2466001957654953,0.18637675046920776,0.21104754507541656,0.23852568864822388,0.08553189039230347,0.23133093118667603,0.29164382815361023,0.2251298576593399,0.15627945959568024
was,0.22111038863658905,0.24557247757911682,1.0000001192092896,0.2672741413116455,0.48711544275283813,0.19347785413265228,0.4069072902202606,0.21643765270709991,0.24133680760860443,0.18412111699581146
at,0.2838611304759979,0.18832142651081085,0.36707764863967896,0.2700437307357788,0.457212895154953,0.1741713136434555,0.42558613419532776,0.18288648128509521,0.2169831097126007,0.21978627145290375
some,0.4491020441055298,0.22363653779029846,0.21528802812099457,0.18219946324825287,0.4566698372364044,0.2483753114938736,0.4300730526447296,0.1475951075553894,0.23373806476593018,0.2562315762042999
point,0.3286605179309845,0.12521818280220032,0.17757032811641693,0.12428891658782959,0.3084787130355835,0.18688198924064636,0.269877165555954,0.15559133887290955,0.12404921650886536,0.19189560413360596
subject,0.3828662037849426,0.22812047600746155,0.19509273767471313,0.2089366763830185,0.2387523651123047,0.11482572555541992,0.21533280611038208,0.13749055564403534,0.10958569496870041,0.33952999114990234
to,0.455847829580307,0.31281599402427673,0.3636345863342285,0.27177539467811584,0.535392165184021,0.28164729475975037,0.41548454761505127,0.16204318404197693,0.20080195367336273,0.29463258385658264
norman,0.12319435924291611,0.1506342738866806,0.21643765270709991,0.12625136971473694,0.23459704220294952,0.14002157747745514,0.15827171504497528,1.0000001192092896,0.35581615567207336,0.12243545055389404
interference,0.28147435188293457,0.09727507084608078,0.18647605180740356,0.1712084710597992,0.26789531111717224,0.36321285367012024,0.22058822214603424,0.12185431271791458,0.16678063571453094,0.11166875064373016
.,0.3567904531955719,0.26130348443984985,0.40146201848983765,0.2901604175567627,0.5934505462646484,0.24319837987422943,0.5352458953857422,0.24800069630146027,0.21487373113632202,0.4130953550338745
