,what,region,does,use,the,term,'private,schools,',to,refer,to,universities,?
private,0.16778090596199036,0.09587900340557098,0.1316513568162918,0.1745358109474182,0.18291357159614563,0.08691766113042831,0.9554208517074585,0.4158569872379303,0.14255043864250183,0.18892748653888702,0.13343244791030884,0.18892748653888702,0.3659079670906067,0.14389030635356903
education,0.19940856099128723,0.1661619395017624,0.1943693906068802,0.1779274344444275,0.23982903361320496,0.20306897163391113,0.35760411620140076,0.6035618185997009,0.17848768830299377,0.2626708149909973,0.08284380286931992,0.2626708149909973,0.4975728690624237,0.18067774176597595
in,0.30808621644973755,0.3524819314479828,0.214483380317688,0.2715643048286438,0.6662389636039734,0.27866655588150024,0.244319349527359,0.2632134258747101,0.4158826768398285,0.45010748505592346,0.2523999810218811,0.45010748505592346,0.2965206503868103,0.20430970191955566
north,0.18673177063465118,0.3999730050563812,0.11500263214111328,0.09243907034397125,0.36298373341560364,0.12223714590072632,0.1415766030550003,0.18823079764842987,0.20784355700016022,0.2743184268474579,0.17308874428272247,0.2743184268474579,0.277473121881485,0.11829731613397598
america,0.2517423629760742,0.18789581954479218,0.13335242867469788,0.17856436967849731,0.37090015411376953,0.19071181118488312,0.17230135202407837,0.14268432557582855,0.18945977091789246,0.2636699676513672,0.12946578860282898,0.2636699676513672,0.29198867082595825,0.19333907961845398
covers,0.19826510548591614,0.3147546350955963,0.2591313123703003,0.22044682502746582,0.326327383518219,0.18647922575473785,0.1844925582408905,0.2061500996351242,0.24349863827228546,0.24317483603954315,0.25152677297592163,0.24317483603954315,0.1860746443271637,0.1432708352804184
the,0.42745697498321533,0.35020557045936584,0.35928019881248474,0.34342584013938904,1.0,0.2740369141101837,0.21428421139717102,0.22905772924423218,0.474788099527359,0.535392165184021,0.22268381714820862,0.535392165184021,0.2619408071041107,0.22068053483963013
whole,0.38441845774650574,0.18421776592731476,0.3298923075199127,0.18254126608371735,0.4517841339111328,0.22493521869182587,0.13983745872974396,0.20146062970161438,0.19763830304145813,0.3655387759208679,0.14869441092014313,0.3655387759208679,0.18524546921253204,0.21052291989326477
gamut,0.18401968479156494,0.2416238933801651,0.07197878509759903,0.13175107538700104,0.2230653166770935,0.14304572343826294,0.1706821322441101,0.13499735295772552,0.1939026266336441,0.1403992474079132,0.07002410292625427,0.1403992474079132,0.19303274154663086,0.21447624266147614
of,0.33290785551071167,0.2852717339992523,0.3119818866252899,0.2750902473926544,0.733189046382904,0.26047757267951965,0.21690285205841064,0.265506386756897,0.39136970043182373,0.41548454761505127,0.2576347291469574,0.41548454761505127,0.29948264360427856,0.1826142966747284
educational,0.2158561795949936,0.13262471556663513,0.22483910620212555,0.2513560354709625,0.22737358510494232,0.1980171948671341,0.36583206057548523,0.5674533247947693,0.1747894287109375,0.28994840383529663,0.12120062857866287,0.28994840383529663,0.5253928303718567,0.20904642343521118
activity,0.28365153074264526,0.22528423368930817,0.22425250709056854,0.32115769386291504,0.28331097960472107,0.27777716517448425,0.1388693004846573,0.16440200805664062,0.21338292956352234,0.26676592230796814,0.13516022264957428,0.26676592230796814,0.133745476603508,0.19043973088264465
",",0.3087472915649414,0.2119160145521164,0.28617382049560547,0.3276674151420593,0.4933079481124878,0.21599270403385162,0.21456390619277954,0.2760516405105591,0.5178600549697876,0.44245919585227966,0.24546024203300476,0.44245919585227966,0.2774002254009247,0.31091248989105225
ranging,0.20860125124454498,0.12539434432983398,0.16727277636528015,0.32240352034568787,0.23484160006046295,0.19668754935264587,0.15669141709804535,0.19321538507938385,0.11800748854875565,0.2685908079147339,0.21398821473121643,0.2685908079147339,0.15779796242713928,0.09338733553886414
from,0.2737620174884796,0.2132602334022522,0.1777622550725937,0.28012022376060486,0.40150508284568787,0.25269290804862976,0.21311068534851074,0.1357884258031845,0.20019984245300293,0.4069952368736267,0.26082441210746765,0.4069952368736267,0.1920907199382782,0.19969791173934937
pre-school,0.26171207427978516,0.120153047144413,0.21248970925807953,0.1928746998310089,0.2871430814266205,0.16688920557498932,0.3444143533706665,0.7050856351852417,0.28116631507873535,0.28440091013908386,0.18473908305168152,0.28440091013908386,0.44601014256477356,0.2332603633403778
to,0.455847829580307,0.24118299782276154,0.4391997456550598,0.47261837124824524,0.535392165184021,0.3310292959213257,0.23980090022087097,0.2362271547317505,0.34544456005096436,1.0,0.24100381135940552,1.0,0.2433011382818222,0.29463258385658264
tertiary,0.2784169018268585,0.2307487428188324,0.20481643080711365,0.24138042330741882,0.24001607298851013,0.2838365137577057,0.2096346616744995,0.2754591703414917,0.1414256989955902,0.23979544639587402,0.21797719597816467,0.23979544639587402,0.27241337299346924,0.2581363916397095
level,0.27376922965049744,0.24041137099266052,0.25751394033432007,0.22761127352714539,0.31442487239837646,0.214185431599617,0.14729997515678406,0.22917918860912323,0.16011229157447815,0.2976585030555725,0.07322630286216736,0.2976585030555725,0.20197726786136627,0.20528386533260345
institutions,0.22018329799175262,0.22350692749023438,0.21748235821723938,0.24211452901363373,0.2776423394680023,0.21685926616191864,0.440652459859848,0.4866847097873688,0.0854315310716629,0.21708254516124725,0.1698838472366333,0.21708254516124725,0.5808476805686951,0.19119486212730408
.,0.3567904531955719,0.2506107687950134,0.3022993505001068,0.3711656630039215,0.5934505462646484,0.18456575274467468,0.2818438708782196,0.2752705216407776,0.4806240200996399,0.4645031690597534,0.1410340517759323,0.4645031690597534,0.2545505464076996,0.4130953550338745
