,what,kind,of,coronation,happened,?
among,0.21154822409152985,0.21022847294807434,0.3679063022136688,0.12532834708690643,0.17874003946781158,0.14343059062957764
other,0.341873437166214,0.2729318141937256,0.38583824038505554,0.14384950697422028,0.21994881331920624,0.24682199954986572
grand,0.1358851045370102,0.060457173734903336,0.27195852994918823,0.2258509248495102,0.12048961967229843,0.1168735921382904
ceremonies,0.15639090538024902,0.14020755887031555,0.23873528838157654,0.38572195172309875,0.13328589498996735,0.11834365129470825
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.29637712240219116,0.36671528220176697,0.18412111699581146
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24536685645580292,0.2774496078491211,0.23916715383529663
double,0.16209302842617035,0.17367178201675415,0.18580502271652222,0.14163845777511597,0.10178574919700623,0.10017921775579453
coronation,0.19274286925792694,0.16111542284488678,0.2707429528236389,1.0,0.19290469586849213,0.14919395744800568
:,-0.12022944539785385,-0.1352740079164505,-0.08807745575904846,-0.11531981825828552,-0.1138167604804039,-0.07156077772378922
richard,0.19329693913459778,0.1657486855983734,0.2227524220943451,0.29690220952033997,0.14147286117076874,0.15003317594528198
caused,0.22264783084392548,0.23614826798439026,0.29665443301200867,0.0832732543349266,0.4673246145248413,0.20679491758346558
himself,0.2431095689535141,0.12536276876926422,0.17862990498542786,0.22097738087177277,0.1870288848876953,0.10407622903585434
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.22194549441337585,0.2299996316432953,0.29463258385658264
be,0.3929833769798279,0.33508673310279846,0.33904364705085754,0.20402221381664276,0.259830504655838,0.3324260413646698
crowned,0.06343553960323334,0.07699127495288849,0.28630754351615906,0.4950213134288788,0.19205206632614136,0.20180779695510864
king,0.18449601531028748,0.15626119077205658,0.2938710153102875,0.48816025257110596,0.2077547013759613,0.19130074977874756
of,0.33290785551071167,0.2285657674074173,1.0,0.2707429528236389,0.30501094460487366,0.1826142966747284
cyprus,0.16325083374977112,0.11994072049856186,0.24310660362243652,0.208851620554924,0.16001449525356293,0.10052155703306198
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22559651732444763,0.3230119049549103,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.18446549773216248,0.22602374851703644,0.20544172823429108
berengaria,0.13940639793872833,0.11812543123960495,0.3055189847946167,0.3203294277191162,0.18052040040493011,0.21576333045959473
queen,0.18133950233459473,0.19370736181735992,0.27787157893180847,0.4806053936481476,0.1821572333574295,0.17460165917873383
of,0.33290785551071167,0.2285657674074173,1.0,0.2707429528236389,0.30501094460487366,0.1826142966747284
england,0.21399550139904022,0.17749658226966858,0.24624483287334442,0.3972475230693817,0.22142161428928375,0.13436897099018097
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.18446549773216248,0.22602374851703644,0.20544172823429108
queen,0.18133950233459473,0.19370736181735992,0.27787157893180847,0.4806053936481476,0.1821572333574295,0.17460165917873383
of,0.33290785551071167,0.2285657674074173,1.0,0.2707429528236389,0.30501094460487366,0.1826142966747284
cyprus,0.16325083374977112,0.11994072049856186,0.24310660362243652,0.208851620554924,0.16001449525356293,0.10052155703306198
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.2512037754058838,0.20198430120944977,0.27043893933296204
well,0.4154493808746338,0.3272657096385956,0.3343164324760437,0.16991546750068665,0.2076902538537979,0.24815571308135986
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.1990862488746643,0.29012542963027954,0.4130953550338745
